Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,0.42837999999999987,0.085,0.452,0.438,0.452,0.438,4.509,0.096,912.838,0.835
1,COMPLETE,-2.62259,0.116,0.429,0.428,0.429,0.428,9.077,0.164,746.241,0.722
2,COMPLETE,2.5737400000000004,0.051,0.501,0.453,0.501,0.453,2.562,0.098,989.374,0.874
3,COMPLETE,-1.2094099999999999,0.095,0.445,0.409,0.445,0.409,7.502,0.162,781.059,0.741
4,COMPLETE,1.12577,0.048,0.497,0.451,0.497,0.451,4.505,0.136,826.577,0.775
5,COMPLETE,-1.48844,0.118,0.438,0.44,0.438,0.44,4.409,0.114,880.156,0.818
6,COMPLETE,-0.9127200000000001,0.085,0.413,0.441,0.413,0.441,7.375,0.136,760.728,0.727
7,COMPLETE,-13.51633,0.357,0.361,0.34,0.361,0.34,4.446,0.129,783.867,0.75
8,COMPLETE,-16.013930000000002,0.365,0.222,0.217,0.222,0.217,13.648,0.212,443.107,0.486
9,COMPLETE,-4.154370000000001,0.179,0.444,0.407,0.444,0.407,3.564,0.122,905.063,0.842
10,COMPLETE,1.9562799999999998,0.059,0.447,0.478,0.447,0.478,3.961,0.064,953.128,0.854
11,COMPLETE,1.9148,0.065,0.458,0.484,0.458,0.484,2.416,0.075,987.48,0.876
