Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,1.1163699999999999,0.058,0.529,0.631,0.529,0.631,2.738,0.122,981.637,0.865
1,COMPLETE,1.0606900000000001,0.066,0.511,0.56,0.511,0.56,2.252,0.143,971.569,0.854
2,COMPLETE,2.5872100000000002,0.032,0.56,0.578,0.56,0.578,2.433,0.14,987.721,0.86
3,COMPLETE,1.4763600000000001,0.054,0.569,0.53,0.569,0.53,2.528,0.138,967.136,0.856
4,COMPLETE,2.5164899999999997,0.037,0.555,0.515,0.555,0.515,3.08,0.128,971.649,0.869
5,COMPLETE,1.72312,0.051,0.457,0.613,0.457,0.613,2.993,0.127,962.312,0.863
6,COMPLETE,2.76618,0.04,0.514,0.516,0.514,0.516,1.696,0.122,991.618,0.873
7,COMPLETE,3.78633,0.01,0.532,0.563,0.532,0.563,1.909,0.115,976.133,0.867
8,COMPLETE,-0.44717000000000007,0.1,0.566,0.504,0.566,0.504,1.712,0.131,990.283,0.865
9,COMPLETE,1.0989699999999998,0.057,0.53,0.498,0.53,0.498,3.64,0.176,908.897,0.817
10,COMPLETE,3.2316599999999998,0.026,0.568,0.517,0.568,0.517,2.264,0.134,995.666,0.864
11,COMPLETE,3.5995599999999994,0.012,0.566,0.505,0.566,0.505,2.769,0.155,955.456,0.84
