Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,12.011509999999998,0.144,1.735,1.724,6.048,0.205,1345.151,0.79
1,COMPLETE,12.46158,0.172,1.803,1.796,5.483,0.181,1418.158,0.819
2,COMPLETE,11.44966,0.188,1.753,1.756,6.482,0.197,1333.966,0.774
3,COMPLETE,13.333459999999999,0.049,1.722,1.732,4.562,0.123,1382.346,0.82
4,COMPLETE,11.33634,0.287,1.786,1.791,4.79,0.171,1422.634,0.826
5,COMPLETE,12.71978,0.093,1.783,1.697,4.353,0.17,1364.978,0.815
6,COMPLETE,10.41997,0.355,1.768,1.764,5.289,0.185,1398.997,0.815
7,COMPLETE,11.86002,0.178,1.664,1.658,4.292,0.149,1365.002,0.84
8,COMPLETE,10.34246,0.282,1.757,1.731,5.939,0.206,1316.246,0.761
9,COMPLETE,13.40043,0.08,1.755,1.813,4.123,0.157,1420.043,0.831
10,COMPLETE,14.124709999999999,0.004,1.823,1.806,3.15,0.146,1416.471,0.838
11,COMPLETE,10.526209999999999,0.332,1.698,1.694,3.926,0.162,1385.621,0.825
