Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,13.028319999999999,0.107,1.789,1.776,5.604,0.192,1411.832,0.808
1,COMPLETE,14.0747,0.065,1.821,1.813,3.853,0.143,1472.47,0.856
2,COMPLETE,13.46008,0.058,1.788,1.781,5.425,0.185,1404.008,0.805
3,COMPLETE,12.579329999999999,0.18,1.819,1.814,5.596,0.176,1437.933,0.822
4,COMPLETE,12.706470000000001,0.184,1.807,1.806,4.721,0.156,1454.647,0.843
5,COMPLETE,14.055879999999998,0.068,1.83,1.836,4.554,0.152,1473.588,0.845
6,COMPLETE,13.77686,0.082,1.847,1.819,4.849,0.165,1459.686,0.834
7,COMPLETE,12.42505,0.189,1.857,1.853,5.2,0.205,1431.505,0.795
8,COMPLETE,13.445780000000001,0.129,1.811,1.811,4.343,0.148,1473.578,0.851
9,COMPLETE,12.7957,0.112,1.807,1.802,6.45,0.21,1391.57,0.786
10,COMPLETE,13.516419999999998,0.087,1.799,1.823,5.393,0.175,1438.642,0.825
11,COMPLETE,13.58498,0.107,1.885,1.864,4.888,0.18,1466.498,0.818
