Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,13.182559999999999,0.048,1.736,1.744,4.731,0.197,1366.256,0.797
1,COMPLETE,13.420459999999999,0.056,1.706,1.755,4.664,0.181,1398.046,0.819
2,COMPLETE,12.887979999999999,0.062,1.669,1.678,5.076,0.196,1350.798,0.802
3,COMPLETE,13.33968,0.073,1.688,1.638,3.276,0.145,1406.968,0.855
4,COMPLETE,14.04611,0.03,1.7,1.713,2.957,0.144,1434.611,0.856
5,COMPLETE,13.19379,0.073,1.684,1.695,4.156,0.171,1392.379,0.826
6,COMPLETE,13.038799999999998,0.095,1.638,1.73,3.807,0.16,1398.88,0.84
7,COMPLETE,13.5546,0.083,1.709,1.747,3.489,0.149,1438.46,0.85
8,COMPLETE,13.389670000000002,0.067,1.738,1.723,4.111,0.172,1405.967,0.824
9,COMPLETE,14.2202,0.011,1.776,1.689,3.241,0.147,1435.02,0.852
10,COMPLETE,13.57337,0.071,1.686,1.707,3.353,0.15,1428.337,0.85
11,COMPLETE,12.995130000000001,0.082,1.657,1.709,3.907,0.178,1381.513,0.819
