Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,12.837950000000001,0.096,1.753,1.688,4.544,0.198,1379.795,0.801
1,COMPLETE,13.66445,0.061,1.697,1.767,3.47,0.158,1428.445,0.842
2,COMPLETE,13.763849999999998,0.077,1.732,1.769,3.625,0.148,1453.385,0.852
3,COMPLETE,13.175309999999998,0.068,1.618,1.735,3.775,0.172,1385.531,0.828
4,COMPLETE,13.37239,0.06,1.677,1.764,4.2,0.171,1397.239,0.827
5,COMPLETE,13.075779999999998,0.087,1.708,1.766,4.81,0.184,1394.578,0.813
6,COMPLETE,14.258149999999999,0.062,1.783,1.819,3.166,0.136,1487.815,0.864
7,COMPLETE,12.960320000000001,0.102,1.755,1.798,4.24,0.202,1398.032,0.798
8,COMPLETE,13.476420000000001,0.107,1.704,1.724,2.409,0.132,1454.642,0.867
9,COMPLETE,13.6325,0.034,1.771,1.789,3.867,0.194,1397.25,0.805
10,COMPLETE,13.249049999999999,0.084,1.718,1.752,4.659,0.167,1409.905,0.831
11,COMPLETE,12.99889,0.071,1.749,1.766,5.688,0.214,1370.889,0.786
