Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-31.64916,0.0,0.688,0.108,0.108,0.052,0.056,0.052,0.056,14.788,0.172,329.084,0.436
1,COMPLETE,-35.54133,0.0,0.793,0.089,0.089,0.057,0.032,0.057,0.032,9.157,0.164,455.367,0.56
2,COMPLETE,-26.665449999999996,0.011,0.569,0.079,0.068,0.029,0.039,0.029,0.039,18.22,0.165,234.455,0.352
3,COMPLETE,-27.475660000000005,0.008,0.576,0.11,0.102,0.049,0.053,0.049,0.053,19.196,0.231,199.434,0.327
4,COMPLETE,-27.099700000000002,0.004,0.528,0.165,0.161,0.079,0.082,0.079,0.082,26.097,0.378,18.53,0.234
5,COMPLETE,-26.39577,0.011,0.561,0.117,0.106,0.056,0.05,0.056,0.05,19.36,0.198,240.423,0.366
6,COMPLETE,-27.948760000000004,0.0,0.612,0.103,0.103,0.054,0.049,0.054,0.049,15.8,0.191,316.624,0.43
7,COMPLETE,-37.30777,0.004,0.85,0.063,0.059,0.018,0.041,0.018,0.041,8.03,0.165,556.723,0.671
8,COMPLETE,-29.36426,0.0,0.529,0.228,0.228,0.104,0.124,0.104,0.124,32.982,0.567,-177.426,0.109
9,COMPLETE,-25.998990000000003,0.019,0.567,0.173,0.154,0.065,0.089,0.065,0.089,14.0,0.165,350.101,0.436
10,COMPLETE,-30.1006,0.004,0.653,0.089,0.085,0.045,0.04,0.045,0.04,15.769,0.194,305.44,0.421
11,COMPLETE,-31.219159999999995,0.002,0.67,0.081,0.079,0.034,0.045,0.034,0.045,15.007,0.27,271.584,0.401
