Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-1.6399699999999997,0.001,0.072,1.045,1.044,0.457,0.587,0.457,0.587,8.158,0.256,720.003,0.692
1,COMPLETE,-0.6029500000000001,0.0,0.077,1.029,1.029,0.508,0.521,0.508,0.521,5.583,0.226,839.205,0.762
2,COMPLETE,2.8263100000000003,0.001,0.023,1.119,1.118,0.548,0.57,0.548,0.57,2.746,0.158,958.631,0.834
3,COMPLETE,2.5701199999999997,0.001,0.021,1.143,1.142,0.579,0.563,0.579,0.563,2.485,0.191,935.012,0.809
4,COMPLETE,1.81219,0.001,0.025,1.083,1.082,0.537,0.545,0.537,0.545,3.896,0.182,849.219,0.771
5,COMPLETE,2.12925,0.002,0.027,1.057,1.055,0.536,0.519,0.536,0.519,3.478,0.186,879.425,0.789
6,COMPLETE,-0.11561000000000005,0.0,0.065,1.07,1.07,0.536,0.534,0.536,0.534,4.844,0.202,848.439,0.782
7,COMPLETE,0.16925,0.003,0.063,1.099,1.096,0.547,0.549,0.547,0.549,4.152,0.178,885.925,0.808
8,COMPLETE,0.2729000000000001,0.002,0.079,1.063,1.061,0.567,0.494,0.567,0.494,2.877,0.152,956.79,0.842
9,COMPLETE,-0.22509,0.0,0.07,1.09,1.09,0.563,0.527,0.563,0.527,4.879,0.175,872.491,0.797
10,COMPLETE,3.33145,0.002,0.017,1.106,1.104,0.572,0.532,0.572,0.532,2.465,0.147,974.145,0.85
11,COMPLETE,3.31219,0.003,0.024,1.089,1.086,0.53,0.556,0.53,0.556,2.033,0.121,1000.219,0.876
