Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.77082,0.191,0.056,1.875,0.056,2.139,0.101,1191.582,0.897
1,COMPLETE,9.4939,0.121,0.083,1.86,0.083,2.538,0.118,1172.39,0.879
2,COMPLETE,9.040959999999998,0.151,0.057,1.851,0.057,2.788,0.121,1159.096,0.874
3,COMPLETE,8.13218,0.201,0.06,1.769,0.06,2.769,0.114,1144.718,0.883
4,COMPLETE,8.03059,0.215,0.118,1.89,0.118,2.595,0.13,1184.559,0.869
5,COMPLETE,7.76058,0.257,0.047,1.812,0.047,2.355,0.099,1185.058,0.899
6,COMPLETE,8.71724,0.158,0.071,1.808,0.071,2.873,0.125,1144.224,0.869
7,COMPLETE,8.69573,0.18,0.083,1.861,0.083,2.613,0.115,1181.073,0.884
8,COMPLETE,9.06813,0.188,0.053,1.828,0.053,1.69,0.076,1215.313,0.919
9,COMPLETE,8.443299999999999,0.184,0.06,1.807,0.06,2.493,0.13,1150.33,0.87
10,COMPLETE,7.59334,0.239,0.099,1.823,0.099,2.834,0.122,1167.334,0.878
11,COMPLETE,7.50966,0.281,0.054,1.874,0.054,2.25,0.101,1199.466,0.898
