Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.64741,0.077,0.128,1.701,0.128,4.056,0.191,1044.241,0.804
1,COMPLETE,7.96966,0.104,0.237,1.71,0.237,3.92,0.183,1071.466,0.812
2,COMPLETE,8.63826,0.094,0.139,1.767,0.139,4.28,0.172,1074.326,0.824
3,COMPLETE,8.40686,0.111,0.182,1.729,0.182,3.5,0.154,1098.186,0.835
4,COMPLETE,9.098360000000001,0.093,0.2,1.737,0.2,2.543,0.127,1149.336,0.871
5,COMPLETE,8.945409999999999,0.057,0.199,1.843,0.199,3.725,0.201,1079.541,0.795
6,COMPLETE,9.52773,0.049,0.226,1.823,0.226,2.602,0.158,1139.273,0.837
7,COMPLETE,7.45838,0.134,0.134,1.704,0.134,5.336,0.208,1013.838,0.786
8,COMPLETE,8.487849999999998,0.116,0.163,1.765,0.163,3.386,0.159,1104.285,0.838
9,COMPLETE,7.957050000000001,0.083,0.175,1.717,0.175,4.572,0.224,1007.705,0.767
10,COMPLETE,8.864709999999999,0.068,0.13,1.738,0.13,4.37,0.173,1053.471,0.812
11,COMPLETE,9.218770000000001,0.043,0.185,1.789,0.185,3.458,0.191,1078.877,0.806
