Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.235880000000002,1.774,1.725,4.653,0.169,1423.588,0.83
1,COMPLETE,14.02758,1.719,1.733,4.198,0.172,1402.758,0.826
2,COMPLETE,14.37761,1.834,1.748,4.456,0.165,1437.761,0.834
3,COMPLETE,14.571290000000001,1.766,1.746,3.743,0.14,1457.129,0.859
4,COMPLETE,13.983540000000001,1.804,1.792,5.698,0.201,1398.354,0.795
5,COMPLETE,13.48692,1.666,1.646,4.59,0.154,1348.692,0.815
6,COMPLETE,13.867920000000002,1.719,1.747,4.856,0.184,1386.792,0.813
7,COMPLETE,13.264389999999999,1.736,1.716,6.532,0.224,1326.439,0.775
8,COMPLETE,13.432009999999998,1.752,1.726,5.804,0.204,1343.201,0.783
9,COMPLETE,13.42382,1.706,1.67,4.491,0.177,1342.382,0.796
10,COMPLETE,14.370700000000001,1.758,1.781,3.609,0.145,1437.07,0.848
11,COMPLETE,14.036629999999999,1.715,1.699,2.847,0.125,1403.663,0.852
