Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.45307,1.839,1.827,4.754,0.173,1445.307,0.825
1,COMPLETE,13.72474,1.815,1.782,7.1,0.224,1372.474,0.776
2,COMPLETE,14.058470000000002,1.827,1.812,5.721,0.206,1405.847,0.792
3,COMPLETE,14.353299999999999,1.807,1.836,4.796,0.173,1435.33,0.823
4,COMPLETE,13.26049,1.762,1.774,7.115,0.249,1326.049,0.747
5,COMPLETE,14.61247,1.8,1.796,4.027,0.148,1461.247,0.85
6,COMPLETE,14.532290000000001,1.795,1.828,4.282,0.149,1453.229,0.84
7,COMPLETE,14.787420000000001,1.859,1.845,4.311,0.154,1478.742,0.844
8,COMPLETE,14.47785,1.827,1.809,4.174,0.156,1447.785,0.835
9,COMPLETE,14.57761,1.824,1.835,4.696,0.161,1457.761,0.832
10,COMPLETE,14.37836,1.811,1.832,4.558,0.178,1437.836,0.82
11,COMPLETE,13.765170000000001,1.764,1.789,5.954,0.204,1376.517,0.794
