Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,15.45533,1.665,1.675,1.287,0.066,1545.533,0.934
1,COMPLETE,13.90485,1.687,1.709,4.284,0.191,1390.485,0.809
2,COMPLETE,14.62009,1.631,1.67,2.659,0.129,1462.009,0.871
3,COMPLETE,14.82545,1.657,1.627,2.195,0.113,1482.545,0.887
4,COMPLETE,14.090369999999998,1.586,1.551,2.62,0.148,1409.037,0.852
5,COMPLETE,14.42276,1.693,1.663,3.438,0.144,1442.276,0.856
6,COMPLETE,14.65947,1.562,1.566,2.25,0.105,1465.947,0.895
7,COMPLETE,13.9153,1.653,1.667,3.818,0.181,1391.53,0.819
8,COMPLETE,14.89443,1.655,1.583,2.409,0.098,1489.443,0.902
9,COMPLETE,14.867709999999999,1.642,1.626,2.162,0.105,1486.771,0.895
10,COMPLETE,14.464990000000002,1.62,1.601,2.708,0.121,1446.499,0.879
11,COMPLETE,14.355559999999999,1.71,1.694,3.477,0.152,1435.556,0.847
