Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.92277,1.671,1.672,2.332,0.113,1492.277,0.887
1,COMPLETE,14.602939999999998,1.784,1.802,3.498,0.162,1460.294,0.838
2,COMPLETE,14.66051,1.724,1.695,3.172,0.142,1466.051,0.858
3,COMPLETE,14.13416,1.759,1.802,4.0,0.191,1413.416,0.809
4,COMPLETE,15.218519999999998,1.77,1.805,2.228,0.12,1521.852,0.88
5,COMPLETE,15.285200000000001,1.773,1.804,2.308,0.113,1528.52,0.887
6,COMPLETE,14.337689999999998,1.796,1.802,4.307,0.186,1433.769,0.814
7,COMPLETE,14.77042,1.727,1.681,3.132,0.123,1477.042,0.877
8,COMPLETE,14.83392,1.698,1.763,2.714,0.132,1483.392,0.868
9,COMPLETE,15.277650000000001,1.772,1.819,2.087,0.11,1527.765,0.89
10,COMPLETE,14.5397,1.822,1.823,3.725,0.18,1453.97,0.82
11,COMPLETE,14.89055,1.708,1.7,2.776,0.122,1489.055,0.878
