Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,7.98676,0.014,0.006,0.008,1.958,0.123,819.676,0.877
1,COMPLETE,7.7331,0.019,0.01,0.009,2.581,0.101,801.81,0.889
2,COMPLETE,8.38,0.025,0.016,0.009,1.075,0.064,875.5,0.934
3,COMPLETE,8.46924,0.019,0.011,0.008,1.181,0.073,875.424,0.927
4,COMPLETE,8.735790000000001,0.016,0.009,0.007,0.809,0.054,897.579,0.946
5,COMPLETE,7.18485,0.038,0.022,0.016,2.676,0.124,775.485,0.871
6,COMPLETE,8.31489,0.013,0.007,0.006,1.726,0.062,850.989,0.928
7,COMPLETE,7.7683599999999995,0.037,0.01,0.027,1.798,0.073,832.336,0.914
8,COMPLETE,8.36064,0.005,0.001,0.004,1.479,0.08,843.564,0.916
9,COMPLETE,8.4979,0.028,0.013,0.015,0.623,0.049,891.79,0.95
10,COMPLETE,8.259990000000002,0.022,0.009,0.013,1.509,0.079,858.999,0.921
11,COMPLETE,7.919549999999999,0.015,0.005,0.01,1.806,0.09,814.455,0.898
