Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.82527,0.006,0.004,0.002,0.907,0.055,891.527,0.944
1,COMPLETE,8.484549999999999,0.004,0.002,0.002,1.665,0.089,854.455,0.911
2,COMPLETE,8.87003,0.004,0.002,0.002,0.679,0.04,893.003,0.95
3,COMPLETE,8.98177,0.004,0.002,0.002,0.896,0.047,904.177,0.953
4,COMPLETE,8.08693,0.011,0.008,0.003,1.919,0.105,825.193,0.893
5,COMPLETE,8.757670000000001,0.008,0.005,0.003,1.183,0.056,887.767,0.939
6,COMPLETE,8.69458,0.004,0.003,0.001,0.952,0.064,875.458,0.936
7,COMPLETE,8.81766,0.009,0.003,0.006,0.63,0.051,895.266,0.949
8,COMPLETE,8.80225,0.004,0.001,0.003,0.908,0.053,886.225,0.945
9,COMPLETE,8.36938,0.048,0.024,0.024,0.41,0.042,908.938,0.958
10,COMPLETE,8.802820000000002,0.01,0.003,0.007,0.829,0.056,895.282,0.943
11,COMPLETE,8.373209999999998,0.02,0.01,0.01,1.234,0.077,867.321,0.922
