Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.54724,0.004,0.001,0.003,1.492,0.086,860.724,0.914
1,COMPLETE,8.362620000000001,0.007,0.002,0.005,1.498,0.1,846.762,0.898
2,COMPLETE,8.21593,0.004,0.002,0.002,2.157,0.118,827.593,0.882
3,COMPLETE,8.70011,0.004,0.002,0.002,1.044,0.077,876.011,0.923
4,COMPLETE,8.002040000000001,0.002,0.001,0.001,2.164,0.138,803.204,0.862
5,COMPLETE,8.35016,0.009,0.004,0.005,1.565,0.1,848.516,0.896
6,COMPLETE,8.27117,0.001,0.0,0.001,2.013,0.114,828.617,0.885
7,COMPLETE,8.422139999999999,0.011,0.006,0.005,1.413,0.089,858.714,0.911
8,COMPLETE,8.172,0.008,0.005,0.003,1.75,0.118,829.2,0.881
9,COMPLETE,8.39194,0.004,0.001,0.003,1.412,0.106,845.194,0.894
10,COMPLETE,8.19818,0.005,0.002,0.003,1.961,0.117,827.318,0.883
11,COMPLETE,8.34473,0.006,0.005,0.001,1.572,0.104,843.473,0.894
