Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.19225,0.003,0.003,0.0,2.189,0.117,823.725,0.883
1,COMPLETE,8.617299999999998,0.002,0.001,0.001,1.517,0.085,864.73,0.915
2,COMPLETE,8.54933,0.004,0.002,0.002,1.715,0.088,860.933,0.912
3,COMPLETE,8.400079999999999,0.001,0.001,0.0,1.615,0.11,841.508,0.89
4,COMPLETE,8.468560000000002,0.004,0.002,0.002,1.328,0.09,852.856,0.907
5,COMPLETE,8.247069999999999,0.001,0.001,0.0,1.499,0.119,826.207,0.88
6,COMPLETE,8.60116,0.005,0.002,0.003,1.386,0.08,867.616,0.92
7,COMPLETE,8.40785,0.007,0.002,0.005,1.294,0.103,851.285,0.897
8,COMPLETE,8.472880000000002,0.001,0.001,0.0,1.335,0.095,848.788,0.904
9,COMPLETE,8.27065,0.001,0.001,0.0,1.95,0.115,828.565,0.885
10,COMPLETE,8.57317,0.003,0.001,0.002,1.438,0.087,861.817,0.913
11,COMPLETE,8.86548,0.003,0.002,0.001,0.885,0.063,891.048,0.937
