Number,State,Value,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,11.14999,0.026,1.811,0.026,2.479,0.124,1153.999,0.872
1,COMPLETE,10.97575,0.053,1.86,0.053,2.52,0.122,1177.075,0.878
2,COMPLETE,11.06213,0.028,1.845,0.028,2.049,0.101,1148.213,0.888
3,COMPLETE,11.2721,0.045,1.919,0.045,2.607,0.116,1194.71,0.884
4,COMPLETE,11.36504,0.046,1.869,0.046,1.47,0.086,1205.504,0.909
5,COMPLETE,10.79946,0.054,1.885,0.054,2.652,0.131,1160.946,0.864
6,COMPLETE,11.154029999999999,0.042,1.88,0.042,2.639,0.119,1178.403,0.88
7,COMPLETE,11.559560000000001,0.045,1.837,0.045,1.401,0.08,1223.456,0.92
8,COMPLETE,10.875699999999998,0.041,1.827,0.041,2.766,0.129,1149.07,0.87
9,COMPLETE,10.572650000000001,0.087,1.876,0.087,2.253,0.116,1187.765,0.884
10,COMPLETE,11.134709999999998,0.045,1.861,0.045,2.033,0.111,1180.971,0.887
11,COMPLETE,10.915959999999998,0.051,1.803,0.051,2.074,0.096,1168.096,0.898
