Number,State,Value,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,11.081,0.078,1.883,0.078,2.421,0.093,1225.1,0.907
1,COMPLETE,10.95875,0.048,1.907,0.048,3.174,0.137,1167.875,0.862
2,COMPLETE,11.177169999999998,0.052,1.894,0.052,2.013,0.111,1195.717,0.889
3,COMPLETE,11.46523,0.053,1.892,0.053,1.491,0.084,1226.023,0.916
4,COMPLETE,10.968639999999999,0.079,1.902,0.079,1.383,0.103,1215.364,0.896
5,COMPLETE,10.58761,0.091,1.906,0.091,2.537,0.12,1195.261,0.88
6,COMPLETE,10.30625,0.092,1.876,0.092,2.881,0.134,1168.625,0.865
7,COMPLETE,12.05889,0.037,1.895,0.037,0.988,0.056,1261.389,0.941
8,COMPLETE,11.62222,0.044,1.925,0.044,1.696,0.09,1228.222,0.91
9,COMPLETE,11.34697,0.05,1.933,0.05,1.866,0.112,1209.697,0.888
10,COMPLETE,11.36545,0.045,1.908,0.045,1.517,0.091,1204.045,0.905
11,COMPLETE,10.68301,0.089,1.894,0.089,2.231,0.111,1201.801,0.888
