Number,State,Value,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,10.92872,0.042,1.697,0.042,1.775,0.113,1155.872,0.887
1,COMPLETE,10.757259999999999,0.04,1.663,0.04,1.95,0.127,1135.726,0.873
2,COMPLETE,10.42193,0.061,1.677,0.061,2.124,0.14,1133.693,0.86
3,COMPLETE,10.03066,0.054,1.663,0.054,2.336,0.181,1084.066,0.819
4,COMPLETE,11.183779999999999,0.045,1.7,0.045,1.427,0.095,1185.878,0.905
5,COMPLETE,10.755840000000001,0.051,1.649,0.051,2.318,0.11,1152.084,0.889
6,COMPLETE,11.03677,0.024,1.878,0.024,2.382,0.151,1139.677,0.849
7,COMPLETE,10.57313,0.043,1.746,0.043,1.682,0.152,1121.813,0.848
8,COMPLETE,11.03943,0.023,1.66,0.023,2.034,0.127,1138.443,0.873
9,COMPLETE,10.79534,0.047,1.681,0.047,1.868,0.116,1150.034,0.883
10,COMPLETE,8.01248,0.007,0.047,0.007,2.059,0.142,811.748,0.858
11,COMPLETE,10.68005,0.055,1.77,0.055,1.871,0.146,1150.505,0.854
