Number,State,Value,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,10.619740000000002,0.048,1.743,0.048,1.841,0.146,1133.974,0.854
1,COMPLETE,10.84009,0.058,1.828,0.058,1.987,0.126,1171.009,0.874
2,COMPLETE,10.86864,0.044,1.848,0.044,2.291,0.138,1152.864,0.861
3,COMPLETE,10.87982,0.062,1.79,0.062,1.319,0.12,1180.982,0.88
4,COMPLETE,10.836649999999999,0.054,1.857,0.054,2.073,0.134,1164.665,0.866
5,COMPLETE,11.03596,0.037,1.747,0.037,1.621,0.129,1159.096,0.871
6,COMPLETE,10.076630000000002,0.064,1.711,0.064,2.258,0.161,1103.663,0.839
7,COMPLETE,10.58036,0.043,1.767,0.043,2.592,0.152,1122.536,0.846
8,COMPLETE,10.73673,0.08,1.806,0.08,1.495,0.117,1193.673,0.883
9,COMPLETE,11.01166,0.04,1.861,0.04,1.539,0.145,1161.166,0.855
10,COMPLETE,11.16847,0.02,1.719,0.02,1.668,0.121,1146.847,0.879
11,COMPLETE,11.05342,0.054,1.814,0.054,1.5,0.113,1186.342,0.887
