Number,State,Value,Param dfa_EarlyBirdDFA1,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,4.7088257381615595,96.74986847438079,0.6128,1.8425999999999998,1.8478,2.9924,0.1504,1502.1022,0.8496
1,COMPLETE,9.93999721448468,894.2864213371093,0.0848,1.7448000000000001,1.7474,4.0138,0.1738,1414.455,0.8242
2,COMPLETE,10.081688467966574,1438.5350791798603,0.0706,1.7664000000000002,1.7396,4.118399999999999,0.1748,1413.9008,0.8231999999999999
3,COMPLETE,10.306019164345404,2074.90914108106,0.048,1.7713999999999999,1.7777999999999998,4.1448,0.1862,1410.9044,0.8131999999999999
4,COMPLETE,9.765909972144847,404.7240286715166,0.10540000000000001,1.8,1.8,3.44,0.1494,1471.7384,0.8506
5,COMPLETE,4.44437582172702,98.66708183726504,0.6372,1.8274000000000001,1.8192,3.5314,0.16899999999999998,1465.3946,0.8305999999999999
6,COMPLETE,9.899890139275765,3731.454034698156,0.08940000000000001,1.7586,1.7446000000000002,3.9882,0.1612,1425.0328,0.8333999999999999
7,COMPLETE,8.861695487465182,126.91711472623489,0.1956,1.8126000000000002,1.8181999999999998,3.6894,0.16240000000000002,1467.7634,0.8374
8,COMPLETE,9.038257158774373,130.57749305051902,0.1772,1.8232,1.8097999999999999,3.9088000000000003,0.1698,1454.4116,0.8298
9,COMPLETE,10.25377782729805,2393.323621316213,0.053200000000000004,1.7902,1.7765999999999997,4.2798,0.18660000000000002,1410.4712,0.8116
10,COMPLETE,8.853030529247912,157.05895035766142,0.196,1.8102,1.8058,3.6142000000000003,0.16240000000000002,1459.3898,0.8366
11,COMPLETE,7.285590417827298,106.11874796372905,0.352,1.8123999999999998,1.8006,3.9634,0.1782,1446.0348,0.8214
12,COMPLETE,9.130625403899721,213.60125540989387,0.16799999999999998,1.8294000000000001,1.8096,3.7485999999999997,0.1698,1455.0726,0.8301999999999999
13,COMPLETE,8.555378941504179,156.61603644934047,0.225,1.8206,1.8128,4.07,0.17980000000000002,1445.6552,0.8198000000000001
14,COMPLETE,9.486291699164346,338.71335465511083,0.13140000000000002,1.795,1.7814,4.132,0.1746,1436.5236,0.825
15,COMPLETE,8.40581426183844,130.26448221813004,0.24,1.8092,1.7846,3.7206,0.17099999999999999,1446.4366,0.826
16,COMPLETE,9.440865403899721,273.62406191357985,0.1376,1.8341999999999998,1.823,3.6722,0.1658,1466.2734,0.8342
17,COMPLETE,9.680746852367689,455.08263138912605,0.11220000000000001,1.8050000000000002,1.7795999999999998,3.8630000000000004,0.1728,1440.9306000000001,0.8268000000000001
18,COMPLETE,9.640884791086352,391.15692796408706,0.1162,1.7856,1.7803999999999998,3.9356,0.1694,1441.1781999999998,0.8305999999999999
19,COMPLETE,10.218743844011144,1768.8331604412795,0.0588,1.7888000000000002,1.7988,3.7293999999999996,0.16060000000000002,1448.1052,0.8384
20,COMPLETE,9.304135041782729,253.2234467063896,0.1492,1.8001999999999998,1.7952000000000001,4.4062,0.1822,1429.0624,0.8178000000000001
21,COMPLETE,9.497812701949861,259.85731492518994,0.1298,1.8052,1.8044,4.4112,0.18460000000000001,1428.4838,0.8154
