Number,State,Value,Param dfa_VegBlueDFA,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,10.321675766016714,499.1260012925412,0.0754,1.9332,0.0754,1.332,0.07880000000000001,1254.123,0.9206
1,COMPLETE,10.29583922005571,1201.73370178889,0.078,1.9268,0.078,1.8466,0.0964,1231.0814,0.9034000000000001
2,COMPLETE,2.1228642896935943,77.3351015580051,1.7393999999999998,1.8808,1.7393999999999998,3.9368000000000003,0.1564,1471.6564,0.8416
3,COMPLETE,10.395993537604456,1825.6473717696051,0.058199999999999995,1.92,0.058199999999999995,1.6354,0.09419999999999999,1233.1534,0.9056
4,COMPLETE,10.402178718662952,646.4974024099722,0.059199999999999996,1.9245999999999999,0.059199999999999996,1.3182,0.0762,1253.2308,0.9231999999999999
5,COMPLETE,10.357202896935934,373.04698592425484,0.0688,1.9385999999999999,0.0688,1.241,0.0746,1258.6592,0.9246000000000001
6,COMPLETE,5.797963008356546,211.20250772768196,1.0012,1.9224,1.0012,1.8294000000000001,0.079,1443.1136000000001,0.9206
7,COMPLETE,10.341674428969359,943.5777399950001,0.0692,1.9274,0.0692,1.6506,0.09240000000000001,1234.3755999999998,0.9074
8,COMPLETE,10.283072646239555,1355.2972753974755,0.08259999999999999,1.9302,0.08259999999999999,1.572,0.0866,1249.4504000000002,0.9132
9,COMPLETE,10.357013593314763,489.24455455369656,0.06820000000000001,1.9314,0.06820000000000001,1.5202,0.0792,1252.9343999999999,0.9208000000000001
10,COMPLETE,10.443757103064067,2258.931644834302,0.0494,1.9068,0.0494,1.4344,0.079,1239.909,0.9198000000000001
11,COMPLETE,10.396896378830082,3200.376007163323,0.05600000000000001,1.8892,0.05600000000000001,2.0192,0.099,1215.029,0.8996000000000001
12,COMPLETE,10.332056601671308,991.6229806693808,0.0684,1.9128,0.0684,1.9533999999999998,0.095,1209.9316000000001,0.8974
13,COMPLETE,10.2735956545961,1033.83664844311,0.0824,1.9167999999999998,0.0824,1.8514,0.0972,1230.6442,0.9028
14,COMPLETE,10.444534150417828,4412.880776234009,0.047,1.8896000000000002,0.047,1.956,0.0938,1219.7638000000002,0.9061999999999999
15,COMPLETE,10.347645793871868,1507.0031564248234,0.06899999999999999,1.9207999999999998,0.06899999999999999,1.6039999999999999,0.0852,1243.2992,0.9144
16,COMPLETE,10.218802674094707,598.7018872860258,0.0948,1.921,0.0948,1.6318000000000001,0.0922,1243.5808000000002,0.9077999999999999
17,COMPLETE,9.8849295821727,291.3559697162525,0.1678,1.9494,0.1678,0.93,0.0596,1299.4536,0.9369999999999999
18,COMPLETE,10.399423286908078,3161.585794402782,0.057199999999999994,1.9085999999999999,0.057199999999999994,1.6796,0.092,1230.3348,0.9076000000000001
19,COMPLETE,10.351149303621169,367.86358915148793,0.0702,1.9393999999999998,0.0702,1.3066,0.076,1260.358,0.924
20,COMPLETE,10.404708969359332,1822.1265401891794,0.056999999999999995,1.9138000000000002,0.056999999999999995,1.6254000000000002,0.087,1238.0276,0.9124000000000001
21,COMPLETE,3.6221567688022285,146.43197591574224,1.4358,1.9014,1.4358,3.2908,0.13979999999999998,1438.0764,0.8542
22,COMPLETE,2.254359442896935,87.2679079260193,1.7128,1.8818000000000001,1.7128,4.191599999999999,0.1588,1468.9551999999999,0.8412000000000001
23,COMPLETE,4.892387632311977,178.43118104674636,1.1852,1.9254000000000002,1.1852,2.121,0.0912,1469.0058000000001,0.9084
24,COMPLETE,10.354265515320334,989.2600520961755,0.0664,1.9213999999999998,0.0664,1.8618,0.09759999999999999,1231.8466,0.9023999999999999
25,COMPLETE,10.458144846796657,3710.6783688206015,0.0448,1.9098,0.0448,1.8112,0.0918,1224.45,0.9077999999999999
26,COMPLETE,10.412454707520892,4786.405018062918,0.0538,1.8996,0.0538,1.8024,0.0926,1223.2112,0.906
27,COMPLETE,10.39808155988858,4472.785416005641,0.05620000000000001,1.9042000000000001,0.05620000000000001,1.9006,0.098,1218.9514,0.9018
28,COMPLETE,10.36779442896936,4523.274147313963,0.061,1.9027999999999998,0.061,2.1398,0.10600000000000001,1207.666,0.8936
29,COMPLETE,10.430788857938719,4799.975448044894,0.0482,1.8905999999999998,0.0482,2.102,0.10300000000000001,1205.861,0.8960000000000001
30,COMPLETE,10.366123008356546,1914.476176379415,0.0638,1.9186,0.0638,1.6481999999999999,0.09559999999999999,1229.7958,0.9039999999999999
31,COMPLETE,10.3814626183844,2055.286888767543,0.059,1.9140000000000001,0.059,2.0786000000000002,0.1072,1214.2504000000001,0.8922000000000001
32,COMPLETE,1.8424441225626733,53.91726880079584,1.7890000000000001,1.8350000000000002,1.7890000000000001,5.7252,0.2064,1413.4622,0.7926
33,COMPLETE,10.408751086350975,2113.9928621639724,0.05500000000000001,1.9184,0.05500000000000001,1.7315999999999998,0.09459999999999999,1227.3332,0.9048
34,COMPLETE,10.377007242339833,4381.897073256318,0.0602,1.9096,0.0602,2.0238,0.10300000000000001,1217.023,0.8966
35,COMPLETE,10.414123899721448,1947.7590895996743,0.055600000000000004,1.9232,0.055600000000000004,1.2778,0.0828,1242.3624,0.917
36,COMPLETE,10.366366462395543,1785.744626698137,0.063,1.9076,0.063,1.8446000000000002,0.095,1223.0528,0.9038
37,COMPLETE,10.357538941504178,1802.1551519890913,0.0638,1.9088,0.0638,2.0406,0.1058,1214.3874,0.8939999999999999
38,COMPLETE,10.360630974930363,2044.8671251277444,0.0634,1.9096,0.0634,1.9893999999999998,0.1044,1216.3476,0.8956
39,COMPLETE,10.428476991643453,4734.438242764174,0.0498,1.9004,0.0498,1.8966,0.097,1216.0711999999999,0.9018
40,COMPLETE,10.328777604456825,4875.320022316727,0.0708,1.9094000000000002,0.0708,1.704,0.095,1225.5858,0.9042
41,COMPLETE,10.338735153203343,2713.743483483037,0.06899999999999999,1.8980000000000001,0.06899999999999999,1.9242000000000001,0.0938,1227.3046,0.906
42,COMPLETE,10.455104735376043,2657.139184004258,0.0438,1.9187999999999998,0.0438,1.6822,0.1024,1210.018,0.8972
43,COMPLETE,10.363033537604457,4843.898203616804,0.062,1.8948,0.062,2.0584,0.1076,1208.0952,0.8916000000000001
44,COMPLETE,10.375476991643454,1311.2155266006403,0.0608,1.9116,0.0608,1.9814,0.1022,1219.6612,0.8976000000000001
45,COMPLETE,10.333457493036212,793.9710108886017,0.07139999999999999,1.9198,0.07139999999999999,1.7251999999999998,0.09040000000000001,1239.3712,0.9096
46,COMPLETE,10.351958217270194,4271.484790023442,0.0648,1.8936,0.0648,2.0576,0.0992,1213.345,0.8960000000000001
47,COMPLETE,10.406409025069639,4770.01331357198,0.054000000000000006,1.8905999999999998,0.054000000000000006,1.9462,0.1014,1214.1542,0.8977999999999999
48,COMPLETE,10.37523844011142,2987.5708283979648,0.0616,1.9156,0.0616,1.6972,0.0944,1226.413,0.9048
49,COMPLETE,10.41997348189415,4858.568275548691,0.052000000000000005,1.9024,0.052000000000000005,1.9533999999999998,0.0962,1220.5524,0.9036
50,COMPLETE,10.415183509749303,2595.7446554239664,0.0538,1.9078,0.0538,1.7328,0.0918,1228.1093999999998,0.9082000000000001
51,COMPLETE,10.361780501392758,2562.090927889921,0.0648,1.918,0.0648,1.6882000000000001,0.0938,1230.976,0.9061999999999999
52,COMPLETE,10.36512077994429,4946.448628622496,0.0624,1.893,0.0624,2.0328,0.1002,1215.4317999999998,0.899
53,COMPLETE,10.342620167130919,2403.184450361985,0.0654,1.9078,0.0654,2.1388000000000003,0.11259999999999999,1201.9682,0.8868
54,COMPLETE,10.374297270194987,4858.384624422067,0.059399999999999994,1.8998000000000002,0.059399999999999994,2.12,0.1086,1204.9786,0.891
55,COMPLETE,10.449705849582172,2236.7549268129715,0.0486,1.9178000000000002,0.0486,1.331,0.0806,1243.407,0.9189999999999999
56,COMPLETE,10.3692086908078,4785.327397415018,0.0612,1.8946,0.0612,1.9434,0.1008,1211.9995999999999,0.8986000000000001
57,COMPLETE,10.314999331476322,4989.423797212557,0.0698,1.8960000000000001,0.0698,2.5143999999999997,0.118,1191.8788,0.8814
58,COMPLETE,10.434770807799442,4770.779746507865,0.047799999999999995,1.8936,0.047799999999999995,1.9335999999999998,0.1012,1209.4186,0.8981999999999999
59,COMPLETE,10.355154986072424,2189.0303517748252,0.06420000000000001,1.9078,0.06420000000000001,2.0914,0.1046,1213.6982,0.8952
60,COMPLETE,10.321810919220056,2242.7464229970115,0.07139999999999999,1.904,0.07139999999999999,1.8457999999999999,0.1028,1218.4656,0.8972
61,COMPLETE,10.373704401114207,2248.9409426977318,0.0596,1.911,0.0596,1.9994,0.11279999999999998,1205.7094,0.8869999999999999
62,COMPLETE,10.361361894150418,2397.6091601605053,0.055200000000000006,1.826,0.055200000000000006,3.441,0.1234,1144.0646000000002,0.8674
63,COMPLETE,10.435722451253483,2420.5028160513275,0.0474,1.918,0.0474,1.8996,0.1106,1207.5368,0.8888
64,COMPLETE,10.365925793871867,1224.822520786297,0.06420000000000001,1.9300000000000002,0.06420000000000001,1.6199999999999999,0.0944,1233.0318,0.9054
65,COMPLETE,10.35257225626741,2670.0008432041245,0.06860000000000001,1.921,0.06860000000000001,1.4528,0.0814,1248.5522,0.9186
66,COMPLETE,10.401179164345404,4785.466071580065,0.052000000000000005,1.8961999999999999,0.052000000000000005,2.3404,0.1222,1186.8165999999999,0.8774
67,COMPLETE,10.423220835654597,4536.588090398158,0.0508,1.8812000000000002,0.0508,1.6283999999999998,0.0944,1215.6114,0.9042
68,COMPLETE,10.434894707520892,3143.4077833796314,0.05,1.9224,0.05,1.4598,0.09240000000000001,1229.386,0.9066000000000001
69,COMPLETE,10.308952980501394,3008.4697118074746,0.0744,1.9178000000000002,0.0744,1.9006,0.10200000000000001,1222.3106,0.8972
70,COMPLETE,10.394664289693592,4780.7271789458655,0.056999999999999995,1.889,0.056999999999999995,1.8015999999999999,0.09340000000000001,1219.9974,0.9061999999999999
71,COMPLETE,10.411723899721448,1072.2202945782471,0.05500000000000001,1.9198,0.05500000000000001,1.734,0.09340000000000001,1232.6694,0.9061999999999999
72,COMPLETE,10.413050807799442,1410.3272183859592,0.05620000000000001,1.9254000000000002,0.05620000000000001,1.3564,0.08,1245.8211999999999,0.9196
73,COMPLETE,10.325832534818941,1917.3840699764332,0.072,1.9222000000000001,0.072,1.6920000000000002,0.0988,1231.0693999999999,0.9007999999999999
74,COMPLETE,10.432928356545961,2051.2253432463353,0.0502,1.9170000000000003,0.0502,1.8194,0.09559999999999999,1227.6514,0.9044000000000001
75,COMPLETE,10.439861504178273,2177.5344230240066,0.0506,1.9148,0.0506,1.4826000000000001,0.08120000000000001,1243.6864,0.9188000000000001
76,COMPLETE,10.389726462395542,2910.995146881589,0.05600000000000001,1.8972000000000002,0.05600000000000001,2.2046,0.11200000000000002,1202.159,0.8876
77,COMPLETE,10.439843788300836,4939.95229285977,0.046400000000000004,1.9027999999999998,0.046400000000000004,1.9853999999999998,0.1014,1205.9596,0.8972
78,COMPLETE,10.405074986072423,2773.604371902723,0.05500000000000001,1.9024,0.05500000000000001,1.8876000000000002,0.0968,1220.7346,0.9002000000000001
79,COMPLETE,10.435357548746518,1480.509009996483,0.0498,1.9260000000000002,0.0498,1.8272,0.0948,1228.4218,0.905
