Number,State,Value,Param dfa_DangerDFA,Param dfa_DeliveryDFA,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
0,COMPLETE,105.4,160.74576516477634,405.47723278831194,300.0,1.0,0.0
1,COMPLETE,10.053333333333333,547.3060139148647,48.42154443687164,40.0,0.0,1.0
2,COMPLETE,105.4,75.17545132037877,728.8613224763553,300.0,1.0,0.0
3,COMPLETE,105.4,135.2572237216707,43.33784822641971,300.0,1.0,0.0
4,COMPLETE,85.4,53.74028402694013,47.83140104383176,300.0,1.0,0.2
5,COMPLETE,105.52,12.649503996500217,82.08034138446462,390.0,1.0,0.0
6,COMPLETE,65.44,80.38185889824227,67.05845088025956,330.0,1.0,0.4
7,COMPLETE,67.26666666666667,153.7032342248052,23.709536259303317,200.0,0.6,0.4
8,COMPLETE,10.066666666666666,268.9396314596508,191.85128116933143,50.0,0.0,1.0
9,COMPLETE,86.33333333333333,152.372402454117,636.148551943013,250.0,0.8,0.2
10,COMPLETE,105.56,24.823527153765042,204.43581617356313,420.0,1.0,0.0
11,COMPLETE,10.066666666666666,279.0016439304434,229.82882159907118,50.0,0.0,1.0
12,COMPLETE,105.4,74.3730446359019,455.5899350257404,300.0,1.0,0.0
13,COMPLETE,105.4,195.0442873731058,806.1639659436789,300.0,1.0,0.0
14,COMPLETE,105.56,16.585633216006748,107.24334246551243,420.0,1.0,0.0
15,COMPLETE,85.4,144.5670444984754,37.2498489490196,300.0,1.0,0.2
16,COMPLETE,10.066666666666666,582.6420386773757,389.9098392109169,50.0,0.0,1.0
17,COMPLETE,105.56,22.912222716503454,53.42905902225752,420.0,1.0,0.0
18,COMPLETE,10.066666666666666,505.21595275426057,27.909585744270057,50.0,0.0,1.0
19,COMPLETE,10.066666666666666,450.0799572872524,74.60464080977444,50.0,0.0,1.0
20,COMPLETE,10.066666666666666,889.9992847561549,12.579834922088596,50.0,0.0,1.0
21,COMPLETE,105.6,11.967778617134343,668.4490942999493,450.0,1.0,0.0
22,COMPLETE,105.6,10.971976422615365,845.8389590679915,450.0,1.0,0.0
23,COMPLETE,105.56,11.162620797753194,205.19126985110273,420.0,1.0,0.0
24,COMPLETE,85.56,20.60718527021602,19.765565612280245,420.0,1.0,0.2
25,COMPLETE,105.52,38.501611097626,256.07108235203856,390.0,1.0,0.0
26,COMPLETE,105.56,31.91961513628746,202.84616950827746,420.0,1.0,0.0
27,COMPLETE,105.6,39.95702331329459,132.26469337480222,450.0,1.0,0.0
28,COMPLETE,105.6,42.5475900379688,126.01320979909933,450.0,1.0,0.0
29,COMPLETE,105.6,13.203499361538727,72.47914087774022,450.0,1.0,0.0
30,COMPLETE,105.6,13.32094990479846,795.7265843640537,450.0,1.0,0.0
31,COMPLETE,105.6,10.31869162284971,999.8058331707763,450.0,1.0,0.0
32,COMPLETE,105.6,14.451395696361612,902.6020171204933,450.0,1.0,0.0
33,COMPLETE,105.56,10.723437805972674,600.5460995469921,420.0,1.0,0.0
34,COMPLETE,105.48,30.08502911979857,477.0241681900219,360.0,1.0,0.0
35,COMPLETE,105.56,35.19706907426321,980.6912962922846,420.0,1.0,0.0
36,COMPLETE,105.6,16.604637556850587,427.65265820443346,450.0,1.0,0.0
37,COMPLETE,105.56,11.35550712609947,420.6174293205667,420.0,1.0,0.0
38,COMPLETE,105.6,11.540201060858571,394.93080802874886,450.0,1.0,0.0
39,COMPLETE,64.48,62.72196865677153,10.53369787985004,360.0,1.2,0.4
40,COMPLETE,86.33333333333333,105.61348889712973,164.93678002115266,250.0,0.8,0.2
41,COMPLETE,85.44,81.59901419916424,103.51351278293693,330.0,1.0,0.2
42,COMPLETE,85.6,45.41075400345387,116.4000397905703,450.0,1.0,0.2
43,COMPLETE,85.44,52.32688334031234,92.72966863937474,330.0,1.0,0.2
44,COMPLETE,85.52,54.64963162290118,114.12564021993063,390.0,1.0,0.2
45,COMPLETE,105.56,27.959383937242208,740.0856356082758,420.0,1.0,0.0
46,COMPLETE,105.48,46.36890738901198,216.4516494146661,360.0,1.0,0.0
47,COMPLETE,105.6,10.059022786571928,812.716227344329,450.0,1.0,0.0
48,COMPLETE,65.4,65.9007350962761,44.604559716386255,300.0,1.0,0.4
49,COMPLETE,105.52,22.77380771544593,218.58786050585863,390.0,1.0,0.0
50,COMPLETE,105.56,28.55326420868188,98.57676939387255,420.0,1.0,0.0
51,COMPLETE,85.6,30.19716089628368,100.94714875223752,450.0,1.0,0.2
52,COMPLETE,105.52,15.136535170413003,71.35880964719594,390.0,1.0,0.0
53,COMPLETE,65.6,10.987069994975895,32.985808222900616,450.0,1.0,0.4
54,COMPLETE,10.066666666666666,834.7434718431892,945.4632297021582,50.0,0.0,1.0
55,COMPLETE,85.6,15.394173038248788,116.56004420606762,450.0,1.0,0.2
56,COMPLETE,63.68,18.410072074956826,75.63459160313047,510.0,1.4,0.4
57,COMPLETE,105.6,11.288430649274076,83.98343909935036,450.0,1.0,0.0
58,COMPLETE,105.6,10.139107672238655,123.90461672076422,450.0,1.0,0.0
59,COMPLETE,85.6,33.890289507764535,33.7069610232468,450.0,1.0,0.2
60,COMPLETE,105.6,16.90475758613639,937.5748661476562,450.0,1.0,0.0
61,COMPLETE,105.6,10.264019265073948,869.6814012400846,450.0,1.0,0.0
62,COMPLETE,105.6,18.823556237190225,724.8310840141636,450.0,1.0,0.0
63,COMPLETE,105.56,24.146143236322505,452.9599049217798,420.0,1.0,0.0
64,COMPLETE,105.56,21.34622741528674,895.1212207329542,420.0,1.0,0.0
65,COMPLETE,105.6,22.276052605773806,993.2025376197565,450.0,1.0,0.0
66,COMPLETE,105.6,11.605134071083564,366.34276502863577,450.0,1.0,0.0
67,COMPLETE,105.6,11.053021112590761,598.9791405872684,450.0,1.0,0.0
68,COMPLETE,105.4,73.74783765797694,304.2581638839465,300.0,1.0,0.0
69,COMPLETE,105.6,11.852005459290469,388.7373219751322,450.0,1.0,0.0
70,COMPLETE,105.6,15.173403027967508,997.4203272239945,450.0,1.0,0.0
71,COMPLETE,105.48,30.843108609487448,163.42237298857057,360.0,1.0,0.0
72,COMPLETE,105.6,12.04392740339231,837.0475642171385,450.0,1.0,0.0
