Number,State,Value,Param dfa_CTDBlueDFA,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,737.1961431754876,2447.874778331077,146.34546980306555,91.57483846721549,0.0064,0.36819999999999997,2.0544000000000002,2.048,1.027,1.0210000000000001,1.027,1.0210000000000001,2.487,0.122,1213.6770000000001,0.8778
1,COMPLETE,236.4282486350976,3358.8661238500686,439.68486135945693,552.0514866320062,0.0038,0.8737999999999999,0.0144,0.0106,0.004,0.0066,0.004,0.0066,6.7787999999999995,0.1574,627.7988,0.7032
2,COMPLETE,110.38908506963787,309.7762493253394,168.00081422284882,560.1407925860858,0.0024000000000000002,1.0,0.0086,0.0062,0.0026,0.0036,0.0026,0.0036,1.6106000000000003,0.11220000000000001,833.9302,0.8869999999999999
3,COMPLETE,1058.7706773816155,305.30153811568294,2523.4480416272954,77.05713191724514,0.0152,0.0432,3.3893999999999997,3.3741999999999996,1.7053999999999998,1.6687999999999998,1.7053999999999998,1.6687999999999998,3.056,0.157,1411.1884,0.8422000000000001
4,COMPLETE,110.42642924791086,260.9349935728887,62.174788478554674,1112.4385676864938,0.0012000000000000001,1.0,0.004200000000000001,0.003,0.0012000000000000001,0.0018,0.0012000000000000001,0.0018,1.5908,0.1132,832.753,0.8858
5,COMPLETE,110.75463526462391,122.34051887883099,109.59064080901331,3127.4190731773915,0.004200000000000001,0.9996,0.0092,0.005,0.0021999999999999997,0.0028,0.0021999999999999997,0.0028,1.4778,0.101,847.4828,0.8987999999999999
6,COMPLETE,1054.2567481337046,525.4645500291217,1088.1874134320192,65.63957683993229,0.0058000000000000005,0.0482,3.2700000000000005,3.2642,1.6232,1.641,1.6232,1.641,3.7358,0.174,1368.2354,0.8252
7,COMPLETE,110.36571543175486,169.35847506027417,178.69250000717625,2034.0898330131618,0.0036,1.0,0.008,0.004399999999999999,0.0021999999999999997,0.0021999999999999997,0.0021999999999999997,0.0021999999999999997,1.8576000000000001,0.1078,837.7542,0.892
8,COMPLETE,651.5856033983287,1584.6032193012907,235.82303185997233,226.9344791174445,0.0028,0.45599999999999996,1.1758,1.173,0.5860000000000001,0.587,0.5860000000000001,0.587,1.7746,0.11120000000000001,1055.6456,0.8876
9,COMPLETE,409.6773913649026,407.66346177549445,558.0336652083932,586.4145214710128,0.0046,0.7001999999999999,0.0776,0.073,0.0348,0.0382,0.0348,0.0382,13.597999999999999,0.2398,313.93,0.43220000000000003
10,COMPLETE,767.6498246796658,336.84609863057165,520.6475161953562,504.0218810388225,0.0072,0.3408,0.7586,0.7514000000000001,0.38980000000000004,0.36160000000000003,0.38980000000000004,0.36160000000000003,2.4368,0.12179999999999999,912.4428,0.8652
11,COMPLETE,110.3621347075209,97.1637953611751,82.50766639481591,4627.019862525192,0.0038,1.0,0.0094,0.0056,0.0018,0.0038,0.0018,0.0038,1.6224,0.1018,845.6868000000001,0.8972
12,COMPLETE,1059.998700334262,1441.392709709414,2134.579228547827,303.66436969024454,0.0032,0.0474,1.2438,1.2406000000000001,0.6048,0.6357999999999999,0.6048,0.6357999999999999,1.8898,0.10800000000000001,1041.4596,0.8864000000000001
13,COMPLETE,110.3415252367688,286.3014230854676,146.43467289616402,585.4369943986272,0.004200000000000001,1.0,0.011,0.0068000000000000005,0.0034000000000000002,0.0034000000000000002,0.0034000000000000002,0.0034000000000000002,1.7884,0.11539999999999999,832.0278000000001,0.884
14,COMPLETE,755.9226643454039,51.7685940120843,1593.4658070984935,1428.1320535117584,0.0134,0.3536,0.0396,0.0262,0.011,0.0152,0.011,0.0152,29.407400000000003,0.2818,-137.92000000000002,0.0
15,COMPLETE,110.42672479108636,3524.9882034824964,274.0004228292314,1041.3468311533004,0.0014,1.0,0.007000000000000001,0.0056,0.0028,0.0028,0.0028,0.0028,1.4114,0.09519999999999999,853.926,0.9046
16,COMPLETE,1068.1528340389973,1321.8089664053364,2409.131874143157,307.86105041241143,0.0068000000000000005,0.039,1.3106,1.3038,0.6527999999999999,0.651,0.6527999999999999,0.651,2.3814,0.118,1045.2896,0.877
17,COMPLETE,1060.663699108635,96.23722716226244,2052.51598842425,58.57195970209759,0.0722,0.0398,3.4752,3.403,1.7006000000000001,1.7024000000000001,1.7006000000000001,1.7024000000000001,3.8242,0.1736,1393.2774,0.8262
18,COMPLETE,1059.4820328690807,226.2903902341173,3046.443755033674,445.95224841832044,0.008400000000000001,0.0482,1.0708,1.0624,0.5474,0.515,0.5474,0.515,2.7634,0.1216,983.719,0.8698
19,COMPLETE,1048.0123748746519,2728.2382220919526,994.7360385559789,115.11806226088646,0.0058000000000000005,0.055200000000000006,2.9728000000000003,2.967,1.5054,1.4616,1.5054,1.4616,2.1812,0.1162,1390.9004,0.8824
20,COMPLETE,1070.0628633426184,391.2887814588098,2442.52678451675,119.35381898728977,0.008799999999999999,0.033,3.0021999999999998,2.9934000000000003,1.5026,1.4908,1.5026,1.4908,2.6496,0.1276,1375.6222,0.8718
21,COMPLETE,602.4480478551532,1815.9614806652828,3213.055318529646,4004.2691776528313,0.003,0.5072,0.0512,0.0482,0.026600000000000002,0.0216,0.026600000000000002,0.0216,36.8596,0.5067999999999999,-280.8316,0.0
22,COMPLETE,110.40915704735376,1795.5672937066058,55.56830804881781,3270.480649819549,0.002,1.0,0.0062,0.004200000000000001,0.002,0.0021999999999999997,0.002,0.0021999999999999997,1.7348,0.1032,843.0343999999999,0.8956
23,COMPLETE,415.21075164345405,71.02358500666801,71.79476507178764,127.98828817165324,0.0316,0.6878,2.8248,2.7931999999999997,1.4006,1.3926,1.4006,1.3926,1.8226,0.0982,1406.8342,0.9018
24,COMPLETE,1068.2833605571032,2914.669502967142,3499.391616793826,73.38991488340169,0.0098,0.034,3.2985999999999995,3.2887999999999997,1.65,1.6388000000000003,1.65,1.6388000000000003,3.7354,0.1936,1346.8971999999999,0.8058
25,COMPLETE,1062.885308523677,63.062253357023934,616.182486763196,252.7690393864363,0.012199999999999999,0.0432,1.7158000000000002,1.7036000000000002,0.8593999999999999,0.8442000000000001,0.8593999999999999,0.8442000000000001,1.5218,0.0998,1165.5088,0.898
26,COMPLETE,1011.286098718663,250.3696105903287,252.19727630575971,144.28396239901826,0.0098,0.0926,2.6626000000000003,2.6528,1.3232,1.3296,1.3232,1.3296,2.0604,0.0938,1369.7622,0.9061999999999999
27,COMPLETE,1062.663129470752,2601.337047351588,2013.1914667559238,584.14437586848,0.0036,0.045200000000000004,1.0324,1.0288,0.52,0.5088,0.52,0.5088,3.0416,0.13640000000000002,942.6074000000001,0.8394
28,COMPLETE,1060.9356808913649,626.7096007510788,3645.37730368081,89.38561975899238,0.009,0.0414,3.2909999999999995,3.282,1.6344,1.6476,1.6344,1.6476,3.3933999999999997,0.1676,1374.3971999999999,0.8314
29,COMPLETE,1057.8693238997214,3716.88430763554,4802.599103294043,360.1517089590078,0.0048000000000000004,0.0498,1.1099999999999999,1.1052,0.5628,0.5424,0.5628,0.5424,2.3192,0.1272,991.4214,0.8666
30,COMPLETE,990.5111127019499,408.68874166300515,278.78588447420447,51.62777934010164,0.0164,0.1116,3.3165999999999998,3.3002000000000002,1.6527999999999998,1.6474,1.6527999999999998,1.6474,3.7165999999999997,0.1734,1385.0448000000001,0.8266
31,COMPLETE,704.6408531476322,370.4110708614047,930.0421776381215,3540.257170232286,0.0024000000000000002,0.40519999999999995,0.0112,0.008799999999999999,0.0054,0.0034000000000000002,0.0054,0.0034000000000000002,27.8196,0.3224,-138.4786,0.0
32,COMPLETE,808.9971749303621,706.1596439990262,3912.8759990740405,1156.9545514322283,0.009,0.3004,0.1242,0.1152,0.062,0.053200000000000004,0.062,0.053200000000000004,32.476600000000005,0.311,-161.236,0.0004
33,COMPLETE,1000.6587915320334,53.05502683892449,490.1355462486365,52.34771237400356,0.16240000000000002,0.09759999999999999,3.5432,3.3808,1.687,1.6938,1.687,1.6938,4.0478000000000005,0.1836,1383.5708,0.8162
34,COMPLETE,1051.9475523119777,204.3575058204794,3358.7505494997563,61.478932699987034,0.0458,0.0492,3.4394,3.3936,1.6966,1.6969999999999998,1.6966,1.6969999999999998,3.6672,0.1688,1393.9114,0.8308
35,COMPLETE,1049.334004178273,65.48373862016592,3534.1166148033385,114.30715137435178,0.0896,0.0514,3.2049999999999996,3.1154,1.5656,1.5497999999999998,1.5656,1.5497999999999998,3.1271999999999998,0.1494,1368.6950000000002,0.8506
36,COMPLETE,1053.0687978830083,650.9075164115604,1064.6411798478841,320.5841011491742,0.003,0.054400000000000004,1.215,1.212,0.6174000000000001,0.5946,0.6174000000000001,0.5946,2.2154,0.11639999999999999,1029.9672,0.8800000000000001
37,COMPLETE,1076.0057682451252,755.2054118839615,2382.1762300654814,282.2195631641408,0.0024000000000000002,0.0312,1.3364,1.334,0.6734,0.6606,0.6734,0.6606,1.737,0.1008,1078.3790000000001,0.8939999999999999
38,COMPLETE,1068.195919665738,591.3867991892831,4039.423139312597,58.92041197529528,0.009600000000000001,0.033800000000000004,3.4244,3.4148000000000005,1.7012,1.7136,1.7012,1.7136,3.8031999999999995,0.175,1387.3908,0.8231999999999999
39,COMPLETE,643.0439605571031,3324.737483905938,603.4061742602223,4779.587594527314,0.004399999999999999,0.4668,0.017599999999999998,0.0132,0.0066,0.0066,0.0066,0.0066,23.8824,0.2802,-23.4058,0.0948
40,COMPLETE,1075.6061537047353,521.6063082216283,4204.481532209801,137.64725928901305,0.0052,0.027800000000000002,2.8958,2.8906,1.45,1.4406,1.45,1.4406,2.3002,0.11979999999999999,1368.9634,0.8792
41,COMPLETE,1066.9240718662952,2652.4553519036476,3796.6680453666377,87.24012869424546,0.0118,0.0354,3.2678,3.2560000000000002,1.6248,1.6312000000000002,1.6248,1.6312000000000002,3.6670000000000003,0.1732,1362.534,0.8248
42,COMPLETE,1046.7395575487465,2139.0665852004126,1602.76978268001,59.428683794012805,0.0034000000000000002,0.055600000000000004,3.3406,3.3372,1.6751999999999998,1.6620000000000001,1.6751999999999998,1.6620000000000001,3.6826,0.1748,1377.7658,0.8246
43,COMPLETE,1071.7150251253481,206.20065592728164,1441.8344266661481,270.2595201307325,0.0038,0.035199999999999995,1.4428,1.439,0.7482,0.6908000000000001,0.7482,0.6908000000000001,1.9256,0.11479999999999999,1090.5076,0.884
44,COMPLETE,1081.2358838440111,4310.175582901211,3203.3542318647733,52.01036981717941,0.009600000000000001,0.0208,3.4014,3.3918,1.7044000000000001,1.6873999999999998,1.7044000000000001,1.6873999999999998,3.9985999999999997,0.1936,1355.914,0.8046
