Number,State,Value,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,84.9507844011142,136.345167212959,284.55836356017323,0.24020000000000002,0.3492,1.9224,0.3492,1.8628,0.093,1286.6280000000002,0.9067999999999999
1,COMPLETE,94.43180300835655,793.5741899313605,1856.9478933094315,0.15960000000000002,0.0512,1.8348,0.0512,2.5506,0.118,1162.8064,0.8794000000000001
2,COMPLETE,91.9226877994429,2912.5476872091003,654.7664448782772,0.1834,0.0782,1.8602,0.0782,2.4522,0.11240000000000001,1173.3696,0.885
3,COMPLETE,89.83565582172702,540.1192487358619,1781.0030577383438,0.2048,0.06820000000000001,1.8434000000000001,0.06820000000000001,2.4922,0.1078,1178.6972,0.8906000000000001
4,COMPLETE,94.09132401114206,319.02568170378635,258.06329203277465,0.137,0.5873999999999999,1.8681999999999999,0.5873999999999999,2.362,0.10400000000000001,1307.3416,0.8948
5,COMPLETE,85.88011788300835,2443.3548911984353,3888.3817969130037,0.24420000000000003,0.0698,1.8876000000000002,0.0698,2.7958,0.13240000000000002,1165.1666,0.8656
6,COMPLETE,90.42463955431754,233.97507502632368,960.5597177002363,0.199,0.066,1.875,0.066,2.407,0.11679999999999999,1175.078,0.8788
7,COMPLETE,91.24431754874652,604.5246848084541,107.68875113278817,0.11379999999999998,1.638,1.8508,1.638,3.8642000000000003,0.144,1461.7,0.8555999999999999
8,COMPLETE,51.09458662952646,51.411027003615004,2048.0918161042305,0.5926,0.0664,1.9286,0.0664,1.7486000000000002,0.092,1232.423,0.9071999999999999
9,COMPLETE,94.97263097493035,2840.876952451389,542.0405020327202,0.1534,0.06760000000000001,1.8552,0.06760000000000001,2.614,0.1132,1167.8826,0.885
10,COMPLETE,93.18126451253482,843.572378496015,282.7563376430813,0.155,0.40780000000000005,1.887,0.40780000000000005,1.9789999999999999,0.0898,1292.8748,0.9098
11,COMPLETE,75.75580668523678,80.56514787509286,573.0659390630277,0.346,0.06820000000000001,1.9495999999999998,0.06820000000000001,1.3359999999999999,0.08,1250.768,0.9194000000000001
12,COMPLETE,87.73451264623955,108.8619154512085,175.65997496681382,0.16799999999999998,1.2558,1.9123999999999999,1.2558,2.5552,0.1032,1460.2552,0.8954000000000001
13,COMPLETE,76.22670495821727,104.68193408578622,1614.8119115844502,0.34140000000000004,0.0624,1.9238,0.0624,2.0098,0.1,1218.2754,0.8997999999999999
14,COMPLETE,90.72497972144848,1201.910224852089,740.1188416618161,0.196,0.065,1.8352,0.065,2.5406,0.1132,1166.7136,0.8837999999999999
15,COMPLETE,86.75452668523675,4641.613861084007,106.40571886698042,0.1608,1.592,1.8341999999999998,1.592,4.2863999999999995,0.152,1426.1754,0.8423999999999999
16,COMPLETE,89.85722830083567,735.5511675921185,692.478923180927,0.2042,0.076,1.8344,0.076,2.2388000000000003,0.11120000000000001,1179.7248,0.8864000000000001
17,COMPLETE,67.27561459610028,74.49845751946306,1139.4495202976552,0.43079999999999996,0.0654,1.9256,0.0654,1.9438,0.0998,1225.2932,0.9
18,COMPLETE,66.43423933147632,78.74475423266068,370.66393769720526,0.4394,0.063,1.9492,0.063,1.4836,0.09559999999999999,1237.1846,0.9044000000000001
19,COMPLETE,97.66817771587743,1560.1764194132372,347.12866612633826,0.1242,0.1182,1.8638000000000001,0.1182,1.8274000000000001,0.09280000000000001,1219.124,0.9066000000000001
20,COMPLETE,85.8508599442897,196.18074020235483,662.9970854748091,0.2444,0.0762,1.893,0.0762,2.053,0.1058,1205.9886000000001,0.8932
21,COMPLETE,95.76299621169916,348.0271408111719,562.38853190845,0.14479999999999998,0.081,1.8155999999999999,0.081,2.5484,0.1186,1163.1532,0.8798
22,COMPLETE,89.20958662952647,1411.6209199562466,2409.6825801416935,0.2102,0.08259999999999999,1.8472000000000002,0.08259999999999999,3.0654,0.1358,1153.443,0.8622
23,COMPLETE,86.79172167130919,1998.7742336032109,125.46374288300761,0.1622,1.5596,1.8628,1.5596,3.7723999999999998,0.1402,1453.4504000000002,0.8587999999999999
24,COMPLETE,85.62606328690808,158.76804503217645,101.39020714896587,0.1686,1.6654,1.8754000000000002,1.6654,4.0604,0.1554,1459.4486000000002,0.8446
25,COMPLETE,40.24687933147632,55.429265270282094,63.14506995915153,0.6148,1.8186,1.8800000000000001,1.8186,4.476,0.1746,1471.6834000000001,0.8242
26,COMPLETE,91.13994919220056,4238.45745240347,1023.8149234504782,0.1924,0.0558,1.8668,0.0558,2.2364,0.1002,1182.8138000000001,0.8956
27,COMPLETE,88.87421091922006,545.3774299477611,2586.3982024932757,0.21400000000000002,0.0732,1.8232,0.0732,2.981,0.132,1149.1786,0.865
28,COMPLETE,86.73783487465181,813.5769130497408,179.58842720030566,0.1784,1.2416,1.8681999999999999,1.2416,3.2634,0.1266,1410.5736000000002,0.8692
29,COMPLETE,70.75210284122562,118.19717003387002,4441.047728766413,0.396,0.0628,1.9111999999999998,0.0628,2.4308,0.11839999999999999,1195.6546,0.8816
30,COMPLETE,92.63675353760445,276.97048004889626,69.54247514494814,0.0954,1.7213999999999998,1.8154,1.7213999999999998,5.238,0.1896,1406.8376,0.8088
31,COMPLETE,95.57571264623955,3316.667933291099,253.3934111732883,0.123,0.5736,1.8904,0.5736,1.707,0.081,1334.9642,0.9168
32,COMPLETE,89.93175298050139,3722.9349524256645,367.7216581490857,0.20059999999999997,0.13440000000000002,1.8603999999999998,0.13440000000000002,2.619,0.11499999999999999,1191.4366,0.8837999999999999
33,COMPLETE,96.11490417827298,2394.753472062108,246.94509770243906,0.10980000000000001,0.73,1.873,0.73,2.6144,0.10300000000000001,1337.103,0.8964000000000001
34,COMPLETE,94.48994250696379,2018.5723854963037,448.46129005975763,0.1584,0.0644,1.8361999999999998,0.0644,2.4455999999999998,0.10840000000000001,1170.2368000000001,0.8872
35,COMPLETE,96.87441704735376,3387.2917894078264,282.6025553491113,0.1214,0.33540000000000003,1.861,0.33540000000000003,2.1768,0.10640000000000001,1241.0936,0.8882
36,COMPLETE,95.602133816156,1492.572764122901,372.1653424072914,0.1444,0.125,1.8527999999999998,0.125,2.225,0.10500000000000001,1197.5052,0.8914
37,COMPLETE,93.13632122562674,2988.197680831621,674.1926021419309,0.1716,0.0736,1.8611999999999997,0.0736,1.9474,0.09659999999999999,1192.4566,0.8997999999999999
38,COMPLETE,93.68477660167132,381.2953128415708,550.0754717168885,0.16599999999999998,0.074,1.8399999999999999,0.074,2.3482,0.11120000000000001,1175.324,0.8859999999999999
39,COMPLETE,90.30647532033426,4513.851069135048,372.094133892011,0.1984,0.1044,1.8602,0.1044,2.3912,0.1048,1199.9132,0.8934
40,COMPLETE,96.50846908077995,1404.5213750583775,252.23052606901535,0.11220000000000001,0.6022000000000001,1.893,0.6022000000000001,2.1254,0.095,1327.347,0.9044000000000001
41,COMPLETE,91.77162362116991,1459.4343521982,972.337596399357,0.18480000000000002,0.0784,1.8456,0.0784,2.965,0.1358,1155.3044,0.8638
42,COMPLETE,95.79349504178272,330.0185834317203,291.78527496554227,0.13340000000000002,0.3106,1.8768,0.3106,2.877,0.11140000000000001,1232.2586,0.8864000000000001
43,COMPLETE,89.10598596100279,3661.284024366894,178.0445031096643,0.153,1.28,1.8698000000000001,1.28,2.472,0.10400000000000001,1446.7448,0.8926000000000001
44,COMPLETE,94.59767788300836,952.155123682312,424.3358809495199,0.1558,0.0978,1.8364,0.0978,2.2184,0.1038,1196.6868,0.8956
45,COMPLETE,88.660982729805,2458.28951228611,55.647721038976925,0.1318,1.7928000000000002,1.8379999999999999,1.7928000000000002,5.0746,0.1744,1444.944,0.825
46,COMPLETE,87.29170551532033,341.5614334290088,1091.0626611077473,0.2298,0.0784,1.8649999999999998,0.0784,2.334,0.1142,1191.3514,0.885
47,COMPLETE,94.92187788300836,2274.9681155578623,451.8068758873226,0.1538,0.0698,1.8614000000000002,0.0698,2.2258,0.11359999999999999,1168.3258,0.8792
