Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,0,30.0,0,0,0,0,timeout
1,0,0,1078.0,0,1,1,0,win
0,1,0,10.0,0,0,0,0,timeout
0,0,0,30.0,0,0,0,0,timeout
0,1,0,837.0,0,0,0,0,win
0,0,0,-50.0,0,0,0,0,timeout
0,1,0,30.0,0,0,0,0,timeout
0,0,0,80.0,0,0,0,0,timeout
0,0,0,10.0,0,0,0,0,timeout
0,0,0,-100.0,0,0,0,0,timeout
0,0,0,60.0,0,0,0,0,timeout
0,1,0,-505.0,0,0,0,0,lose
0,1,0,896.0,0,0,0,0,win
0,1,0,30.0,0,0,0,0,timeout
0,0,0,0.0,0,0,0,0,timeout
0,0,0,50.0,0,0,0,0,timeout
0,0,0,-10.0,0,0,0,0,timeout
0,0,0,20.0,0,0,0,0,timeout
0,1,0,60.0,0,0,0,0,timeout
0,0,0,40.0,0,0,0,0,timeout
0,0,0,40.0,0,0,0,0,timeout
0,1,0,-402.0,0,0,0,0,lose
0,0,0,-10.0,0,0,0,0,timeout
0,0,0,30.0,0,0,0,0,timeout
0,0,0,-160.0,0,0,0,0,timeout
0,0,0,-90.0,0,0,0,0,timeout
0,1,0,-507.0,0,0,0,0,lose
0,0,0,-50.0,0,0,0,0,timeout
0,0,0,70.0,0,0,0,0,timeout
0,1,0,-308.0,0,0,0,0,lose
0,1,0,-523.0,0,0,0,0,lose
0,0,0,0.0,0,0,0,0,timeout
0,1,0,-534.0,0,0,0,0,lose
0,1,0,840.0,0,0,0,0,win
0,0,0,10.0,0,0,0,0,timeout
0,1,0,-99.0,0,0,0,0,lose
0,1,0,-507.0,0,0,0,0,lose
0,0,0,40.0,0,0,0,0,timeout
0,0,0,50.0,0,0,0,0,timeout
1,0,0,972.0,0,1,1,0,win
0,0,0,40.0,0,0,0,0,timeout
0,1,0,793.0,0,0,0,0,win
0,0,0,40.0,0,0,0,0,timeout
0,1,0,922.0,0,0,0,0,win
0,1,0,60.0,0,0,0,0,timeout
0,0,0,-110.0,0,0,0,0,timeout
0,0,0,-60.0,0,0,0,0,timeout
0,1,0,230.0,0,0,0,0,timeout
0,0,0,-60.0,0,0,0,0,timeout
0,0,0,-70.0,0,0,0,0,timeout
0,0,0,-160.0,0,0,0,0,timeout
0,0,0,-110.0,0,0,0,0,timeout
0,1,0,912.0,0,0,0,0,win
0,1,1,260.0,0,1,0,1,timeout
0,1,0,-118.0,0,0,0,0,lose
0,0,0,100.0,0,0,0,0,timeout
0,0,0,-60.0,0,0,0,0,timeout
0,0,0,10.0,0,0,0,0,timeout
0,1,0,-430.0,0,0,0,0,lose
0,0,0,-10.0,0,0,0,0,timeout
0,1,0,0.0,0,0,0,0,timeout
0,1,0,784.0,0,0,0,0,win
0,0,0,-40.0,0,0,0,0,timeout
0,0,0,0.0,0,0,0,0,timeout
0,0,0,-120.0,0,0,0,0,timeout
0,0,0,-40.0,0,0,0,0,timeout
0,1,0,-150.0,0,0,0,0,lose
0,0,0,-20.0,0,0,0,0,timeout
1,0,0,1104.0,0,1,1,0,win
0,0,0,0.0,0,0,0,0,timeout
0,0,0,-40.0,0,0,0,0,timeout
0,0,0,-40.0,0,0,0,0,timeout
0,0,0,20.0,0,0,0,0,timeout
0,0,0,-100.0,0,0,0,0,timeout
0,0,0,-40.0,0,0,0,0,timeout
0,1,0,-440.0,0,0,0,0,lose
0,1,0,790.0,0,0,0,0,win
0,1,0,816.0,0,0,0,0,win
0,1,0,-219.0,0,0,0,0,lose
0,1,0,-490.0,0,0,0,0,lose
0,1,0,0.0,0,0,0,0,timeout
0,1,0,-577.0,0,0,0,0,lose
0,1,0,-219.0,0,0,0,0,lose
0,1,0,813.0,0,0,0,0,win
0,1,0,-505.0,0,0,0,0,lose
0,1,0,-165.0,0,0,0,0,lose
0,1,0,-524.0,0,0,0,0,lose
0,0,0,70.0,0,0,0,0,timeout
0,0,1,964.0,0,1,0,1,win
0,0,0,-100.0,0,0,0,0,timeout
0,0,0,30.0,0,0,0,0,timeout
0,1,0,60.0,0,0,0,0,timeout
0,0,0,-90.0,0,0,0,0,timeout
0,1,0,-476.0,0,0,0,0,lose
0,1,0,803.0,0,0,0,0,win
0,1,0,-314.0,0,0,0,0,lose
0,0,0,-90.0,0,0,0,0,timeout
0,0,0,10.0,0,0,0,0,timeout
0,0,0,-80.0,0,0,0,0,timeout
0,1,0,30.0,0,0,0,0,timeout
0,0,0,-10.0,0,0,0,0,timeout
0,0,0,-10.0,0,0,0,0,timeout
0,0,0,-130.0,0,0,0,0,timeout
0,1,0,-400.0,0,0,0,0,lose
0,0,0,-60.0,0,0,0,0,timeout
0,0,0,50.0,0,0,0,0,timeout
0,0,0,-70.0,0,0,0,0,timeout
0,1,0,813.0,0,0,0,0,win
0,0,0,0.0,0,0,0,0,timeout
0,1,0,190.0,0,0,0,0,timeout
0,1,0,-30.0,0,0,0,0,timeout
0,0,0,-20.0,0,0,0,0,timeout
0,0,0,0.0,0,0,0,0,timeout
0,0,0,-10.0,0,0,0,0,timeout
0,0,0,-50.0,0,0,0,0,timeout
0,0,0,30.0,0,0,0,0,timeout
0,0,0,50.0,0,0,0,0,timeout
