Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,1136.0,0,1,1,0,win
1,0,0,1125.0,0,1,1,0,win
1,0,0,3.0,0,1,1,0,lose
0,0,1,1095.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
0,0,1,1133.0,0,1,0,1,win
0,0,1,1111.0,0,1,0,1,win
0,0,1,1044.0,0,1,0,1,win
0,0,1,45.0,0,1,0,1,lose
1,0,0,1122.0,0,1,1,0,win
1,0,1,1340.0,0,2,1,1,win
0,0,1,1077.0,0,1,0,1,win
1,0,1,1293.0,0,2,1,1,win
1,0,0,1170.0,0,1,1,0,win
1,0,0,1142.0,0,1,1,0,win
0,0,1,1170.0,0,1,0,1,win
1,0,0,5.0,0,1,1,0,lose
1,0,0,48.0,0,1,1,0,lose
0,0,1,1148.0,0,1,0,1,win
1,0,0,1093.0,0,1,1,0,win
0,0,1,1132.0,0,1,0,1,win
1,0,0,1107.0,0,1,1,0,win
0,0,1,1089.0,0,1,0,1,win
1,0,0,1111.0,0,1,1,0,win
1,0,0,1134.0,0,1,1,0,win
0,0,1,1140.0,0,1,0,1,win
1,0,0,1130.0,0,1,1,0,win
1,0,0,1142.0,0,1,1,0,win
1,0,1,1355.0,0,2,1,1,win
0,0,1,25.0,0,1,0,1,lose
1,0,0,49.0,0,1,1,0,lose
1,0,0,1049.0,0,1,1,0,win
1,0,1,226.0,0,2,1,1,lose
1,0,0,1142.0,0,1,1,0,win
1,0,0,1047.0,0,1,1,0,win
0,0,1,1126.0,0,1,0,1,win
0,0,1,1114.0,0,1,0,1,win
0,0,1,1130.0,0,1,0,1,win
0,0,1,1120.0,0,1,0,1,win
0,0,1,1087.0,0,1,0,1,win
0,0,1,1169.0,0,1,0,1,win
1,0,0,1118.0,0,1,1,0,win
0,0,1,1156.0,0,1,0,1,win
1,0,0,1130.0,0,1,1,0,win
1,0,0,1159.0,0,1,1,0,win
0,0,1,-137.0,0,1,0,1,lose
0,0,1,1145.0,0,1,0,1,win
0,0,1,1134.0,0,1,0,1,win
1,0,0,1145.0,0,1,1,0,win
1,0,0,1127.0,0,1,1,0,win
0,0,1,1139.0,0,1,0,1,win
1,0,0,1134.0,0,1,1,0,win
1,0,0,1155.0,0,1,1,0,win
0,0,1,1089.0,0,1,0,1,win
1,0,0,1151.0,0,1,1,0,win
0,0,1,1099.0,0,1,0,1,win
1,0,0,-92.0,0,1,1,0,lose
0,0,1,1139.0,0,1,0,1,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,1102.0,0,1,0,1,win
0,0,1,38.0,0,1,0,1,lose
0,0,1,1116.0,0,1,0,1,win
0,0,1,1170.0,0,1,0,1,win
1,0,0,1013.0,0,1,1,0,win
1,0,0,-35.0,0,1,1,0,lose
0,0,1,92.0,0,1,0,1,lose
1,0,1,176.0,0,2,1,1,lose
1,0,0,1134.0,0,1,1,0,win
1,0,0,1084.0,0,1,1,0,win
1,0,0,1114.0,0,1,1,0,win
0,0,1,1128.0,0,1,0,1,win
1,0,1,1268.0,0,2,1,1,win
1,0,1,1324.0,0,2,1,1,win
1,0,0,1113.0,0,1,1,0,win
0,0,1,1142.0,0,1,0,1,win
1,0,0,1163.0,0,1,1,0,win
0,0,1,160.0,0,1,0,1,timeout
0,0,1,44.0,0,1,0,1,lose
1,0,1,1325.0,0,2,1,1,win
0,0,1,1117.0,0,1,0,1,win
1,0,0,1158.0,0,1,1,0,win
0,0,1,1072.0,0,1,0,1,win
1,0,0,1169.0,0,1,1,0,win
1,0,0,1137.0,0,1,1,0,win
1,0,0,-83.0,0,1,1,0,lose
0,0,1,1112.0,0,1,0,1,win
1,1,0,1074.0,0,1,1,0,win
0,0,1,1124.0,0,1,0,1,win
0,0,1,1143.0,0,1,0,1,win
0,0,1,35.0,0,1,0,1,lose
1,0,0,1138.0,0,1,1,0,win
1,0,0,1092.0,0,1,1,0,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,28.0,0,1,0,1,lose
0,1,0,809.0,0,0,0,0,win
0,0,1,1111.0,0,1,0,1,win
1,0,0,1140.0,0,1,1,0,win
1,0,0,1145.0,0,1,1,0,win
1,0,0,1089.0,0,1,1,0,win
1,0,0,955.0,0,1,1,0,win
1,0,1,1317.0,0,2,1,1,win
