Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,VegetarianBlue,VegetarianOrange,Win/Lose
2,4,1,2,8,1752.0,0,2,2,win
2,3,1,1,6,1529.0,0,2,1,win
2,3,0,2,7,1717.0,0,2,2,win
1,2,1,2,5,338.0,0,1,2,lose
2,3,0,2,7,1757.0,0,2,2,win
2,4,1,2,8,1734.0,0,2,2,win
2,4,1,2,8,667.0,0,2,2,lose
2,4,1,2,8,1741.0,0,2,2,win
2,4,1,2,8,1733.0,0,2,2,win
1,3,0,2,6,1541.0,0,1,2,win
2,4,1,2,8,1733.0,0,2,2,win
2,4,0,2,8,1742.0,0,2,2,win
2,4,1,2,8,1766.0,0,2,2,win
1,1,1,1,3,21.0,0,1,1,lose
2,3,1,2,7,1734.0,0,2,2,win
1,3,1,2,6,1489.0,0,1,2,win
2,3,1,2,7,508.0,0,2,2,lose
1,2,1,1,4,1323.0,0,1,1,win
2,4,1,2,8,659.0,0,2,2,lose
2,4,1,2,8,1750.0,0,2,2,win
1,3,0,2,6,454.0,0,1,2,lose
2,3,1,1,6,454.0,0,2,1,lose
2,4,1,2,8,1768.0,0,2,2,win
2,4,1,2,8,673.0,0,2,2,lose
2,4,1,2,8,1746.0,0,2,2,win
2,4,0,2,8,1728.0,0,2,2,win
1,2,0,1,4,57.0,0,1,1,lose
2,4,1,2,8,1733.0,0,2,2,win
2,3,1,2,7,1740.0,0,2,2,win
0,1,1,1,2,-172.0,0,0,1,lose
2,4,1,2,8,1746.0,0,2,2,win
2,4,1,2,8,1751.0,0,2,2,win
1,3,0,2,6,449.0,0,1,2,lose
1,1,1,1,3,21.0,0,1,1,lose
1,3,1,2,6,442.0,0,1,2,lose
2,4,0,2,8,1746.0,0,2,2,win
1,3,1,2,6,340.0,0,1,2,lose
2,4,0,2,8,1726.0,0,2,2,win
2,4,1,2,8,1759.0,0,2,2,win
2,4,1,2,8,1725.0,0,2,2,win
2,4,1,2,8,1765.0,0,2,2,win
2,4,0,2,8,1769.0,0,2,2,win
2,4,1,2,8,1726.0,0,2,2,win
2,4,0,2,8,1709.0,0,2,2,win
2,2,1,2,6,530.0,0,2,2,lose
2,4,1,2,8,1737.0,0,2,2,win
2,4,1,2,8,1746.0,0,2,2,win
2,4,0,2,8,1750.0,0,2,2,win
2,3,1,2,7,1744.0,0,2,2,win
0,2,1,2,4,1299.0,0,0,2,win
2,4,1,2,8,1730.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,3,1,2,7,1747.0,0,2,2,win
2,4,0,2,8,1762.0,0,2,2,win
2,3,1,2,7,1729.0,0,2,2,win
2,4,0,2,8,1730.0,0,2,2,win
2,4,1,2,8,1707.0,0,2,2,win
2,2,0,2,6,1708.0,0,2,2,win
1,3,1,2,6,1552.0,0,1,2,win
1,3,1,2,6,1567.0,0,1,2,win
2,4,1,2,8,1694.0,0,2,2,win
2,4,1,2,8,1746.0,0,2,2,win
1,1,0,0,2,-159.0,0,1,0,lose
2,4,1,2,8,655.0,0,2,2,lose
2,4,1,2,8,1764.0,0,2,2,win
2,4,1,2,8,1720.0,0,2,2,win
2,3,1,2,7,1763.0,0,2,2,win
2,4,1,2,8,1722.0,0,2,2,win
1,3,1,2,6,1548.0,0,1,2,win
1,3,0,2,6,1541.0,0,1,2,win
2,4,0,2,8,1765.0,0,2,2,win
2,2,1,2,6,1737.0,0,2,2,win
2,4,1,2,8,1754.0,0,2,2,win
2,4,1,2,8,1766.0,0,2,2,win
2,4,0,2,8,715.0,0,2,2,lose
2,4,1,2,8,1753.0,0,2,2,win
2,3,1,2,7,1752.0,0,2,2,win
2,3,1,1,6,1547.0,0,2,1,win
2,4,1,2,8,1766.0,0,2,2,win
2,4,0,2,8,1776.0,0,2,2,win
2,3,0,1,6,1520.0,0,2,1,win
2,4,1,2,8,1723.0,0,2,2,win
2,4,0,2,8,1731.0,0,2,2,win
2,4,1,2,8,1731.0,0,2,2,win
2,4,1,2,8,1745.0,0,2,2,win
2,4,0,2,8,1771.0,0,2,2,win
1,0,1,1,2,17.0,0,1,1,lose
2,4,1,2,8,1728.0,0,2,2,win
2,4,0,2,8,1758.0,0,2,2,win
2,3,1,1,6,1522.0,0,2,1,win
2,4,0,2,8,1756.0,0,2,2,win
1,2,0,2,5,347.0,0,1,2,lose
2,4,1,2,8,1765.0,0,2,2,win
2,4,0,2,8,1744.0,0,2,2,win
2,3,1,2,7,1730.0,0,2,2,win
2,4,1,2,8,627.0,0,2,2,lose
2,4,0,2,8,1756.0,0,2,2,win
1,3,1,2,6,416.0,0,1,2,lose
2,4,0,2,8,1751.0,0,2,2,win
2,4,0,2,8,1761.0,0,2,2,win
1,0,1,0,1,-178.0,0,1,0,lose
2,4,0,2,8,1748.0,0,2,2,win
2,4,1,2,8,1743.0,0,2,2,win
2,4,0,2,8,721.0,0,2,2,lose
2,3,0,1,6,1540.0,0,2,1,win
2,4,1,2,8,1757.0,0,2,2,win
2,4,1,2,8,1766.0,0,2,2,win
2,4,0,2,8,1726.0,0,2,2,win
2,3,1,2,7,1755.0,0,2,2,win
2,4,1,2,8,1729.0,0,2,2,win
2,4,0,2,8,692.0,0,2,2,lose
2,4,0,2,8,1736.0,0,2,2,win
2,4,0,2,8,1739.0,0,2,2,win
1,3,1,2,6,1514.0,0,1,2,win
2,4,1,2,8,1748.0,0,2,2,win
1,1,0,1,3,18.0,0,1,1,lose
2,4,1,2,8,1759.0,0,2,2,win
1,3,1,2,6,1542.0,0,1,2,win
