Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Win/Lose
2,0,2,1746.0,0,win
1,0,2,298.0,0,lose
2,0,1,267.0,0,lose
2,0,2,1753.0,0,win
1,0,1,-5.0,0,lose
2,0,2,1724.0,0,win
2,0,1,1506.0,0,win
2,0,2,1723.0,0,win
2,0,2,1732.0,0,win
2,0,1,492.0,0,lose
2,0,2,1714.0,0,win
2,0,1,1485.0,0,win
2,0,2,1748.0,0,win
2,0,2,666.0,0,lose
2,0,2,590.0,0,lose
1,0,1,22.0,0,lose
2,0,2,1732.0,0,win
2,0,2,1751.0,0,win
2,0,1,1501.0,0,win
2,0,2,1661.0,0,win
2,0,2,1732.0,0,win
1,0,1,32.0,0,lose
2,1,2,1745.0,0,win
2,0,2,1745.0,0,win
2,0,2,1761.0,0,win
2,0,2,1759.0,0,win
2,0,2,1707.0,0,win
2,0,2,1720.0,0,win
2,0,1,1481.0,0,win
2,0,2,1743.0,0,win
2,0,2,1721.0,0,win
2,0,2,1703.0,0,win
2,0,2,1727.0,0,win
2,0,2,1695.0,0,win
1,0,2,340.0,0,lose
2,0,2,1747.0,0,win
1,0,2,1497.0,0,win
2,0,2,1722.0,0,win
2,0,2,1726.0,0,win
2,0,2,1758.0,0,win
2,0,2,453.0,0,lose
1,0,2,1480.0,0,win
2,0,2,1707.0,0,win
1,0,1,22.0,0,lose
2,0,2,1728.0,0,win
2,0,1,1491.0,0,win
1,0,2,1529.0,0,win
2,0,2,1716.0,0,win
2,0,1,299.0,0,lose
2,0,2,1740.0,0,win
2,0,2,1715.0,0,win
2,0,2,1722.0,0,win
2,0,2,1711.0,0,win
2,0,2,1733.0,0,win
0,0,1,-210.0,0,lose
2,0,2,659.0,0,lose
2,1,2,1743.0,0,win
2,0,2,1691.0,0,win
2,0,2,1738.0,0,win
1,0,1,31.0,0,lose
2,0,2,1730.0,0,win
2,0,2,1700.0,0,win
2,0,2,1720.0,0,win
2,0,2,1722.0,0,win
1,0,2,1491.0,0,win
2,0,2,1738.0,0,win
2,0,2,1722.0,0,win
1,0,2,283.0,0,lose
1,0,2,1444.0,0,win
2,0,2,1736.0,0,win
2,0,2,462.0,0,lose
2,0,2,1678.0,0,win
2,0,2,1715.0,0,win
2,0,2,1730.0,0,win
2,0,2,577.0,0,lose
2,0,2,1742.0,0,win
1,0,0,-205.0,0,lose
2,0,2,1732.0,0,win
2,0,2,1749.0,0,win
2,0,2,1753.0,0,win
2,0,2,1732.0,0,win
2,1,2,1743.0,0,win
2,0,2,1726.0,0,win
2,0,2,1724.0,0,win
2,0,2,1715.0,0,win
1,0,0,-204.0,0,lose
2,0,2,1669.0,0,win
2,0,2,1765.0,0,win
2,0,2,1737.0,0,win
2,0,2,1755.0,0,win
2,0,2,1721.0,0,win
2,0,2,1743.0,0,win
2,1,2,1743.0,0,win
2,0,2,1713.0,0,win
2,0,2,1716.0,0,win
2,0,2,1712.0,0,win
2,0,2,1741.0,0,win
1,0,1,19.0,0,lose
2,0,2,1745.0,0,win
1,0,2,1527.0,0,win
2,0,2,1698.0,0,win
2,0,2,614.0,0,lose
2,0,2,1704.0,0,win
2,0,2,1698.0,0,win
1,0,2,251.0,0,lose
2,0,2,461.0,0,lose
2,0,2,1689.0,0,win
2,0,2,1732.0,0,win
2,0,2,1737.0,0,win
2,0,2,1727.0,0,win
2,0,2,635.0,0,lose
2,0,2,1743.0,0,win
2,0,2,1730.0,0,win
2,0,1,263.0,0,lose
1,0,2,1487.0,0,win
2,0,2,1740.0,0,win
2,0,2,1724.0,0,win
2,0,2,1743.0,0,win
2,0,2,1718.0,0,win
2,0,2,1671.0,0,win
2,0,2,1736.0,0,win
2,0,2,1741.0,0,win
2,0,2,1750.0,0,win
2,0,2,1676.0,0,win
2,0,2,459.0,0,lose
2,0,2,590.0,0,lose
2,0,2,1729.0,0,win
2,0,2,1731.0,0,win
1,1,1,47.0,0,lose
2,0,1,400.0,0,lose
2,0,2,1729.0,0,win
1,0,1,27.0,0,lose
2,0,1,1537.0,0,win
2,0,2,1707.0,0,win
2,0,2,1704.0,0,win
2,0,2,1729.0,0,win
2,0,2,1722.0,0,win
2,0,2,1722.0,0,win
2,0,2,589.0,0,lose
2,0,2,1710.0,0,win
0,0,1,-192.0,0,lose
2,0,2,1746.0,0,win
2,0,2,1755.0,0,win
2,0,2,1746.0,0,win
1,0,1,12.0,0,lose
2,1,2,1719.0,0,win
2,0,1,1544.0,0,win
2,0,1,1499.0,0,win
2,0,2,1755.0,0,win
2,0,2,1727.0,0,win
2,0,2,1725.0,0,win
0,0,1,-190.0,0,lose
0,0,1,-173.0,0,lose
2,0,2,1689.0,0,win
2,0,2,1754.0,0,win
2,0,2,1746.0,0,win
1,0,1,500.0,0,timeout
1,0,2,1508.0,0,win
2,0,2,1750.0,0,win
2,0,2,646.0,0,lose
1,0,1,31.0,0,lose
1,0,1,32.0,0,lose
2,0,2,1753.0,0,win
1,0,1,89.0,0,lose
1,0,2,1431.0,0,win
2,0,2,452.0,0,lose
1,0,1,-1.0,0,lose
2,1,2,1731.0,0,win
2,1,2,1705.0,0,win
2,0,2,1685.0,0,win
2,0,2,1700.0,0,win
2,0,2,1755.0,0,win
2,0,2,1684.0,0,win
2,0,2,1754.0,0,win
2,0,2,1703.0,0,win
1,0,2,1504.0,0,win
2,0,2,1722.0,0,win
2,0,2,1758.0,0,win
2,0,2,685.0,0,lose
2,0,2,1699.0,0,win
2,0,2,1730.0,0,win
2,0,2,1656.0,0,win
2,0,2,1722.0,0,win
2,1,2,529.0,0,lose
0,0,1,-212.0,0,lose
2,0,2,1729.0,0,win
2,0,2,1742.0,0,win
2,0,2,1703.0,0,win
2,0,2,1741.0,0,win
1,0,1,1265.0,0,win
1,0,2,427.0,0,lose
2,0,2,1727.0,0,win
1,0,2,1498.0,0,win
2,1,2,1704.0,0,win
2,0,2,1723.0,0,win
2,0,2,1631.0,0,win
2,0,2,1745.0,0,win
