Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Win/Lose
1,0,2,1513.0,0,win
1,0,2,1522.0,0,win
2,0,1,1533.0,0,win
2,0,2,618.0,0,lose
2,0,2,1727.0,0,win
2,0,2,1719.0,0,win
2,0,2,1670.0,0,win
1,0,2,1541.0,0,win
2,0,2,1698.0,0,win
2,0,2,1670.0,0,win
2,0,1,1496.0,0,win
2,0,2,1757.0,0,win
2,0,2,1723.0,0,win
2,0,2,1752.0,0,win
2,0,2,1707.0,0,win
2,0,2,1735.0,0,win
2,0,1,1495.0,0,win
2,0,2,1758.0,0,win
2,0,2,1691.0,0,win
2,0,2,1737.0,0,win
2,0,2,1769.0,0,win
2,0,2,1704.0,0,win
2,0,2,1749.0,0,win
2,0,2,714.0,0,lose
2,0,2,1718.0,0,win
2,0,2,1738.0,0,win
2,0,2,1697.0,0,win
2,0,1,1508.0,0,win
2,0,2,1683.0,0,win
2,0,2,543.0,0,lose
2,0,2,1739.0,0,win
2,0,2,1725.0,0,win
2,0,2,1731.0,0,win
2,0,2,1725.0,0,win
2,0,2,1699.0,0,win
2,0,2,1752.0,0,win
2,0,2,631.0,0,lose
2,0,2,1724.0,0,win
2,0,2,1742.0,0,win
1,0,2,1522.0,0,win
1,0,2,1516.0,0,win
2,0,2,1712.0,0,win
2,0,2,1703.0,0,win
2,0,2,647.0,0,lose
2,0,2,1768.0,0,win
1,0,1,1278.0,0,win
2,0,2,1752.0,0,win
2,0,1,1493.0,0,win
2,0,2,1699.0,0,win
1,0,2,505.0,0,lose
1,0,1,28.0,0,lose
2,0,2,637.0,0,lose
2,0,2,1756.0,0,win
0,0,1,-249.0,0,lose
2,0,2,1708.0,0,win
2,0,2,1731.0,0,win
2,0,2,1707.0,0,win
2,0,2,1742.0,0,win
2,0,2,1703.0,0,win
2,0,2,1687.0,0,win
1,0,2,368.0,0,lose
2,0,2,1681.0,0,win
2,0,2,1699.0,0,win
2,0,2,1704.0,0,win
2,0,2,1763.0,0,win
2,0,2,1736.0,0,win
2,0,2,1731.0,0,win
2,0,2,1696.0,0,win
2,0,2,1732.0,0,win
1,0,2,1519.0,0,win
1,0,2,1527.0,0,win
2,0,2,1768.0,0,win
1,0,0,-185.0,0,lose
2,0,2,1742.0,0,win
2,0,1,1499.0,0,win
0,1,0,-412.0,0,lose
2,0,2,1749.0,0,win
2,0,1,1512.0,0,win
2,0,1,453.0,0,lose
2,0,2,1745.0,0,win
2,0,2,1668.0,0,win
2,0,2,1738.0,0,win
1,0,2,320.0,0,lose
2,0,2,1727.0,0,win
2,0,2,674.0,0,lose
2,0,2,1645.0,0,win
2,0,1,323.0,0,lose
2,0,2,1750.0,0,win
2,0,2,1636.0,0,win
2,0,2,1716.0,0,win
