Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,0,1,1,1096.0,0,1,0,1,win
1,0,0,0,1,1172.0,0,1,1,0,win
1,0,0,0,1,-215.0,0,1,1,0,lose
0,0,0,1,1,1136.0,0,1,0,1,win
0,0,0,1,1,-160.0,0,1,0,1,lose
1,0,0,0,1,1102.0,0,1,1,0,win
1,0,1,0,1,1147.0,0,1,1,0,win
0,0,0,0,0,50.0,0,0,0,0,timeout
1,0,0,0,1,1163.0,0,1,1,0,win
1,0,0,0,1,1114.0,0,1,1,0,win
1,0,0,0,1,1155.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,0,1,1,1145.0,0,1,0,1,win
0,0,0,0,0,-20.0,0,0,0,0,timeout
1,0,0,0,1,1141.0,0,1,1,0,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,1128.0,0,1,1,0,win
0,0,0,0,0,10.0,0,0,0,0,timeout
0,0,0,1,1,1146.0,0,1,0,1,win
1,0,0,0,1,1165.0,0,1,1,0,win
0,0,0,1,1,1127.0,0,1,0,1,win
0,0,0,1,1,1160.0,0,1,0,1,win
0,0,0,1,1,1150.0,0,1,0,1,win
0,0,0,1,1,15.0,0,1,0,1,lose
1,0,0,0,1,1116.0,0,1,1,0,win
0,0,0,1,1,134.0,0,1,0,1,lose
1,0,0,0,1,1147.0,0,1,1,0,win
1,0,0,0,1,1138.0,0,1,1,0,win
0,0,0,1,1,350.0,0,1,0,1,timeout
0,0,0,1,1,22.0,0,1,0,1,lose
0,0,0,1,1,1110.0,0,1,0,1,win
0,0,0,0,0,20.0,0,0,0,0,timeout
1,0,0,0,1,1147.0,0,1,1,0,win
0,0,0,1,1,-108.0,0,1,0,1,lose
0,0,0,1,1,1038.0,0,1,0,1,win
1,0,0,0,1,1148.0,0,1,1,0,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,0,0,-120.0,0,0,0,0,timeout
0,0,0,1,1,1144.0,0,1,0,1,win
1,0,0,1,2,1320.0,0,2,1,1,win
0,0,0,0,0,10.0,0,0,0,0,timeout
0,0,0,1,1,1141.0,0,1,0,1,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,1,1,997.0,0,1,0,1,win
1,0,0,0,1,1138.0,0,1,1,0,win
1,0,0,0,1,320.0,0,1,1,0,timeout
0,0,0,1,1,-70.0,0,1,0,1,lose
1,0,0,0,1,1163.0,0,1,1,0,win
0,0,0,1,1,1119.0,0,1,0,1,win
0,0,0,1,1,1107.0,0,1,0,1,win
0,0,1,0,0,-401.0,0,0,0,0,lose
1,0,0,0,1,1142.0,0,1,1,0,win
0,0,0,1,1,1141.0,0,1,0,1,win
0,0,0,1,1,1118.0,0,1,0,1,win
1,0,0,0,1,1143.0,0,1,1,0,win
0,0,1,0,0,-415.0,0,0,0,0,lose
1,0,0,0,1,1143.0,0,1,1,0,win
0,0,0,1,1,1149.0,0,1,0,1,win
1,0,0,0,1,1158.0,0,1,1,0,win
1,0,0,0,1,1147.0,0,1,1,0,win
1,0,0,0,1,1167.0,0,1,1,0,win
1,0,0,0,1,1131.0,0,1,1,0,win
0,0,0,1,1,1132.0,0,1,0,1,win
0,0,0,0,0,50.0,0,0,0,0,timeout
0,0,0,1,1,1169.0,0,1,0,1,win
1,0,0,0,1,1122.0,0,1,1,0,win
0,0,0,1,1,1035.0,0,1,0,1,win
1,0,0,0,1,1160.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1153.0,0,1,1,0,win
0,0,1,0,0,10.0,0,0,0,0,timeout
0,0,0,1,1,1136.0,0,1,0,1,win
1,0,0,0,1,1138.0,0,1,1,0,win
1,0,0,0,1,1154.0,0,1,1,0,win
1,0,0,0,1,1103.0,0,1,1,0,win
0,0,0,1,1,1113.0,0,1,0,1,win
1,0,0,0,1,1147.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
0,0,1,0,0,-379.0,0,0,0,0,lose
1,0,0,0,1,1140.0,0,1,1,0,win
1,0,0,0,1,-167.0,0,1,1,0,lose
0,0,1,0,0,-646.0,0,0,0,0,lose
1,0,0,0,1,1111.0,0,1,1,0,win
0,0,0,1,1,1159.0,0,1,0,1,win
0,0,1,0,0,-358.0,0,0,0,0,lose
0,0,0,1,1,23.0,0,1,0,1,lose
0,0,0,1,1,1116.0,0,1,0,1,win
0,0,0,1,1,1115.0,0,1,0,1,win
1,0,0,0,1,1160.0,0,1,1,0,win
0,0,0,0,0,30.0,0,0,0,0,timeout
0,0,1,0,0,850.0,0,0,0,0,win
1,0,0,0,1,1087.0,0,1,1,0,win
