Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1122.0,0,1,1,0,win
1,0,0,0,1,1087.0,0,1,1,0,win
0,0,0,1,1,136.0,0,1,0,1,lose
1,0,0,0,1,1141.0,0,1,1,0,win
0,0,0,1,1,1113.0,0,1,0,1,win
1,0,0,0,1,1109.0,0,1,1,0,win
1,0,0,0,1,1130.0,0,1,1,0,win
1,0,0,1,2,1314.0,0,2,1,1,win
1,0,0,0,1,1105.0,0,1,1,0,win
1,0,0,0,1,1121.0,0,1,1,0,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,1095.0,0,1,1,0,win
1,0,0,0,1,1112.0,0,1,1,0,win
0,0,0,2,2,1340.0,0,2,0,2,win
1,0,0,0,1,1091.0,0,1,1,0,win
1,0,0,0,1,1130.0,0,1,1,0,win
1,0,0,0,1,34.0,0,1,1,0,lose
1,0,0,0,1,1100.0,0,1,1,0,win
1,0,0,0,1,1130.0,0,1,1,0,win
0,0,0,1,1,1102.0,0,1,0,1,win
1,0,0,0,1,1121.0,0,1,1,0,win
0,0,0,1,1,1133.0,0,1,0,1,win
0,0,0,1,1,1147.0,0,1,0,1,win
1,0,1,0,1,1127.0,0,1,1,0,win
1,0,0,1,2,1362.0,0,2,1,1,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,1147.0,0,1,1,0,win
1,0,0,0,1,-156.0,0,1,1,0,lose
0,0,0,1,1,1109.0,0,1,0,1,win
0,0,0,1,1,104.0,0,1,0,1,lose
0,0,0,1,1,1115.0,0,1,0,1,win
0,0,0,1,1,1133.0,0,1,0,1,win
0,0,0,2,2,1288.0,0,2,0,2,win
0,0,0,1,1,1143.0,0,1,0,1,win
1,0,0,0,1,1120.0,0,1,1,0,win
0,0,0,1,1,1121.0,0,1,0,1,win
1,0,0,1,2,166.0,0,2,1,1,lose
1,0,0,0,1,1116.0,0,1,1,0,win
1,0,0,0,1,1080.0,0,1,1,0,win
1,0,0,0,1,1086.0,0,1,1,0,win
0,0,0,1,1,1111.0,0,1,0,1,win
0,0,0,1,1,1110.0,0,1,0,1,win
0,0,0,1,1,1113.0,0,1,0,1,win
1,0,0,0,1,1166.0,0,1,1,0,win
1,0,0,0,1,1081.0,0,1,1,0,win
0,0,1,0,0,791.0,0,0,0,0,win
0,0,0,1,1,1104.0,0,1,0,1,win
1,0,0,1,2,1338.0,0,2,1,1,win
1,0,0,0,1,1103.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,1,1,54.0,0,1,0,1,lose
1,0,0,0,1,27.0,0,1,1,0,lose
1,0,0,0,1,1114.0,0,1,1,0,win
1,0,0,0,1,1157.0,0,1,1,0,win
2,0,0,0,2,180.0,0,2,2,0,lose
0,0,0,2,2,1256.0,0,2,0,2,win
1,0,0,0,1,1131.0,0,1,1,0,win
0,0,0,1,1,1169.0,0,1,0,1,win
0,0,0,1,1,41.0,0,1,0,1,lose
0,0,0,1,1,1145.0,0,1,0,1,win
0,0,0,1,1,1126.0,0,1,0,1,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,1,1,1120.0,0,1,0,1,win
0,0,0,1,1,1126.0,0,1,0,1,win
0,0,0,1,1,1121.0,0,1,0,1,win
1,0,0,0,1,1114.0,0,1,1,0,win
0,0,0,2,2,1321.0,0,2,0,2,win
1,0,0,1,2,147.0,0,2,1,1,lose
0,0,0,1,1,1097.0,0,1,0,1,win
0,0,0,1,1,1133.0,0,1,0,1,win
0,0,0,1,1,1155.0,0,1,0,1,win
1,0,0,0,1,1099.0,0,1,1,0,win
1,0,0,1,2,1195.0,0,2,1,1,win
2,0,0,0,2,1328.0,0,2,2,0,win
0,0,0,1,1,1078.0,0,1,0,1,win
0,0,0,1,1,1123.0,0,1,0,1,win
0,0,0,1,1,1142.0,0,1,0,1,win
0,0,0,1,1,1164.0,0,1,0,1,win
1,0,0,1,2,1338.0,0,2,1,1,win
2,0,0,1,3,1507.0,0,3,2,1,win
1,0,0,0,1,1091.0,0,1,1,0,win
0,0,0,1,1,1066.0,0,1,0,1,win
1,0,0,0,1,1061.0,0,1,1,0,win
1,0,0,0,1,1050.0,0,1,1,0,win
2,0,0,0,2,1342.0,0,2,2,0,win
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,1,1,1110.0,0,1,0,1,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,1,2,1357.0,0,2,1,1,win
0,0,0,2,2,241.0,0,2,0,2,lose
1,0,0,0,1,1112.0,0,1,1,0,win
0,0,0,1,1,1083.0,0,1,0,1,win
1,0,0,1,2,1342.0,0,2,1,1,win
0,0,0,1,1,1081.0,0,1,0,1,win
0,0,0,1,1,1107.0,0,1,0,1,win
1,0,0,0,1,1122.0,0,1,1,0,win
1,0,0,0,1,1104.0,0,1,1,0,win
1,0,0,0,1,1145.0,0,1,1,0,win
1,0,0,0,1,1140.0,0,1,1,0,win
1,0,0,0,1,1110.0,0,1,1,0,win
0,0,1,0,0,-449.0,0,0,0,0,lose
1,0,0,0,1,1149.0,0,1,1,0,win
1,0,0,0,1,1156.0,0,1,1,0,win
1,0,0,0,1,1109.0,0,1,1,0,win
1,0,0,0,1,1128.0,0,1,1,0,win
1,0,0,0,1,1075.0,0,1,1,0,win
