Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
1,0,0,1164.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,0,1291.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,1358.0,0,0,win
2,0,1,1504.0,0,1,win
2,0,0,1346.0,0,0,win
1,0,0,1158.0,0,0,win
2,0,0,1346.0,0,0,win
1,1,0,1109.0,0,0,win
2,0,0,336.0,0,0,lose
2,0,0,170.0,0,0,lose
2,0,0,1349.0,0,0,win
2,0,0,1357.0,0,0,win
1,0,1,1346.0,0,1,win
2,0,0,1337.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,0,1348.0,0,0,win
2,0,0,1348.0,0,0,win
2,0,1,1515.0,0,1,win
1,0,0,-177.0,0,0,lose
2,0,0,1352.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1303.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,1,1520.0,0,1,win
2,0,0,1330.0,0,0,win
1,0,0,-212.0,0,0,lose
1,0,0,1143.0,0,0,win
1,0,0,1018.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,1,1520.0,0,1,win
2,0,0,290.0,0,0,lose
2,1,0,1357.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,0,202.0,0,0,lose
2,0,0,1345.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,0,1309.0,0,0,win
2,0,1,1508.0,0,1,win
2,0,0,1285.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1325.0,0,0,win
2,1,0,1327.0,0,0,win
0,1,0,850.0,0,0,win
2,0,1,1543.0,0,1,win
2,0,0,1339.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1327.0,0,0,win
2,1,0,1309.0,0,0,win
1,0,0,1171.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,1,1552.0,0,1,win
2,0,0,1336.0,0,0,win
2,0,1,1521.0,0,1,win
2,0,0,1349.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,0,250.0,0,0,lose
2,0,0,1339.0,0,0,win
2,0,0,221.0,0,0,lose
2,1,0,1323.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,0,1309.0,0,0,win
2,0,0,1348.0,0,0,win
2,1,0,1319.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,1,1559.0,0,1,win
1,0,0,1080.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,0,1307.0,0,0,win
2,0,0,1351.0,0,0,win
1,1,0,1121.0,0,0,win
2,0,0,1358.0,0,0,win
2,0,0,1330.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,321.0,0,0,lose
2,0,0,204.0,0,0,lose
2,0,0,1331.0,0,0,win
1,0,0,1151.0,0,0,win
1,1,0,1102.0,0,0,win
2,0,1,1555.0,0,1,win
2,0,0,1359.0,0,0,win
2,1,0,1356.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,0,1291.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1340.0,0,0,win
1,0,0,-56.0,0,0,lose
2,0,0,1357.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1346.0,0,0,win
2,0,0,180.0,0,0,lose
2,0,0,1339.0,0,0,win
2,0,0,1318.0,0,0,win
2,0,0,1322.0,0,0,win
2,0,0,121.0,0,0,lose
2,0,0,324.0,0,0,lose
2,0,0,1335.0,0,0,win
2,0,0,1367.0,0,0,win
2,0,0,1322.0,0,0,win
2,0,0,262.0,0,0,lose
2,0,1,1540.0,0,1,win
2,0,0,1341.0,0,0,win
2,0,1,1503.0,0,1,win
2,0,0,1345.0,0,0,win
1,0,0,-49.0,0,0,lose
2,0,0,1358.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,1,1524.0,0,1,win
2,0,0,1352.0,0,0,win
2,0,0,1364.0,0,0,win
1,1,0,1107.0,0,0,win
1,0,0,13.0,0,0,lose
2,1,0,1350.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1345.0,0,0,win
1,1,0,1119.0,0,0,win
2,0,0,1285.0,0,0,win
2,0,0,1346.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,280.0,0,0,lose
2,0,0,1331.0,0,0,win
2,0,0,1349.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1362.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,0,1318.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,1,1442.0,0,1,win
2,0,1,1520.0,0,1,win
2,0,0,247.0,0,0,lose
2,0,0,1359.0,0,0,win
2,0,1,1502.0,0,1,win
2,0,0,321.0,0,0,lose
2,0,0,1328.0,0,0,win
0,1,0,-333.0,0,0,lose
2,0,0,1229.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,0,1366.0,0,0,win
2,0,0,1303.0,0,0,win
2,0,0,1340.0,0,0,win
2,1,0,1337.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,0,1312.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,0,1294.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,0,1367.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,0,1364.0,0,0,win
1,1,0,-38.0,0,0,lose
2,0,0,1350.0,0,0,win
2,0,1,479.0,0,1,lose
2,0,0,1334.0,0,0,win
2,0,0,340.0,0,0,lose
2,0,0,1341.0,0,0,win
2,0,0,1362.0,0,0,win
1,0,0,-128.0,0,0,lose
2,0,0,1338.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,0,1307.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1298.0,0,0,win
2,0,0,1360.0,0,0,win
2,0,0,1318.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1290.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,0,1338.0,0,0,win
1,1,0,1110.0,0,0,win
2,0,1,1541.0,0,1,win
2,0,0,1350.0,0,0,win
2,0,1,1525.0,0,1,win
2,0,0,1350.0,0,0,win
2,0,0,1376.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,1312.0,0,0,win
2,0,1,1563.0,0,1,win
2,0,1,1545.0,0,1,win
2,0,0,1349.0,0,0,win
1,0,0,3.0,0,0,lose
2,0,1,1527.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1353.0,0,0,win
1,1,0,-64.0,0,0,lose
2,0,0,1343.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,0,343.0,0,0,lose
2,0,0,1333.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1371.0,0,0,win
2,0,0,1325.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,1,1560.0,0,1,win
2,0,0,1285.0,0,0,win
2,0,0,1295.0,0,0,win
2,1,0,1278.0,0,0,win
2,0,0,159.0,0,0,lose
2,0,0,1360.0,0,0,win
2,0,1,1566.0,0,1,win
2,0,0,1340.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1304.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,1345.0,0,0,win
1,1,0,1077.0,0,0,win
2,0,0,1319.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1318.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1359.0,0,0,win
2,1,0,1262.0,0,0,win
2,0,0,1368.0,0,0,win
1,1,0,1106.0,0,0,win
2,0,1,1550.0,0,1,win
2,0,0,1356.0,0,0,win
2,0,0,1352.0,0,0,win
1,0,0,-167.0,0,0,lose
2,0,0,1356.0,0,0,win
2,0,0,1341.0,0,0,win
1,1,0,1098.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,0,185.0,0,0,lose
2,0,0,295.0,0,0,lose
2,0,0,1343.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,0,1330.0,0,0,win
2,0,0,1342.0,0,0,win
1,1,0,1098.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1376.0,0,0,win
2,0,0,1325.0,0,0,win
2,0,0,1308.0,0,0,win
