Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
1,0,1,1299.0,0,1,win
1,0,1,239.0,0,1,lose
2,0,0,1343.0,0,0,win
2,0,0,1318.0,0,0,win
1,1,0,1084.0,0,0,win
2,0,1,1542.0,0,1,win
1,0,0,1057.0,0,0,win
1,1,0,1113.0,0,0,win
2,0,0,1376.0,0,0,win
2,0,0,1364.0,0,0,win
2,0,1,1459.0,0,1,win
2,0,0,1365.0,0,0,win
2,1,0,1331.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1286.0,0,0,win
2,0,1,1522.0,0,1,win
2,0,2,1698.0,0,2,win
2,0,0,1345.0,0,0,win
2,1,0,1315.0,0,0,win
2,0,1,1539.0,0,1,win
2,0,0,1318.0,0,0,win
2,0,0,1315.0,0,0,win
2,0,1,1549.0,0,1,win
2,0,0,1329.0,0,0,win
2,0,1,1518.0,0,1,win
2,0,1,1535.0,0,1,win
1,1,0,1048.0,0,0,win
2,0,2,1729.0,0,2,win
2,0,1,1517.0,0,1,win
2,0,0,1326.0,0,0,win
2,0,1,1513.0,0,1,win
2,0,0,1335.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,1,1534.0,0,1,win
2,0,0,1369.0,0,0,win
2,0,1,1545.0,0,1,win
2,0,0,1354.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,1,353.0,0,1,lose
2,0,1,1492.0,0,1,win
2,0,0,1334.0,0,0,win
2,0,2,1708.0,0,2,win
2,0,0,1335.0,0,0,win
1,1,0,1111.0,0,0,win
2,0,0,1365.0,0,0,win
2,0,0,1314.0,0,0,win
2,1,0,221.0,0,0,lose
2,0,0,1346.0,0,0,win
2,0,0,1309.0,0,0,win
2,0,1,1527.0,0,1,win
1,0,0,1099.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,1,1518.0,0,1,win
2,0,0,1363.0,0,0,win
2,0,0,1274.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,2,666.0,0,2,lose
2,0,1,1508.0,0,1,win
2,0,0,1282.0,0,0,win
2,0,0,1299.0,0,0,win
2,1,0,1353.0,0,0,win
2,0,0,1270.0,0,0,win
2,0,0,1325.0,0,0,win
1,0,0,-114.0,0,0,lose
2,0,1,1525.0,0,1,win
2,0,2,1740.0,0,2,win
2,0,0,1357.0,0,0,win
2,0,1,1519.0,0,1,win
2,0,0,1348.0,0,0,win
1,0,1,1346.0,0,1,win
2,0,0,1327.0,0,0,win
2,0,0,1360.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,0,152.0,0,0,lose
2,0,0,244.0,0,0,lose
2,0,0,1342.0,0,0,win
2,0,1,1502.0,0,1,win
2,0,0,219.0,0,0,lose
2,0,0,1267.0,0,0,win
2,0,1,1513.0,0,1,win
2,0,0,211.0,0,0,lose
2,0,0,1336.0,0,0,win
2,0,0,1322.0,0,0,win
2,0,0,229.0,0,0,lose
2,0,0,1335.0,0,0,win
2,0,0,1348.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,0,1261.0,0,0,win
2,0,0,1345.0,0,0,win
1,0,0,1134.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,0,1319.0,0,0,win
1,0,1,1332.0,0,1,win
1,0,0,-216.0,0,0,lose
2,0,0,1311.0,0,0,win
2,0,0,1312.0,0,0,win
2,0,1,1546.0,0,1,win
1,0,0,-10.0,0,0,lose
2,0,0,1370.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,1,1526.0,0,1,win
2,0,1,1515.0,0,1,win
1,0,1,1320.0,0,1,win
2,0,0,1314.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,1,1496.0,0,1,win
2,0,2,1740.0,0,2,win
2,0,0,1332.0,0,0,win
2,0,1,1500.0,0,1,win
2,0,1,1552.0,0,1,win
2,0,0,230.0,0,0,lose
2,0,0,1343.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,0,1254.0,0,0,win
1,0,0,1106.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1294.0,0,0,win
1,0,2,1469.0,0,2,win
1,0,0,1090.0,0,0,win
2,0,0,1365.0,0,0,win
2,0,0,1317.0,0,0,win
1,0,1,1301.0,0,1,win
2,0,0,1310.0,0,0,win
2,0,1,1506.0,0,1,win
2,0,1,402.0,0,1,lose
2,0,0,1322.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1314.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,0,1319.0,0,0,win
1,0,1,17.0,0,1,lose
1,0,0,1100.0,0,0,win
2,0,1,1541.0,0,1,win
2,0,0,1348.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,1,1552.0,0,1,win
2,0,0,1322.0,0,0,win
2,0,1,1543.0,0,1,win
2,0,2,1721.0,0,2,win
2,0,0,1335.0,0,0,win
2,0,0,1322.0,0,0,win
2,0,0,1325.0,0,0,win
2,0,0,1348.0,0,0,win
1,0,0,1062.0,0,0,win
2,0,1,1520.0,0,1,win
1,1,0,1100.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,0,1254.0,0,0,win
2,0,0,1322.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,1,1554.0,0,1,win
2,0,0,1333.0,0,0,win
2,0,0,1310.0,0,0,win
1,0,1,1320.0,0,1,win
2,0,0,1344.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,1358.0,0,0,win
2,0,1,1548.0,0,1,win
2,0,0,1378.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,0,1286.0,0,0,win
2,0,1,1534.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,0,1301.0,0,0,win
1,0,0,-65.0,0,0,lose
1,0,1,307.0,0,1,lose
2,0,0,1302.0,0,0,win
2,0,0,1310.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1301.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,1,486.0,0,1,lose
2,0,0,1322.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,0,1336.0,0,0,win
2,0,1,1546.0,0,1,win
2,0,1,1463.0,0,1,win
2,0,0,1298.0,0,0,win
2,0,0,1361.0,0,0,win
2,0,0,1343.0,0,0,win
1,0,2,1510.0,0,2,win
2,0,0,1342.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,1324.0,0,0,win
2,0,1,1511.0,0,1,win
2,0,0,1323.0,0,0,win
2,0,0,1319.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,82.0,0,0,lose
2,0,0,1311.0,0,0,win
2,0,0,1285.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,1314.0,0,0,win
2,0,0,1365.0,0,0,win
2,0,1,1523.0,0,1,win
2,0,0,1310.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1288.0,0,0,win
2,0,1,1527.0,0,1,win
2,0,0,1346.0,0,0,win
1,1,0,1101.0,0,0,win
2,0,0,178.0,0,0,lose
1,0,1,-8.0,0,1,lose
2,0,1,1507.0,0,1,win
2,0,0,1311.0,0,0,win
1,1,0,1083.0,0,0,win
2,0,2,1706.0,0,2,win
2,0,0,1361.0,0,0,win
2,0,0,1300.0,0,0,win
2,0,1,1487.0,0,1,win
0,1,0,-433.0,0,0,lose
2,0,1,1553.0,0,1,win
2,0,0,1311.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,1307.0,0,0,win
2,0,1,1506.0,0,1,win
2,0,1,1508.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,1,1562.0,0,1,win
2,1,0,1332.0,0,0,win
2,0,0,1287.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,1,1554.0,0,1,win
1,1,0,1068.0,0,0,win
1,0,0,1093.0,0,0,win
2,1,0,1287.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,1,1514.0,0,1,win
2,0,0,1340.0,0,0,win
2,0,1,1521.0,0,1,win
2,0,0,1312.0,0,0,win
2,0,0,1296.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,339.0,0,0,lose
2,0,0,1330.0,0,0,win
2,0,0,1261.0,0,0,win
2,0,1,1556.0,0,1,win
2,0,1,1557.0,0,1,win
2,0,0,1357.0,0,0,win
2,0,0,1346.0,0,0,win
2,1,0,1340.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,1291.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,1,1542.0,0,1,win
2,0,0,1282.0,0,0,win
1,0,1,1311.0,0,1,win
2,0,0,1314.0,0,0,win
2,0,0,156.0,0,0,lose
2,0,0,1305.0,0,0,win
2,0,1,396.0,0,1,lose
2,0,1,1510.0,0,1,win
2,0,1,1553.0,0,1,win
2,0,0,1311.0,0,0,win
2,1,0,1314.0,0,0,win
1,0,1,1349.0,0,1,win
2,0,0,194.0,0,0,lose
2,0,2,1718.0,0,2,win
1,0,0,1122.0,0,0,win
2,0,0,1341.0,0,0,win
1,1,0,1000.0,0,0,win
2,1,1,1502.0,0,1,win
1,0,0,1118.0,0,0,win
2,0,0,1280.0,0,0,win
2,0,1,1537.0,0,1,win
1,1,0,1117.0,0,0,win
2,0,0,1317.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1376.0,0,0,win
0,1,0,-479.0,0,0,lose
2,0,1,464.0,0,1,lose
2,0,0,1360.0,0,0,win
1,0,0,-65.0,0,0,lose
1,0,0,-119.0,0,0,lose
1,0,0,1115.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,1,1527.0,0,1,win
2,0,1,1467.0,0,1,win
2,0,1,1537.0,0,1,win
2,0,1,442.0,0,1,lose
2,0,0,242.0,0,0,lose
2,0,1,1510.0,0,1,win
1,0,0,1064.0,0,0,win
2,0,0,1357.0,0,0,win
2,1,0,1341.0,0,0,win
2,0,1,1538.0,0,1,win
1,0,1,1250.0,0,1,win
2,0,0,1323.0,0,0,win
2,0,0,1327.0,0,0,win
1,1,0,-115.0,0,0,lose
2,0,2,623.0,0,2,lose
0,1,0,-394.0,0,0,lose
2,0,0,1249.0,0,0,win
1,0,0,1025.0,0,0,win
2,0,1,1527.0,0,1,win
2,0,0,1341.0,0,0,win
2,0,1,1510.0,0,1,win
2,0,1,1531.0,0,1,win
2,0,0,1320.0,0,0,win
2,0,0,73.0,0,0,lose
2,0,1,1520.0,0,1,win
2,0,1,412.0,0,1,lose
2,0,0,1325.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1284.0,0,0,win
2,0,1,451.0,0,1,lose
2,0,0,1318.0,0,0,win
1,0,2,492.0,0,2,lose
2,0,0,1327.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,1,1522.0,0,1,win
2,0,0,1279.0,0,0,win
2,0,1,1436.0,0,1,win
2,0,0,1258.0,0,0,win
2,0,0,1300.0,0,0,win
2,0,1,1522.0,0,1,win
2,0,1,1489.0,0,1,win
2,0,0,1294.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,1,1506.0,0,1,win
2,0,0,1302.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,1,432.0,0,1,lose
1,0,0,1117.0,0,0,win
2,0,0,1290.0,0,0,win
2,0,0,1287.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1275.0,0,0,win
2,0,1,1501.0,0,1,win
1,0,2,1533.0,0,2,win
2,0,0,1290.0,0,0,win
2,0,1,1520.0,0,1,win
2,0,0,1308.0,0,0,win
2,0,0,1358.0,0,0,win
2,0,1,1533.0,0,1,win
2,0,0,1296.0,0,0,win
2,0,2,722.0,0,2,lose
1,0,0,-225.0,0,0,lose
2,0,0,1359.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,1,1514.0,0,1,win
2,0,0,1255.0,0,0,win
2,0,2,1718.0,0,2,win
2,0,0,1314.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,1,1554.0,0,1,win
2,0,0,1342.0,0,0,win
2,0,0,289.0,0,0,lose
2,0,0,1353.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,0,290.0,0,0,lose
2,0,0,303.0,0,0,lose
2,0,0,1323.0,0,0,win
2,0,1,1543.0,0,1,win
2,0,2,600.0,0,2,lose
2,0,1,1549.0,0,1,win
2,0,0,1318.0,0,0,win
1,0,1,1308.0,0,1,win
2,0,1,409.0,0,1,lose
2,0,0,1362.0,0,0,win
2,0,0,127.0,0,0,lose
2,0,0,1322.0,0,0,win
2,0,0,1339.0,0,0,win
2,0,1,1524.0,0,1,win
2,0,0,1323.0,0,0,win
2,0,1,1502.0,0,1,win
2,0,1,1526.0,0,1,win
2,0,0,1333.0,0,0,win
2,0,0,1299.0,0,0,win
2,0,0,1316.0,0,0,win
2,0,0,1325.0,0,0,win
1,0,1,1331.0,0,1,win
2,0,0,1341.0,0,0,win
2,0,1,1546.0,0,1,win
1,0,0,1103.0,0,0,win
2,0,0,1320.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,1,1497.0,0,1,win
2,0,1,1513.0,0,1,win
2,0,0,1356.0,0,0,win
1,0,1,1261.0,0,1,win
1,1,0,1093.0,0,0,win
2,0,1,1521.0,0,1,win
1,0,0,1088.0,0,0,win
1,0,1,1244.0,0,1,win
2,0,0,1278.0,0,0,win
1,1,0,1111.0,0,0,win
2,0,1,1543.0,0,1,win
1,1,0,1136.0,0,0,win
2,0,2,1649.0,0,2,win
2,0,1,1483.0,0,1,win
2,0,0,1348.0,0,0,win
1,0,2,1433.0,0,2,win
2,0,0,1277.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1366.0,0,0,win
2,0,0,1299.0,0,0,win
2,0,1,1535.0,0,1,win
2,1,0,1310.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,1357.0,0,0,win
1,0,0,1121.0,0,0,win
2,0,1,1509.0,0,1,win
2,0,0,1294.0,0,0,win
2,0,0,1358.0,0,0,win
1,0,1,1306.0,0,1,win
2,1,0,1335.0,0,0,win
2,0,2,1746.0,0,2,win
1,0,0,1093.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,0,1331.0,0,0,win
2,0,0,1315.0,0,0,win
1,0,0,1053.0,0,0,win
2,0,1,466.0,0,1,lose
2,0,1,1474.0,0,1,win
2,0,1,1552.0,0,1,win
1,0,0,1083.0,0,0,win
2,0,1,513.0,0,1,lose
2,0,1,1534.0,0,1,win
2,1,0,1338.0,0,0,win
2,0,0,1361.0,0,0,win
2,0,0,1364.0,0,0,win
2,0,1,263.0,0,1,lose
2,0,0,1309.0,0,0,win
2,0,0,1272.0,0,0,win
1,1,0,1117.0,0,0,win
2,1,0,1257.0,0,0,win
2,0,1,1471.0,0,1,win
2,0,0,1338.0,0,0,win
1,0,0,6.0,0,0,lose
2,0,1,1519.0,0,1,win
2,1,0,1334.0,0,0,win
2,0,0,290.0,0,0,lose
2,0,0,1333.0,0,0,win
0,1,0,-465.0,0,0,lose
2,0,1,1546.0,0,1,win
2,0,0,1337.0,0,0,win
2,0,1,1514.0,0,1,win
2,0,1,1482.0,0,1,win
2,0,0,1333.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1324.0,0,0,win
0,1,0,-465.0,0,0,lose
2,0,0,1365.0,0,0,win
2,0,0,1348.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,306.0,0,0,lose
2,0,0,1352.0,0,0,win
1,0,1,1326.0,0,1,win
2,0,1,1528.0,0,1,win
2,0,1,394.0,0,1,lose
1,1,0,1130.0,0,0,win
2,0,2,1735.0,0,2,win
2,0,0,1332.0,0,0,win
2,0,0,1336.0,0,0,win
0,1,0,-483.0,0,0,lose
2,0,0,1309.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,1,1573.0,0,1,win
1,0,1,1292.0,0,1,win
2,1,1,1512.0,0,1,win
2,0,0,1329.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,1,1541.0,0,1,win
2,0,0,221.0,0,0,lose
2,0,0,1348.0,0,0,win
2,0,0,1337.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1325.0,0,0,win
1,1,0,1114.0,0,0,win
2,0,0,299.0,0,0,lose
2,0,0,331.0,0,0,lose
2,0,0,1319.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,0,1377.0,0,0,win
2,0,1,392.0,0,1,lose
2,0,0,232.0,0,0,lose
2,0,0,1320.0,0,0,win
2,0,1,309.0,0,1,lose
2,0,0,1359.0,0,0,win
2,0,1,447.0,0,1,lose
2,0,0,1301.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,0,194.0,0,0,lose
1,0,0,1079.0,0,0,win
2,0,0,1304.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,1357.0,0,0,win
1,0,1,1305.0,0,1,win
2,0,0,1334.0,0,0,win
2,0,0,320.0,0,0,lose
2,1,0,1294.0,0,0,win
2,0,1,1521.0,0,1,win
2,0,0,84.0,0,0,lose
2,0,0,1316.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,286.0,0,0,lose
2,0,1,1506.0,0,1,win
2,0,0,1328.0,0,0,win
2,0,0,1311.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,1,1521.0,0,1,win
2,0,1,1519.0,0,1,win
2,0,1,1483.0,0,1,win
2,0,0,1332.0,0,0,win
1,0,1,1315.0,0,1,win
2,0,0,326.0,0,0,lose
2,0,0,1279.0,0,0,win
2,0,0,1314.0,0,0,win
2,0,2,1730.0,0,2,win
2,0,0,1324.0,0,0,win
1,0,0,1039.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1316.0,0,0,win
2,0,1,1519.0,0,1,win
1,0,1,1313.0,0,1,win
2,0,0,1325.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1296.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,1,1491.0,0,1,win
2,0,0,1327.0,0,0,win
2,0,1,476.0,0,1,lose
2,1,0,1294.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1329.0,0,0,win
1,1,1,1288.0,0,1,win
2,0,1,1548.0,0,1,win
2,0,0,1327.0,0,0,win
2,0,0,1346.0,0,0,win
2,0,0,1346.0,0,0,win
2,0,1,1539.0,0,1,win
2,0,0,1349.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,1,1529.0,0,1,win
2,0,0,1303.0,0,0,win
1,0,0,-52.0,0,0,lose
2,0,0,1342.0,0,0,win
2,0,0,1324.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,1,1559.0,0,1,win
2,0,0,1328.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1341.0,0,0,win
2,0,0,1349.0,0,0,win
2,0,1,1491.0,0,1,win
1,0,1,1313.0,0,1,win
2,0,1,1529.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,0,157.0,0,0,lose
2,0,1,1493.0,0,1,win
2,0,0,1282.0,0,0,win
2,0,1,1528.0,0,1,win
2,0,0,1342.0,0,0,win
2,0,0,1323.0,0,0,win
2,0,2,1734.0,0,2,win
2,0,0,1349.0,0,0,win
2,0,0,1314.0,0,0,win
2,0,0,1328.0,0,0,win
1,0,1,1322.0,0,1,win
2,0,1,1553.0,0,1,win
1,1,0,1076.0,0,0,win
1,1,0,1099.0,0,0,win
2,0,0,1319.0,0,0,win
2,0,0,1303.0,0,0,win
1,0,1,77.0,0,1,lose
2,1,1,441.0,0,1,lose
2,0,0,320.0,0,0,lose
2,0,0,1336.0,0,0,win
2,0,0,290.0,0,0,lose
2,0,0,1270.0,0,0,win
2,0,0,157.0,0,0,lose
2,0,0,1336.0,0,0,win
2,0,0,1341.0,0,0,win
2,0,0,1317.0,0,0,win
2,0,0,1341.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,0,1355.0,0,0,win
1,0,0,1114.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1333.0,0,0,win
1,0,1,1324.0,0,1,win
2,0,0,1328.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,1,1540.0,0,1,win
1,0,1,1334.0,0,1,win
2,0,0,1326.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,1,406.0,0,1,lose
2,0,0,1278.0,0,0,win
2,0,0,1306.0,0,0,win
2,0,1,1517.0,0,1,win
2,0,0,1363.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,1,1513.0,0,1,win
2,1,0,1323.0,0,0,win
2,0,0,1324.0,0,0,win
2,0,1,443.0,0,1,lose
2,0,1,1525.0,0,1,win
2,0,0,1294.0,0,0,win
0,0,1,-225.0,0,1,lose
2,0,0,1280.0,0,0,win
2,0,0,1341.0,0,0,win
2,0,0,1295.0,0,0,win
2,0,0,1318.0,0,0,win
2,0,0,1335.0,0,0,win
1,1,0,1101.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1321.0,0,0,win
