Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
2,0,1,1556.0,0,1,win
2,0,0,1370.0,0,0,win
2,0,0,1342.0,0,0,win
1,1,0,1127.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,1330.0,0,0,win
2,0,0,1362.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,1349.0,0,0,win
2,0,1,1535.0,0,1,win
2,0,1,1561.0,0,1,win
2,0,1,497.0,0,1,lose
2,0,0,1326.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,1292.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,0,1368.0,0,0,win
2,0,0,1361.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,1,1506.0,0,1,win
2,0,0,1352.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,1,1557.0,0,1,win
2,0,0,1347.0,0,0,win
2,0,1,1532.0,0,1,win
2,1,0,1348.0,0,0,win
2,0,1,1539.0,0,1,win
1,1,0,1113.0,0,0,win
2,0,0,1375.0,0,0,win
1,1,0,1065.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1339.0,0,0,win
2,0,1,1555.0,0,1,win
2,0,0,1333.0,0,0,win
2,0,0,1324.0,0,0,win
2,1,0,1355.0,0,0,win
2,0,0,1364.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1330.0,0,0,win
2,0,1,1534.0,0,1,win
2,0,0,1372.0,0,0,win
2,0,0,1349.0,0,0,win
2,1,1,1558.0,0,1,win
2,0,0,1326.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1370.0,0,0,win
2,0,0,1309.0,0,0,win
2,0,0,1326.0,0,0,win
2,1,0,1333.0,0,0,win
2,0,0,1349.0,0,0,win
2,0,0,1319.0,0,0,win
2,1,0,1340.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,0,1375.0,0,0,win
2,0,0,1339.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,0,1321.0,0,0,win
2,0,0,1345.0,0,0,win
1,1,0,41.0,0,0,lose
2,0,0,1334.0,0,0,win
2,0,0,1362.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1329.0,0,0,win
2,0,0,1370.0,0,0,win
2,0,0,1334.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,0,1330.0,0,0,win
2,0,0,1292.0,0,0,win
2,0,0,1309.0,0,0,win
2,0,0,1361.0,0,0,win
2,0,0,1349.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,0,1328.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,322.0,0,0,lose
2,0,1,1543.0,0,1,win
2,0,0,1314.0,0,0,win
2,0,0,1333.0,0,0,win
2,1,0,1330.0,0,0,win
2,0,0,314.0,0,0,lose
2,0,1,480.0,0,1,lose
2,0,0,1359.0,0,0,win
2,0,0,1324.0,0,0,win
2,0,0,1356.0,0,0,win
2,0,0,1358.0,0,0,win
2,0,1,1547.0,0,1,win
2,0,0,1345.0,0,0,win
2,1,0,1347.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,1,1554.0,0,1,win
2,0,0,1356.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,0,1353.0,0,0,win
2,0,1,1507.0,0,1,win
2,0,0,1335.0,0,0,win
2,1,0,1338.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,1,1549.0,0,1,win
2,0,0,1349.0,0,0,win
2,0,1,1525.0,0,1,win
2,0,0,1358.0,0,0,win
2,0,0,1343.0,0,0,win
2,0,0,1316.0,0,0,win
2,0,0,1358.0,0,0,win
2,1,0,1324.0,0,0,win
0,0,1,-208.0,0,1,lose
2,0,0,1320.0,0,0,win
2,0,0,1340.0,0,0,win
2,1,0,1356.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,0,1277.0,0,0,win
2,1,0,1311.0,0,0,win
2,0,0,1368.0,0,0,win
2,0,0,283.0,0,0,lose
2,0,0,1345.0,0,0,win
2,0,0,1358.0,0,0,win
2,1,0,1338.0,0,0,win
2,1,0,1324.0,0,0,win
1,1,1,1274.0,0,1,win
2,0,0,1347.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1354.0,0,0,win
1,1,0,1135.0,0,0,win
1,1,0,1100.0,0,0,win
2,0,0,204.0,0,0,lose
2,0,0,1336.0,0,0,win
2,0,0,1360.0,0,0,win
