Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
2,0,1,422.0,0,1,lose
2,0,0,1361.0,0,0,win
2,0,0,1315.0,0,0,win
2,0,1,1529.0,0,1,win
2,0,2,1683.0,0,2,win
2,0,1,1522.0,0,1,win
2,0,0,1356.0,0,0,win
1,0,1,188.0,0,1,lose
2,0,0,1353.0,0,0,win
2,0,0,1364.0,0,0,win
2,0,1,1519.0,0,1,win
2,0,0,1338.0,0,0,win
2,0,0,1301.0,0,0,win
1,0,2,337.0,0,2,lose
2,0,1,1536.0,0,1,win
2,0,1,463.0,0,1,lose
2,0,1,1532.0,0,1,win
2,0,1,1486.0,0,1,win
2,0,0,1256.0,0,0,win
2,0,0,1313.0,0,0,win
2,0,0,1317.0,0,0,win
2,0,0,1336.0,0,0,win
2,0,0,1338.0,0,0,win
2,0,0,1344.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,1,1541.0,0,1,win
2,0,1,461.0,0,1,lose
2,0,1,1527.0,0,1,win
2,0,0,1353.0,0,0,win
1,0,0,-207.0,0,0,lose
2,0,1,462.0,0,1,lose
2,0,1,1564.0,0,1,win
2,0,1,1553.0,0,1,win
0,1,0,-478.0,0,0,lose
2,0,0,1348.0,0,0,win
2,0,2,1703.0,0,2,win
2,0,0,202.0,0,0,lose
2,0,1,1551.0,0,1,win
2,0,1,1540.0,0,1,win
2,0,0,1315.0,0,0,win
1,0,1,1356.0,0,1,win
2,0,2,1719.0,0,2,win
2,0,0,1304.0,0,0,win
2,0,0,1325.0,0,0,win
2,0,0,1330.0,0,0,win
1,0,1,1350.0,0,1,win
2,0,1,1527.0,0,1,win
2,0,1,1559.0,0,1,win
2,0,2,1724.0,0,2,win
2,0,0,1351.0,0,0,win
2,0,1,488.0,0,1,lose
2,0,1,1541.0,0,1,win
2,0,2,1732.0,0,2,win
2,0,0,287.0,0,0,lose
2,0,0,1351.0,0,0,win
2,0,1,1509.0,0,1,win
2,0,1,1553.0,0,1,win
2,0,0,1230.0,0,0,win
2,0,0,1312.0,0,0,win
2,0,0,1366.0,0,0,win
2,0,1,1509.0,0,1,win
2,0,0,1347.0,0,0,win
2,0,1,1513.0,0,1,win
1,1,0,1092.0,0,0,win
2,0,0,8.0,0,0,lose
2,0,1,1479.0,0,1,win
2,1,0,1333.0,0,0,win
1,1,0,1068.0,0,0,win
2,0,0,1361.0,0,0,win
2,0,0,1354.0,0,0,win
2,0,1,342.0,0,1,lose
2,0,1,1488.0,0,1,win
2,0,0,1349.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,1344.0,0,0,win
2,0,0,1345.0,0,0,win
2,0,1,1545.0,0,1,win
2,0,0,1344.0,0,0,win
1,0,1,1311.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,2,1688.0,0,2,win
2,0,1,1497.0,0,1,win
1,0,1,-5.0,0,1,lose
2,1,0,215.0,0,0,lose
2,0,0,1354.0,0,0,win
2,0,0,1355.0,0,0,win
2,0,0,1311.0,0,0,win
2,0,0,1283.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,1,1523.0,0,1,win
2,0,0,1346.0,0,0,win
2,0,0,1355.0,0,0,win
2,1,0,1317.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,0,1334.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,1,1522.0,0,1,win
1,0,1,29.0,0,1,lose
0,1,0,-266.0,0,0,lose
2,0,1,1532.0,0,1,win
2,0,0,1337.0,0,0,win
2,0,1,1504.0,0,1,win
1,0,1,1327.0,0,1,win
2,0,0,1332.0,0,0,win
2,0,0,1331.0,0,0,win
2,0,0,1345.0,0,0,win
1,0,0,-212.0,0,0,lose
2,1,0,1302.0,0,0,win
2,0,0,1332.0,0,0,win
2,0,2,1704.0,0,2,win
2,0,0,1362.0,0,0,win
2,0,1,1551.0,0,1,win
2,0,1,1547.0,0,1,win
2,0,0,1325.0,0,0,win
2,0,0,1278.0,0,0,win
2,0,0,1331.0,0,0,win
2,1,0,1255.0,0,0,win
2,0,1,1488.0,0,1,win
2,0,1,1534.0,0,1,win
2,0,0,251.0,0,0,lose
2,0,0,1311.0,0,0,win
2,0,0,1340.0,0,0,win
2,0,0,1310.0,0,0,win
1,0,1,134.0,0,1,lose
2,0,0,1342.0,0,0,win
2,0,1,1538.0,0,1,win
2,0,0,1313.0,0,0,win
2,0,1,1544.0,0,1,win
2,0,0,246.0,0,0,lose
2,0,1,1514.0,0,1,win
2,0,1,1507.0,0,1,win
1,0,1,1333.0,0,1,win
2,0,0,1335.0,0,0,win
2,0,0,1363.0,0,0,win
2,0,1,1481.0,0,1,win
2,0,0,1318.0,0,0,win
2,0,1,1533.0,0,1,win
2,0,0,1338.0,0,0,win
2,0,0,1321.0,0,0,win
1,0,1,21.0,0,1,lose
2,1,0,1286.0,0,0,win
2,0,0,1333.0,0,0,win
2,0,2,539.0,0,2,lose
2,0,2,1693.0,0,2,win
2,0,0,1307.0,0,0,win
2,0,0,1327.0,0,0,win
2,0,1,1500.0,0,1,win
2,0,1,1537.0,0,1,win
2,0,1,432.0,0,1,lose
2,1,0,1289.0,0,0,win
2,0,0,1360.0,0,0,win
1,1,0,1085.0,0,0,win
2,0,1,1491.0,0,1,win
2,0,1,1517.0,0,1,win
2,0,0,1337.0,0,0,win
2,1,0,1331.0,0,0,win
1,0,1,316.0,0,1,lose
2,0,0,1332.0,0,0,win
2,0,0,1270.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,1,1531.0,0,1,win
2,0,0,1362.0,0,0,win
2,0,0,1380.0,0,0,win
2,0,1,1490.0,0,1,win
2,0,0,1341.0,0,0,win
2,0,0,1320.0,0,0,win
1,0,1,1328.0,0,1,win
1,0,0,-138.0,0,0,lose
2,0,0,1323.0,0,0,win
1,1,1,0.0,0,1,lose
2,0,0,1348.0,0,0,win
2,0,1,1532.0,0,1,win
1,0,0,-222.0,0,0,lose
2,0,1,1494.0,0,1,win
1,0,0,-49.0,0,0,lose
2,0,1,1559.0,0,1,win
2,0,0,1345.0,0,0,win
2,0,0,1346.0,0,0,win
2,0,0,1347.0,0,0,win
2,0,1,1532.0,0,1,win
2,0,0,257.0,0,0,lose
2,0,0,1357.0,0,0,win
2,0,0,227.0,0,0,lose
2,0,0,1316.0,0,0,win
2,0,0,1359.0,0,0,win
2,0,0,1339.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,0,1354.0,0,0,win
1,0,1,1321.0,0,1,win
2,0,0,1342.0,0,0,win
2,0,0,1284.0,0,0,win
2,0,0,1357.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,0,1302.0,0,0,win
2,0,0,1305.0,0,0,win
1,0,0,1122.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,219.0,0,0,lose
1,1,1,1170.0,0,1,win
2,0,1,1537.0,0,1,win
2,1,0,1275.0,0,0,win
2,0,1,1526.0,0,1,win
2,1,0,1325.0,0,0,win
2,0,0,1342.0,0,0,win
2,0,1,1514.0,0,1,win
2,0,0,1319.0,0,0,win
2,0,0,1326.0,0,0,win
2,0,1,381.0,0,1,lose
2,0,0,1310.0,0,0,win
2,1,0,1331.0,0,0,win
1,0,1,1295.0,0,1,win
2,0,0,198.0,0,0,lose
2,0,0,1290.0,0,0,win
2,0,1,1536.0,0,1,win
2,0,0,1355.0,0,0,win
2,0,1,1531.0,0,1,win
2,0,0,1333.0,0,0,win
2,0,1,1523.0,0,1,win
2,0,1,1540.0,0,1,win
0,1,0,130.0,0,0,timeout
2,0,1,1548.0,0,1,win
2,0,1,1527.0,0,1,win
2,0,1,1524.0,0,1,win
2,0,0,224.0,0,0,lose
2,0,1,1534.0,0,1,win
2,0,0,216.0,0,0,lose
2,1,0,1367.0,0,0,win
2,0,0,127.0,0,0,lose
2,0,0,1342.0,0,0,win
2,1,0,1331.0,0,0,win
2,0,1,1538.0,0,1,win
2,0,0,275.0,0,0,lose
1,0,0,-150.0,0,0,lose
1,0,0,1122.0,0,0,win
0,0,1,-208.0,0,1,lose
1,1,0,1118.0,0,0,win
2,0,0,1311.0,0,0,win
2,0,0,1335.0,0,0,win
2,0,1,1528.0,0,1,win
2,0,0,1329.0,0,0,win
1,0,0,-232.0,0,0,lose
2,0,0,1332.0,0,0,win
2,0,0,1375.0,0,0,win
2,0,0,1308.0,0,0,win
2,0,0,1296.0,0,0,win
2,0,0,1337.0,0,0,win
1,0,1,1319.0,0,1,win
2,0,0,288.0,0,0,lose
1,0,1,1279.0,0,1,win
2,0,0,1282.0,0,0,win
2,0,1,1557.0,0,1,win
2,0,1,1533.0,0,1,win
2,0,0,1323.0,0,0,win
2,0,0,1350.0,0,0,win
2,0,0,1348.0,0,0,win
2,0,0,1298.0,0,0,win
1,0,0,1108.0,0,0,win
1,0,1,1296.0,0,1,win
2,0,2,1731.0,0,2,win
2,0,0,196.0,0,0,lose
1,0,1,261.0,0,1,lose
2,0,0,1350.0,0,0,win
2,0,0,208.0,0,0,lose
2,0,0,1339.0,0,0,win
2,0,1,1552.0,0,1,win
2,0,0,283.0,0,0,lose
2,0,1,417.0,0,1,lose
2,0,1,1539.0,0,1,win
1,0,0,1090.0,0,0,win
2,0,0,1351.0,0,0,win
2,0,0,1352.0,0,0,win
2,0,0,1262.0,0,0,win
2,0,1,1536.0,0,1,win
2,0,0,1339.0,0,0,win
2,0,0,1310.0,0,0,win
2,0,1,1538.0,0,1,win
