Blue Eaten,Orange Eaten,Score,Seed,Vegan,Win/Lose
0,0,941.0,0,0,win
0,0,925.0,0,0,win
0,0,963.0,0,0,win
0,0,-85.0,0,0,lose
0,0,960.0,0,0,win
0,0,936.0,0,0,win
0,0,955.0,0,0,win
0,0,939.0,0,0,win
0,0,954.0,0,0,win
0,0,941.0,0,0,win
0,0,960.0,0,0,win
0,0,910.0,0,0,win
0,0,966.0,0,0,win
0,0,956.0,0,0,win
0,0,943.0,0,0,win
0,0,912.0,0,0,win
0,0,948.0,0,0,win
0,0,955.0,0,0,win
0,0,869.0,0,0,win
0,0,969.0,0,0,win
0,0,967.0,0,0,win
0,0,922.0,0,0,win
0,0,942.0,0,0,win
0,0,942.0,0,0,win
0,0,975.0,0,0,win
0,0,950.0,0,0,win
0,0,865.0,0,0,win
0,0,976.0,0,0,win
0,0,976.0,0,0,win
0,0,-105.0,0,0,lose
0,0,930.0,0,0,win
0,0,955.0,0,0,win
0,0,963.0,0,0,win
0,0,982.0,0,0,win
0,0,970.0,0,0,win
0,0,916.0,0,0,win
0,0,973.0,0,0,win
0,0,955.0,0,0,win
0,0,911.0,0,0,win
0,0,939.0,0,0,win
0,0,951.0,0,0,win
0,0,928.0,0,0,win
0,0,965.0,0,0,win
0,0,960.0,0,0,win
0,0,947.0,0,0,win
0,0,930.0,0,0,win
0,0,956.0,0,0,win
0,0,972.0,0,0,win
0,0,969.0,0,0,win
0,0,970.0,0,0,win
0,0,950.0,0,0,win
0,0,967.0,0,0,win
0,0,939.0,0,0,win
0,0,959.0,0,0,win
0,0,954.0,0,0,win
0,0,957.0,0,0,win
0,0,979.0,0,0,win
0,0,973.0,0,0,win
0,0,970.0,0,0,win
0,0,940.0,0,0,win
0,0,934.0,0,0,win
0,0,796.0,0,0,win
1,0,1119.0,0,1,win
0,0,930.0,0,0,win
0,1,1147.0,0,1,win
0,0,923.0,0,0,win
0,0,906.0,0,0,win
0,0,964.0,0,0,win
0,0,-402.0,0,0,lose
0,0,903.0,0,0,win
0,0,953.0,0,0,win
0,0,959.0,0,0,win
0,0,953.0,0,0,win
0,0,797.0,0,0,win
0,0,980.0,0,0,win
0,0,940.0,0,0,win
0,0,953.0,0,0,win
0,0,943.0,0,0,win
0,0,936.0,0,0,win
0,0,928.0,0,0,win
0,0,952.0,0,0,win
0,0,966.0,0,0,win
0,0,925.0,0,0,win
0,0,891.0,0,0,win
0,0,965.0,0,0,win
0,0,943.0,0,0,win
0,0,967.0,0,0,win
0,0,958.0,0,0,win
0,0,917.0,0,0,win
0,0,940.0,0,0,win
0,0,964.0,0,0,win
0,0,901.0,0,0,win
0,0,955.0,0,0,win
0,0,951.0,0,0,win
0,0,915.0,0,0,win
0,0,949.0,0,0,win
0,0,952.0,0,0,win
0,0,953.0,0,0,win
0,0,867.0,0,0,win
0,0,975.0,0,0,win
0,0,961.0,0,0,win
0,0,950.0,0,0,win
0,0,951.0,0,0,win
0,0,949.0,0,0,win
0,0,965.0,0,0,win
0,0,930.0,0,0,win
0,0,941.0,0,0,win
0,0,934.0,0,0,win
0,0,925.0,0,0,win
0,0,932.0,0,0,win
0,0,915.0,0,0,win
0,0,979.0,0,0,win
0,0,941.0,0,0,win
0,0,933.0,0,0,win
0,0,978.0,0,0,win
0,0,939.0,0,0,win
0,0,925.0,0,0,win
0,0,945.0,0,0,win
0,0,962.0,0,0,win
0,0,968.0,0,0,win
0,0,894.0,0,0,win
0,0,948.0,0,0,win
0,0,966.0,0,0,win
0,0,957.0,0,0,win
0,0,-155.0,0,0,lose
0,0,891.0,0,0,win
0,0,-200.0,0,0,lose
0,0,-271.0,0,0,lose
0,0,-176.0,0,0,lose
0,0,939.0,0,0,win
0,0,954.0,0,0,win
0,0,969.0,0,0,win
0,0,951.0,0,0,win
0,0,-355.0,0,0,lose
0,0,965.0,0,0,win
0,0,916.0,0,0,win
0,0,947.0,0,0,win
0,0,921.0,0,0,win
0,0,944.0,0,0,win
0,0,963.0,0,0,win
0,0,928.0,0,0,win
0,0,-105.0,0,0,lose
0,0,964.0,0,0,win
0,0,891.0,0,0,win
0,0,957.0,0,0,win
0,0,-303.0,0,0,lose
0,0,933.0,0,0,win
0,0,935.0,0,0,win
0,0,952.0,0,0,win
0,0,954.0,0,0,win
0,0,936.0,0,0,win
0,0,975.0,0,0,win
0,0,977.0,0,0,win
0,0,979.0,0,0,win
0,0,961.0,0,0,win
0,0,960.0,0,0,win
0,0,957.0,0,0,win
0,0,846.0,0,0,win
0,0,963.0,0,0,win
0,0,892.0,0,0,win
0,0,901.0,0,0,win
0,0,960.0,0,0,win
0,0,940.0,0,0,win
0,0,90.0,0,0,timeout
0,0,930.0,0,0,win
0,0,965.0,0,0,win
0,0,931.0,0,0,win
0,0,982.0,0,0,win
0,0,974.0,0,0,win
0,0,957.0,0,0,win
0,0,953.0,0,0,win
0,1,1051.0,0,1,win
0,0,964.0,0,0,win
0,0,966.0,0,0,win
0,0,932.0,0,0,win
0,0,962.0,0,0,win
0,0,956.0,0,0,win
0,0,931.0,0,0,win
0,0,-209.0,0,0,lose
0,0,953.0,0,0,win
0,0,964.0,0,0,win
0,0,-386.0,0,0,lose
0,0,936.0,0,0,win
0,0,958.0,0,0,win
0,0,922.0,0,0,win
0,0,957.0,0,0,win
0,0,938.0,0,0,win
0,0,-89.0,0,0,lose
0,0,946.0,0,0,win
0,0,949.0,0,0,win
0,0,956.0,0,0,win
1,0,1149.0,0,1,win
