Blue Eaten,Orange Eaten,Score,Seed,Vegan,Win/Lose
0,0,980.0,0,0,win
0,0,971.0,0,0,win
0,0,973.0,0,0,win
0,0,950.0,0,0,win
0,0,971.0,0,0,win
0,0,970.0,0,0,win
0,0,962.0,0,0,win
0,0,970.0,0,0,win
0,0,977.0,0,0,win
0,0,987.0,0,0,win
0,0,969.0,0,0,win
0,0,958.0,0,0,win
0,0,968.0,0,0,win
0,0,983.0,0,0,win
0,0,944.0,0,0,win
0,0,960.0,0,0,win
0,0,918.0,0,0,win
0,0,951.0,0,0,win
0,0,928.0,0,0,win
0,0,971.0,0,0,win
0,0,966.0,0,0,win
0,0,961.0,0,0,win
0,0,966.0,0,0,win
0,0,965.0,0,0,win
0,0,980.0,0,0,win
0,0,907.0,0,0,win
0,0,-212.0,0,0,lose
0,0,953.0,0,0,win
0,0,950.0,0,0,win
0,0,-92.0,0,0,lose
0,0,965.0,0,0,win
0,0,981.0,0,0,win
0,0,936.0,0,0,win
0,0,951.0,0,0,win
0,0,925.0,0,0,win
0,0,-384.0,0,0,lose
0,0,936.0,0,0,win
0,0,921.0,0,0,win
0,0,977.0,0,0,win
0,0,957.0,0,0,win
0,0,961.0,0,0,win
0,0,946.0,0,0,win
0,0,973.0,0,0,win
0,0,967.0,0,0,win
0,0,949.0,0,0,win
0,0,963.0,0,0,win
0,0,949.0,0,0,win
0,0,956.0,0,0,win
0,0,972.0,0,0,win
0,0,-301.0,0,0,lose
0,0,-337.0,0,0,lose
0,0,968.0,0,0,win
0,0,976.0,0,0,win
0,0,977.0,0,0,win
0,0,959.0,0,0,win
0,0,948.0,0,0,win
0,0,947.0,0,0,win
0,0,949.0,0,0,win
0,0,978.0,0,0,win
0,0,953.0,0,0,win
0,0,965.0,0,0,win
0,0,959.0,0,0,win
0,0,950.0,0,0,win
0,0,971.0,0,0,win
0,0,-64.0,0,0,lose
0,0,959.0,0,0,win
0,0,961.0,0,0,win
0,0,930.0,0,0,win
0,0,969.0,0,0,win
0,0,963.0,0,0,win
0,0,960.0,0,0,win
0,0,947.0,0,0,win
0,0,957.0,0,0,win
0,0,976.0,0,0,win
0,0,-262.0,0,0,lose
0,0,973.0,0,0,win
0,0,964.0,0,0,win
0,0,976.0,0,0,win
0,0,981.0,0,0,win
0,0,968.0,0,0,win
0,0,972.0,0,0,win
0,0,968.0,0,0,win
0,0,-136.0,0,0,lose
0,0,975.0,0,0,win
0,0,-208.0,0,0,lose
0,0,969.0,0,0,win
0,0,964.0,0,0,win
0,0,968.0,0,0,win
0,0,-119.0,0,0,lose
0,0,-169.0,0,0,lose
0,0,967.0,0,0,win
0,0,971.0,0,0,win
0,0,-321.0,0,0,lose
