Blue Eaten,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
2,0,1363.0,0,0,win
1,0,1065.0,0,0,win
2,0,1329.0,0,0,win
2,0,1325.0,0,0,win
2,0,1335.0,0,0,win
2,0,1284.0,0,0,win
2,0,1345.0,0,0,win
2,0,1297.0,0,0,win
2,0,1340.0,0,0,win
1,0,1134.0,0,0,win
2,0,323.0,0,0,lose
2,0,1341.0,0,0,win
2,0,1299.0,0,0,win
2,0,1366.0,0,0,win
2,0,1365.0,0,0,win
2,0,1344.0,0,0,win
2,0,1325.0,0,0,win
2,0,1346.0,0,0,win
2,0,1331.0,0,0,win
2,0,1368.0,0,0,win
1,0,1140.0,0,0,win
2,0,1288.0,0,0,win
2,0,1381.0,0,0,win
2,0,1320.0,0,0,win
2,0,1367.0,0,0,win
2,0,1312.0,0,0,win
2,0,1357.0,0,0,win
2,0,1321.0,0,0,win
1,0,1113.0,0,0,win
2,0,333.0,0,0,lose
2,0,1371.0,0,0,win
2,0,1344.0,0,0,win
1,0,1125.0,0,0,win
2,0,1339.0,0,0,win
1,0,1165.0,0,0,win
1,0,1139.0,0,0,win
2,0,1280.0,0,0,win
2,0,1328.0,0,0,win
2,0,1367.0,0,0,win
2,0,1351.0,0,0,win
2,0,1337.0,0,0,win
2,0,1362.0,0,0,win
2,0,1341.0,0,0,win
2,1,1557.0,0,1,win
2,0,1344.0,0,0,win
1,0,-183.0,0,0,lose
2,0,1373.0,0,0,win
2,0,255.0,0,0,lose
2,0,1333.0,0,0,win
1,0,1152.0,0,0,win
2,0,1346.0,0,0,win
1,0,1128.0,0,0,win
2,0,1351.0,0,0,win
2,0,1323.0,0,0,win
2,0,1332.0,0,0,win
2,0,1345.0,0,0,win
2,0,1371.0,0,0,win
2,0,1340.0,0,0,win
2,0,1378.0,0,0,win
2,0,1348.0,0,0,win
2,0,1347.0,0,0,win
2,0,1351.0,0,0,win
2,0,1368.0,0,0,win
2,0,191.0,0,0,lose
2,0,1353.0,0,0,win
2,1,1559.0,0,1,win
2,0,1341.0,0,0,win
2,0,1349.0,0,0,win
2,0,1356.0,0,0,win
2,0,1313.0,0,0,win
2,0,1354.0,0,0,win
2,0,1307.0,0,0,win
2,1,1538.0,0,1,win
2,0,1346.0,0,0,win
2,0,1367.0,0,0,win
2,0,1365.0,0,0,win
2,0,1329.0,0,0,win
2,1,1538.0,0,1,win
2,0,304.0,0,0,lose
2,0,1326.0,0,0,win
2,0,1343.0,0,0,win
2,0,1322.0,0,0,win
2,0,1329.0,0,0,win
2,0,1357.0,0,0,win
2,0,1369.0,0,0,win
2,0,1355.0,0,0,win
2,0,1336.0,0,0,win
2,0,1348.0,0,0,win
1,0,-4.0,0,0,lose
2,0,1358.0,0,0,win
2,0,1355.0,0,0,win
2,0,1315.0,0,0,win
2,0,1348.0,0,0,win
2,0,1344.0,0,0,win
2,0,1370.0,0,0,win
2,0,1341.0,0,0,win
2,0,1299.0,0,0,win
2,0,1364.0,0,0,win
2,0,1334.0,0,0,win
2,0,1343.0,0,0,win
2,0,1353.0,0,0,win
2,0,1312.0,0,0,win
1,0,1140.0,0,0,win
2,0,1358.0,0,0,win
2,0,1347.0,0,0,win
2,0,1325.0,0,0,win
2,0,1303.0,0,0,win
2,0,1360.0,0,0,win
2,0,1343.0,0,0,win
2,0,1366.0,0,0,win
2,0,1347.0,0,0,win
2,0,1333.0,0,0,win
2,0,1326.0,0,0,win
2,0,1318.0,0,0,win
2,0,1367.0,0,0,win
2,0,328.0,0,0,lose
2,0,1343.0,0,0,win
1,0,1138.0,0,0,win
2,0,1330.0,0,0,win
2,0,1360.0,0,0,win
2,0,1338.0,0,0,win
2,0,1333.0,0,0,win
2,0,246.0,0,0,lose
2,0,1365.0,0,0,win
2,1,511.0,0,1,lose
2,0,1355.0,0,0,win
2,0,1332.0,0,0,win
2,0,1363.0,0,0,win
2,1,1529.0,0,1,win
2,0,1357.0,0,0,win
2,0,1337.0,0,0,win
2,0,1353.0,0,0,win
2,0,1337.0,0,0,win
1,0,15.0,0,0,lose
2,0,1375.0,0,0,win
2,0,1353.0,0,0,win
2,0,1346.0,0,0,win
2,0,1350.0,0,0,win
2,0,1349.0,0,0,win
2,0,1334.0,0,0,win
2,0,1363.0,0,0,win
2,0,1317.0,0,0,win
2,0,1357.0,0,0,win
2,0,1357.0,0,0,win
2,0,1365.0,0,0,win
2,0,1343.0,0,0,win
2,0,1286.0,0,0,win
2,0,1377.0,0,0,win
2,0,1351.0,0,0,win
2,0,1340.0,0,0,win
2,0,1358.0,0,0,win
2,0,1346.0,0,0,win
2,0,1361.0,0,0,win
2,0,1324.0,0,0,win
2,0,1359.0,0,0,win
2,0,1257.0,0,0,win
2,0,1368.0,0,0,win
1,0,18.0,0,0,lose
2,0,117.0,0,0,lose
2,0,1366.0,0,0,win
2,0,1303.0,0,0,win
2,0,223.0,0,0,lose
1,0,-180.0,0,0,lose
2,0,1336.0,0,0,win
2,0,1368.0,0,0,win
2,0,1313.0,0,0,win
2,0,1337.0,0,0,win
2,0,1358.0,0,0,win
2,0,1339.0,0,0,win
2,0,1347.0,0,0,win
2,0,1352.0,0,0,win
2,0,1331.0,0,0,win
2,0,1366.0,0,0,win
2,0,1363.0,0,0,win
2,0,1335.0,0,0,win
2,0,1356.0,0,0,win
2,0,256.0,0,0,lose
2,0,1323.0,0,0,win
2,0,1350.0,0,0,win
2,0,1327.0,0,0,win
2,1,437.0,0,1,lose
2,0,1354.0,0,0,win
2,0,252.0,0,0,lose
2,0,1336.0,0,0,win
2,0,1346.0,0,0,win
2,0,1363.0,0,0,win
2,0,1346.0,0,0,win
2,0,1333.0,0,0,win
2,0,1365.0,0,0,win
2,0,242.0,0,0,lose
2,0,1333.0,0,0,win
2,0,1367.0,0,0,win
2,0,1299.0,0,0,win
2,0,1366.0,0,0,win
2,0,1356.0,0,0,win
1,0,1169.0,0,0,win
2,0,1350.0,0,0,win
2,0,1353.0,0,0,win
2,0,1356.0,0,0,win
2,0,1364.0,0,0,win
2,0,1364.0,0,0,win
2,0,185.0,0,0,lose
2,0,1333.0,0,0,win
2,0,1333.0,0,0,win
2,0,1339.0,0,0,win
2,0,1361.0,0,0,win
2,0,1342.0,0,0,win
2,0,1354.0,0,0,win
2,0,1336.0,0,0,win
2,0,1364.0,0,0,win
2,0,232.0,0,0,lose
2,0,1370.0,0,0,win
2,0,1349.0,0,0,win
2,0,1361.0,0,0,win
2,0,1367.0,0,0,win
1,0,-188.0,0,0,lose
2,0,1353.0,0,0,win
1,0,1118.0,0,0,win
2,0,1342.0,0,0,win
2,0,1338.0,0,0,win
2,0,1351.0,0,0,win
2,0,1323.0,0,0,win
2,0,1344.0,0,0,win
2,0,1357.0,0,0,win
2,0,1343.0,0,0,win
2,0,1285.0,0,0,win
2,0,1338.0,0,0,win
2,0,1367.0,0,0,win
2,0,1343.0,0,0,win
2,0,1348.0,0,0,win
2,0,1350.0,0,0,win
2,0,1357.0,0,0,win
2,0,1353.0,0,0,win
2,0,1334.0,0,0,win
2,0,1370.0,0,0,win
0,0,841.0,0,0,win
2,0,256.0,0,0,lose
2,0,1346.0,0,0,win
2,0,1321.0,0,0,win
1,0,-176.0,0,0,lose
2,0,1356.0,0,0,win
2,0,1346.0,0,0,win
2,0,1342.0,0,0,win
2,0,1342.0,0,0,win
2,0,1359.0,0,0,win
2,0,1368.0,0,0,win
2,0,114.0,0,0,lose
2,0,184.0,0,0,lose
2,0,250.0,0,0,lose
2,0,1340.0,0,0,win
2,1,1546.0,0,1,win
1,0,1135.0,0,0,win
2,0,1360.0,0,0,win
2,0,1367.0,0,0,win
2,0,1349.0,0,0,win
2,0,1350.0,0,0,win
2,0,1322.0,0,0,win
2,0,1334.0,0,0,win
2,0,1344.0,0,0,win
2,0,1342.0,0,0,win
2,0,1371.0,0,0,win
1,0,1061.0,0,0,win
2,0,1339.0,0,0,win
2,0,1343.0,0,0,win
2,0,212.0,0,0,lose
2,1,1570.0,0,1,win
2,1,1552.0,0,1,win
2,0,1362.0,0,0,win
2,0,1376.0,0,0,win
2,0,1351.0,0,0,win
2,0,1332.0,0,0,win
2,0,1346.0,0,0,win
2,0,1343.0,0,0,win
1,0,-174.0,0,0,lose
2,0,1326.0,0,0,win
2,0,1278.0,0,0,win
2,0,1349.0,0,0,win
2,0,1358.0,0,0,win
2,0,1350.0,0,0,win
2,0,331.0,0,0,lose
2,0,1340.0,0,0,win
2,0,1352.0,0,0,win
2,0,1353.0,0,0,win
2,0,1340.0,0,0,win
2,0,1350.0,0,0,win
2,0,1326.0,0,0,win
2,0,1372.0,0,0,win
2,0,1348.0,0,0,win
2,0,1339.0,0,0,win
1,0,117.0,0,0,lose
2,0,1301.0,0,0,win
2,1,1529.0,0,1,win
2,0,1361.0,0,0,win
2,0,1301.0,0,0,win
2,0,1373.0,0,0,win
2,0,1345.0,0,0,win
2,0,1320.0,0,0,win
2,0,1352.0,0,0,win
1,0,1136.0,0,0,win
2,0,1329.0,0,0,win
2,0,355.0,0,0,lose
2,0,1345.0,0,0,win
2,0,1345.0,0,0,win
2,0,1362.0,0,0,win
