Blue Eaten,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
0,0,969.0,0,0,win
1,0,1151.0,0,0,win
1,0,1166.0,0,0,win
0,1,1171.0,0,1,win
0,0,897.0,0,0,win
0,0,916.0,0,0,win
1,0,1160.0,0,0,win
0,0,957.0,0,0,win
0,0,978.0,0,0,win
1,0,1108.0,0,0,win
0,0,-170.0,0,0,lose
0,1,1100.0,0,1,win
1,0,132.0,0,0,lose
1,0,1167.0,0,0,win
0,0,-98.0,0,0,lose
1,0,1152.0,0,0,win
1,0,1136.0,0,0,win
1,0,1160.0,0,0,win
1,0,1136.0,0,0,win
0,0,976.0,0,0,win
0,0,975.0,0,0,win
1,0,1157.0,0,0,win
0,0,972.0,0,0,win
1,0,1134.0,0,0,win
0,0,935.0,0,0,win
0,0,940.0,0,0,win
2,0,1266.0,0,0,win
0,0,916.0,0,0,win
1,0,1137.0,0,0,win
1,0,1176.0,0,0,win
0,0,978.0,0,0,win
1,0,1158.0,0,0,win
1,0,131.0,0,0,lose
1,0,1133.0,0,0,win
0,0,921.0,0,0,win
0,0,957.0,0,0,win
0,0,954.0,0,0,win
1,0,1105.0,0,0,win
1,0,1177.0,0,0,win
0,0,904.0,0,0,win
0,0,971.0,0,0,win
1,0,1153.0,0,0,win
1,0,1155.0,0,0,win
0,0,942.0,0,0,win
0,0,974.0,0,0,win
0,0,941.0,0,0,win
1,0,1153.0,0,0,win
1,1,337.0,0,1,lose
1,0,1134.0,0,0,win
0,0,930.0,0,0,win
1,0,1154.0,0,0,win
0,0,929.0,0,0,win
1,0,1138.0,0,0,win
1,0,1127.0,0,0,win
0,0,882.0,0,0,win
0,0,945.0,0,0,win
1,0,1162.0,0,0,win
1,0,1170.0,0,0,win
0,0,-82.0,0,0,lose
0,0,972.0,0,0,win
0,0,947.0,0,0,win
1,0,1130.0,0,0,win
0,0,965.0,0,0,win
0,0,945.0,0,0,win
0,0,957.0,0,0,win
0,0,975.0,0,0,win
1,0,1160.0,0,0,win
1,0,1132.0,0,0,win
1,0,1170.0,0,0,win
0,0,945.0,0,0,win
0,0,965.0,0,0,win
0,0,-104.0,0,0,lose
1,0,1159.0,0,0,win
1,0,1137.0,0,0,win
0,0,966.0,0,0,win
1,0,1167.0,0,0,win
0,0,969.0,0,0,win
0,0,922.0,0,0,win
1,0,1161.0,0,0,win
1,0,1036.0,0,0,win
0,0,955.0,0,0,win
0,0,954.0,0,0,win
2,1,1449.0,0,1,win
0,0,-72.0,0,0,lose
1,0,1158.0,0,0,win
0,0,958.0,0,0,win
1,0,1166.0,0,0,win
0,0,-87.0,0,0,lose
0,0,-128.0,0,0,lose
1,0,1167.0,0,0,win
1,0,1155.0,0,0,win
0,0,942.0,0,0,win
0,0,914.0,0,0,win
1,0,1162.0,0,0,win
0,0,949.0,0,0,win
1,0,1132.0,0,0,win
1,0,1121.0,0,0,win
0,0,954.0,0,0,win
1,0,1112.0,0,0,win
1,0,1111.0,0,0,win
1,0,1120.0,0,0,win
1,0,1069.0,0,0,win
0,0,937.0,0,0,win
1,0,1162.0,0,0,win
0,0,952.0,0,0,win
1,0,1173.0,0,0,win
0,0,918.0,0,0,win
1,0,1150.0,0,0,win
1,0,1150.0,0,0,win
0,0,891.0,0,0,win
0,0,938.0,0,0,win
0,0,953.0,0,0,win
1,0,1166.0,0,0,win
1,0,1169.0,0,0,win
1,0,1154.0,0,0,win
1,0,1155.0,0,0,win
0,0,934.0,0,0,win
1,0,1061.0,0,0,win
0,0,961.0,0,0,win
0,0,965.0,0,0,win
0,0,924.0,0,0,win
0,0,918.0,0,0,win
1,0,1150.0,0,0,win
1,0,1131.0,0,0,win
1,0,1162.0,0,0,win
0,0,975.0,0,0,win
0,0,895.0,0,0,win
0,0,-123.0,0,0,lose
0,0,969.0,0,0,win
0,0,888.0,0,0,win
0,0,937.0,0,0,win
1,0,1169.0,0,0,win
0,0,949.0,0,0,win
0,0,967.0,0,0,win
1,0,1147.0,0,0,win
1,0,1129.0,0,0,win
