Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,VegetarianBlue,VegetarianOrange,Win/Lose
2,3,1,2,7,723.0,0,2,2,lose
0,0,1,1,1,-171.0,0,0,1,lose
2,4,1,2,8,1742.0,0,2,2,win
1,2,1,1,4,38.0,0,1,1,lose
0,1,1,1,2,-104.0,0,0,1,lose
2,4,1,2,8,1774.0,0,2,2,win
2,4,1,2,8,1743.0,0,2,2,win
1,1,0,0,2,-180.0,0,1,0,lose
0,1,1,1,2,-163.0,0,0,1,lose
1,3,1,2,6,1559.0,0,1,2,win
1,1,0,1,3,137.0,0,1,1,lose
2,4,1,2,8,1756.0,0,2,2,win
2,4,1,2,8,755.0,0,2,2,lose
2,4,0,2,8,1767.0,0,2,2,win
2,4,1,2,8,1717.0,0,2,2,win
2,4,1,2,8,1737.0,0,2,2,win
2,4,0,2,8,1740.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,4,0,2,8,1751.0,0,2,2,win
2,4,0,2,8,1762.0,0,2,2,win
2,3,0,2,7,1748.0,0,2,2,win
1,2,0,1,4,1347.0,0,1,1,win
2,4,1,2,8,1759.0,0,2,2,win
2,4,0,2,8,1772.0,0,2,2,win
2,4,0,2,8,1779.0,0,2,2,win
2,4,0,2,8,1675.0,0,2,2,win
2,3,1,2,7,1731.0,0,2,2,win
2,4,1,2,8,1762.0,0,2,2,win
2,3,1,2,7,710.0,0,2,2,lose
2,4,1,2,8,1763.0,0,2,2,win
1,3,1,2,6,1568.0,0,1,2,win
2,4,0,2,8,1752.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,3,1,2,7,1757.0,0,2,2,win
2,2,1,2,6,1771.0,0,2,2,win
2,3,1,2,7,1755.0,0,2,2,win
1,1,0,0,2,-158.0,0,1,0,lose
1,2,1,1,4,35.0,0,1,1,lose
2,3,1,2,7,1777.0,0,2,2,win
1,1,1,0,2,-162.0,0,1,0,lose
2,4,1,2,8,708.0,0,2,2,lose
2,4,1,2,8,1776.0,0,2,2,win
2,4,0,2,8,1699.0,0,2,2,win
1,1,1,1,3,37.0,0,1,1,lose
2,3,0,2,7,1772.0,0,2,2,win
2,4,0,2,8,1742.0,0,2,2,win
2,3,0,2,7,588.0,0,2,2,lose
2,4,1,2,8,1773.0,0,2,2,win
2,4,1,2,8,1761.0,0,2,2,win
2,4,1,2,8,1765.0,0,2,2,win
2,4,0,2,8,1769.0,0,2,2,win
1,1,1,0,2,-164.0,0,1,0,lose
2,4,1,2,8,1768.0,0,2,2,win
2,4,0,2,8,1768.0,0,2,2,win
2,4,0,2,8,1773.0,0,2,2,win
2,4,0,2,8,1724.0,0,2,2,win
1,2,1,1,4,39.0,0,1,1,lose
2,4,1,2,8,1759.0,0,2,2,win
2,4,1,2,8,1772.0,0,2,2,win
1,2,0,1,4,40.0,0,1,1,lose
0,0,1,1,1,-171.0,0,0,1,lose
1,3,0,2,6,442.0,0,1,2,lose
2,4,1,2,8,1723.0,0,2,2,win
2,3,1,2,7,1765.0,0,2,2,win
2,4,0,2,8,1753.0,0,2,2,win
2,4,0,2,8,1733.0,0,2,2,win
1,3,1,2,6,446.0,0,1,2,lose
2,4,1,2,8,1765.0,0,2,2,win
1,2,0,2,5,1540.0,0,1,2,win
2,3,1,1,6,1566.0,0,2,1,win
1,0,1,0,1,-174.0,0,1,0,lose
2,4,1,2,8,1750.0,0,2,2,win
2,3,1,2,7,1742.0,0,2,2,win
2,4,0,2,8,1772.0,0,2,2,win
2,4,0,2,8,1775.0,0,2,2,win
2,4,1,2,8,1773.0,0,2,2,win
2,4,1,2,8,1776.0,0,2,2,win
2,4,1,2,8,1740.0,0,2,2,win
2,3,1,2,7,1755.0,0,2,2,win
2,4,0,2,8,1745.0,0,2,2,win
2,4,1,2,8,1756.0,0,2,2,win
1,1,0,1,3,40.0,0,1,1,lose
1,1,1,1,3,35.0,0,1,1,lose
1,3,1,2,6,501.0,0,1,2,lose
2,4,1,2,8,1743.0,0,2,2,win
2,4,1,2,8,1750.0,0,2,2,win
2,4,1,2,8,1767.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
1,3,1,2,6,1572.0,0,1,2,win
2,4,0,2,8,1779.0,0,2,2,win
2,3,1,2,7,1748.0,0,2,2,win
2,4,1,2,8,1768.0,0,2,2,win
2,4,1,2,8,1772.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
1,2,0,1,4,28.0,0,1,1,lose
0,1,1,1,2,-164.0,0,0,1,lose
2,3,1,2,7,1730.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,1,2,8,1764.0,0,2,2,win
1,3,1,2,6,439.0,0,1,2,lose
2,3,1,2,7,656.0,0,2,2,lose
2,3,0,1,6,1540.0,0,2,1,win
2,3,1,2,7,1777.0,0,2,2,win
1,1,1,1,3,31.0,0,1,1,lose
2,4,0,2,8,1750.0,0,2,2,win
2,4,1,2,8,1777.0,0,2,2,win
2,3,1,2,7,1758.0,0,2,2,win
2,4,1,2,8,1766.0,0,2,2,win
2,3,1,2,7,1758.0,0,2,2,win
2,4,0,2,8,1765.0,0,2,2,win
1,1,1,0,2,-182.0,0,1,0,lose
2,4,1,2,8,1772.0,0,2,2,win
2,4,1,2,8,1750.0,0,2,2,win
2,4,1,2,8,728.0,0,2,2,lose
2,3,1,2,7,1758.0,0,2,2,win
2,4,1,2,8,1770.0,0,2,2,win
2,4,0,2,8,1762.0,0,2,2,win
2,4,1,2,8,1752.0,0,2,2,win
2,4,0,2,8,1771.0,0,2,2,win
1,2,0,1,4,184.0,0,1,1,lose
1,2,1,1,4,114.0,0,1,1,lose
2,4,1,2,8,1769.0,0,2,2,win
2,4,1,2,8,1774.0,0,2,2,win
2,4,1,2,8,1770.0,0,2,2,win
