Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Win/Lose
2,0,2,1736.0,0,win
2,0,2,1723.0,0,win
2,0,2,1718.0,0,win
1,0,1,53.0,0,lose
2,0,2,1735.0,0,win
2,0,2,1708.0,0,win
2,0,1,1562.0,0,win
2,0,2,1749.0,0,win
2,0,2,1737.0,0,win
2,0,2,1748.0,0,win
1,0,1,1346.0,0,win
2,0,2,703.0,0,lose
2,0,2,1757.0,0,win
2,0,2,478.0,0,lose
2,0,2,1754.0,0,win
2,0,2,1746.0,0,win
2,0,2,1743.0,0,win
2,0,2,1740.0,0,win
2,1,1,493.0,0,lose
2,0,2,1718.0,0,win
2,0,2,1740.0,0,win
2,0,2,1744.0,0,win
2,0,1,1493.0,0,win
2,0,2,1745.0,0,win
2,0,2,1728.0,0,win
1,0,2,1501.0,0,win
2,0,2,1745.0,0,win
2,0,1,404.0,0,lose
2,0,2,1725.0,0,win
2,0,2,1719.0,0,win
1,0,2,1538.0,0,win
2,0,2,665.0,0,lose
1,0,2,545.0,0,lose
2,0,2,553.0,0,lose
2,0,1,1463.0,0,win
2,0,2,699.0,0,lose
1,0,1,161.0,0,lose
2,0,2,1703.0,0,win
1,0,2,1508.0,0,win
2,1,1,1451.0,0,win
2,0,2,1745.0,0,win
2,0,2,1722.0,0,win
2,0,1,1520.0,0,win
2,0,2,1735.0,0,win
2,0,1,258.0,0,lose
2,0,2,1749.0,0,win
2,0,2,1751.0,0,win
2,0,2,1760.0,0,win
2,0,2,1747.0,0,win
2,0,2,1758.0,0,win
1,0,1,84.0,0,lose
1,0,2,1502.0,0,win
2,0,2,1714.0,0,win
2,0,1,1455.0,0,win
2,0,1,1560.0,0,win
1,0,2,1551.0,0,win
1,0,2,455.0,0,lose
2,0,2,1751.0,0,win
2,0,2,1744.0,0,win
2,0,2,1745.0,0,win
2,0,1,1556.0,0,win
2,0,2,1758.0,0,win
2,0,2,1718.0,0,win
2,0,2,1748.0,0,win
2,0,1,1557.0,0,win
2,0,1,1539.0,0,win
2,0,2,1746.0,0,win
2,0,2,1712.0,0,win
2,0,2,1701.0,0,win
2,0,2,1719.0,0,win
1,0,2,1559.0,0,win
2,0,1,1560.0,0,win
2,0,2,513.0,0,lose
2,0,2,1727.0,0,win
2,0,2,1745.0,0,win
2,0,2,1712.0,0,win
2,0,1,1540.0,0,win
2,0,2,465.0,0,lose
2,0,2,1750.0,0,win
2,0,2,1716.0,0,win
2,0,2,1753.0,0,win
2,0,2,1738.0,0,win
2,0,2,1730.0,0,win
2,0,2,650.0,0,lose
2,0,2,1757.0,0,win
2,0,2,1723.0,0,win
2,0,2,1737.0,0,win
1,0,2,1507.0,0,win
1,0,2,330.0,0,lose
1,0,2,1519.0,0,win
2,1,2,1716.0,0,win
2,0,2,1738.0,0,win
2,1,2,1735.0,0,win
2,0,2,1759.0,0,win
2,0,1,1556.0,0,win
2,1,2,600.0,0,lose
2,0,2,1729.0,0,win
2,1,2,698.0,0,lose
1,0,2,1544.0,0,win
2,0,2,1758.0,0,win
2,0,2,1685.0,0,win
2,0,2,1743.0,0,win
2,0,2,1621.0,0,win
2,0,2,1735.0,0,win
1,1,2,1542.0,0,win
2,0,2,1745.0,0,win
2,0,2,1708.0,0,win
2,0,1,1529.0,0,win
2,0,1,1546.0,0,win
2,1,1,449.0,0,lose
2,0,2,1753.0,0,win
2,0,2,516.0,0,lose
2,0,2,519.0,0,lose
1,0,1,91.0,0,lose
2,0,2,640.0,0,lose
2,0,2,1717.0,0,win
1,0,2,1552.0,0,win
2,0,2,1728.0,0,win
2,0,2,1765.0,0,win
2,1,2,1743.0,0,win
2,0,1,1554.0,0,win
1,0,2,1499.0,0,win
1,0,2,405.0,0,lose
2,0,2,1730.0,0,win
2,0,2,1736.0,0,win
2,0,2,1752.0,0,win
2,0,1,1527.0,0,win
2,0,2,1726.0,0,win
2,0,2,1756.0,0,win
2,0,2,1745.0,0,win
2,0,2,1744.0,0,win
1,0,2,1539.0,0,win
2,0,2,1740.0,0,win
1,0,2,1480.0,0,win
2,0,2,1758.0,0,win
2,0,2,1746.0,0,win
2,0,2,1718.0,0,win
2,0,2,1722.0,0,win
2,0,2,1749.0,0,win
2,0,2,1728.0,0,win
2,0,2,1730.0,0,win
2,1,1,1512.0,0,win
1,0,2,1513.0,0,win
2,1,2,1743.0,0,win
2,0,2,1675.0,0,win
0,0,2,68.0,0,lose
2,0,2,1751.0,0,win
2,0,2,1756.0,0,win
2,0,2,1755.0,0,win
2,0,2,1748.0,0,win
2,0,2,1733.0,0,win
2,0,2,1711.0,0,win
2,0,2,1716.0,0,win
2,0,1,1537.0,0,win
2,0,2,1738.0,0,win
2,0,2,1752.0,0,win
2,0,2,1744.0,0,win
2,0,2,1752.0,0,win
2,0,2,1731.0,0,win
2,0,2,1722.0,0,win
2,1,2,1743.0,0,win
2,0,2,1768.0,0,win
2,0,2,1748.0,0,win
1,1,2,499.0,0,lose
2,0,1,1515.0,0,win
2,0,2,1748.0,0,win
1,0,2,1511.0,0,win
2,0,2,1710.0,0,win
0,0,2,1366.0,0,win
2,0,2,1741.0,0,win
2,0,2,1765.0,0,win
2,0,2,1760.0,0,win
2,1,2,1736.0,0,win
1,0,1,1353.0,0,win
1,0,2,423.0,0,lose
2,0,1,1509.0,0,win
2,0,2,1729.0,0,win
2,0,2,1748.0,0,win
2,0,2,1735.0,0,win
2,0,2,1740.0,0,win
2,0,2,1670.0,0,win
2,0,2,1726.0,0,win
2,0,2,708.0,0,lose
2,0,2,627.0,0,lose
1,0,2,1550.0,0,win
2,0,2,577.0,0,lose
1,0,2,1535.0,0,win
2,1,2,1741.0,0,win
2,0,2,1735.0,0,win
2,0,2,1636.0,0,win
2,0,1,1546.0,0,win
2,0,2,1724.0,0,win
2,0,2,1733.0,0,win
2,0,1,256.0,0,lose
2,0,2,1745.0,0,win
2,0,2,1739.0,0,win
2,0,2,1686.0,0,win
2,0,0,273.0,0,lose
2,0,2,1736.0,0,win
2,0,2,1688.0,0,win
2,1,2,1717.0,0,win
2,0,2,1745.0,0,win
2,0,2,1754.0,0,win
2,0,2,1757.0,0,win
2,0,1,1538.0,0,win
2,0,2,1745.0,0,win
2,0,2,1744.0,0,win
1,0,1,1338.0,0,win
2,0,2,1745.0,0,win
2,0,2,683.0,0,lose
2,0,2,1721.0,0,win
2,0,2,1756.0,0,win
2,0,2,1745.0,0,win
2,0,1,536.0,0,lose
2,0,1,1424.0,0,win
2,0,2,1722.0,0,win
2,1,2,1767.0,0,win
2,0,2,1731.0,0,win
2,0,2,1737.0,0,win
2,0,2,1656.0,0,win
2,0,2,1743.0,0,win
2,1,1,389.0,0,lose
2,0,2,619.0,0,lose
0,0,2,1350.0,0,win
2,0,2,1718.0,0,win
2,0,2,721.0,0,lose
2,0,1,1554.0,0,win
2,0,2,1725.0,0,win
2,0,2,648.0,0,lose
2,0,2,1715.0,0,win
2,0,2,1712.0,0,win
2,0,2,1745.0,0,win
2,0,1,1539.0,0,win
2,0,2,1748.0,0,win
2,0,2,1710.0,0,win
2,0,2,1705.0,0,win
1,0,2,422.0,0,lose
1,0,2,1544.0,0,win
2,0,2,581.0,0,lose
2,0,2,1725.0,0,win
2,0,2,1725.0,0,win
1,0,1,79.0,0,lose
2,0,1,1558.0,0,win
2,0,2,1755.0,0,win
2,0,2,1719.0,0,win
2,0,2,1757.0,0,win
2,0,2,1761.0,0,win
2,0,1,1538.0,0,win
2,0,2,1717.0,0,win
2,0,2,1742.0,0,win
2,0,1,1552.0,0,win
2,0,1,1550.0,0,win
2,1,2,1726.0,0,win
1,0,2,1559.0,0,win
2,0,2,1746.0,0,win
2,0,2,1702.0,0,win
2,0,2,1762.0,0,win
2,0,2,1719.0,0,win
2,1,1,1510.0,0,win
2,0,2,618.0,0,lose
2,0,2,1682.0,0,win
2,0,2,1739.0,0,win
2,0,1,449.0,0,lose
2,1,2,1716.0,0,win
2,0,2,1744.0,0,win
2,0,2,1755.0,0,win
2,0,2,1680.0,0,win
2,0,1,1528.0,0,win
2,0,2,1745.0,0,win
1,0,2,1476.0,0,win
2,0,2,1729.0,0,win
2,0,2,1698.0,0,win
2,0,2,1767.0,0,win
2,0,2,1755.0,0,win
1,1,2,1554.0,0,win
1,0,0,-194.0,0,lose
2,0,2,1756.0,0,win
2,0,2,1695.0,0,win
2,0,2,1708.0,0,win
2,0,2,619.0,0,lose
2,0,2,1666.0,0,win
2,0,2,671.0,0,lose
2,0,2,1745.0,0,win
2,0,2,1736.0,0,win
2,0,2,602.0,0,lose
2,0,2,1714.0,0,win
2,0,2,1730.0,0,win
2,0,1,422.0,0,lose
2,0,1,377.0,0,lose
2,0,2,679.0,0,lose
2,0,2,1761.0,0,win
1,0,2,1540.0,0,win
2,0,2,1769.0,0,win
2,0,2,1755.0,0,win
2,0,1,1484.0,0,win
1,0,2,539.0,0,lose
2,0,1,1550.0,0,win
2,0,2,1705.0,0,win
2,0,2,1748.0,0,win
2,1,2,1724.0,0,win
2,0,2,1742.0,0,win
2,1,2,1722.0,0,win
2,0,2,1751.0,0,win
0,0,2,1333.0,0,win
1,0,2,1529.0,0,win
2,0,2,1708.0,0,win
1,0,2,1554.0,0,win
2,0,2,1759.0,0,win
2,0,2,1725.0,0,win
2,0,2,1735.0,0,win
2,0,2,1722.0,0,win
2,0,2,1729.0,0,win
2,0,1,1509.0,0,win
2,0,2,1689.0,0,win
2,0,1,1545.0,0,win
0,0,2,1271.0,0,win
1,0,2,1547.0,0,win
2,0,2,648.0,0,lose
2,0,2,1741.0,0,win
2,0,1,1537.0,0,win
2,0,2,1759.0,0,win
1,0,2,1547.0,0,win
2,0,2,1757.0,0,win
2,0,1,1553.0,0,win
2,0,2,1728.0,0,win
2,0,2,1705.0,0,win
2,0,2,1744.0,0,win
2,0,2,1760.0,0,win
2,0,2,1713.0,0,win
2,0,2,1759.0,0,win
2,0,2,1685.0,0,win
1,0,2,1519.0,0,win
2,0,2,1746.0,0,win
2,0,2,1741.0,0,win
2,0,2,1745.0,0,win
2,0,2,1741.0,0,win
2,0,2,1753.0,0,win
2,0,2,1746.0,0,win
2,0,1,1539.0,0,win
2,0,1,1546.0,0,win
1,0,2,1492.0,0,win
2,0,2,1698.0,0,win
2,0,2,1754.0,0,win
2,0,2,1724.0,0,win
2,0,2,1756.0,0,win
2,0,1,1540.0,0,win
1,0,2,1483.0,0,win
2,0,2,1746.0,0,win
1,0,2,1544.0,0,win
2,0,2,702.0,0,lose
2,0,1,1552.0,0,win
2,0,2,1743.0,0,win
2,0,2,1732.0,0,win
2,0,2,1745.0,0,win
2,0,0,100.0,0,lose
2,0,2,1745.0,0,win
2,0,2,1688.0,0,win
2,0,2,463.0,0,lose
0,0,2,1262.0,0,win
2,0,2,1756.0,0,win
2,0,2,1738.0,0,win
2,0,1,1557.0,0,win
2,0,2,1765.0,0,win
2,0,2,1752.0,0,win
2,0,2,1670.0,0,win
2,0,1,275.0,0,lose
2,0,2,1742.0,0,win
1,0,1,104.0,0,lose
2,0,0,246.0,0,lose
2,0,2,1759.0,0,win
2,0,2,1752.0,0,win
2,0,1,1445.0,0,win
2,0,2,1731.0,0,win
1,0,2,1515.0,0,win
2,0,2,1708.0,0,win
1,0,1,1339.0,0,win
2,0,2,1729.0,0,win
2,0,1,1528.0,0,win
2,0,2,1734.0,0,win
2,0,2,1744.0,0,win
2,0,2,1738.0,0,win
2,0,2,1752.0,0,win
2,1,2,1767.0,0,win
2,0,2,1738.0,0,win
2,0,2,1693.0,0,win
2,0,1,1532.0,0,win
2,0,2,1754.0,0,win
2,0,2,684.0,0,lose
2,0,2,623.0,0,lose
1,0,2,1548.0,0,win
1,0,2,1554.0,0,win
1,0,2,1564.0,0,win
2,0,2,1756.0,0,win
2,0,1,1553.0,0,win
2,0,2,1725.0,0,win
1,0,1,112.0,0,lose
2,0,2,1740.0,0,win
2,0,2,1728.0,0,win
2,0,2,1743.0,0,win
2,0,2,1748.0,0,win
2,0,2,1738.0,0,win
2,0,2,1708.0,0,win
2,0,2,1735.0,0,win
2,0,2,1717.0,0,win
2,0,2,1723.0,0,win
2,0,2,1752.0,0,win
2,1,2,1752.0,0,win
2,0,2,454.0,0,lose
2,0,2,1746.0,0,win
2,0,1,1552.0,0,win
2,0,2,1754.0,0,win
2,0,1,1550.0,0,win
2,0,2,729.0,0,lose
2,0,2,1757.0,0,win
2,0,2,1738.0,0,win
2,0,2,1754.0,0,win
2,1,2,1754.0,0,win
2,0,1,1543.0,0,win
0,0,2,254.0,0,lose
2,0,2,1745.0,0,win
2,0,2,1741.0,0,win
2,0,1,1554.0,0,win
0,0,2,240.0,0,lose
2,0,2,648.0,0,lose
0,0,2,1351.0,0,win
2,0,1,1517.0,0,win
2,0,1,1547.0,0,win
2,0,2,1744.0,0,win
2,0,1,320.0,0,lose
2,0,2,1638.0,0,win
1,0,2,1550.0,0,win
2,0,2,1755.0,0,win
1,0,1,11.0,0,lose
2,0,1,1535.0,0,win
1,0,2,383.0,0,lose
2,0,2,1752.0,0,win
2,0,1,1561.0,0,win
2,0,2,1734.0,0,win
1,0,2,1490.0,0,win
1,0,2,452.0,0,lose
1,0,2,1539.0,0,win
2,1,2,1728.0,0,win
2,0,2,1693.0,0,win
1,0,1,133.0,0,lose
2,0,1,1564.0,0,win
2,0,1,1525.0,0,win
2,0,2,1744.0,0,win
2,0,2,1715.0,0,win
2,1,2,1725.0,0,win
0,0,2,1329.0,0,win
2,0,2,1744.0,0,win
2,0,2,1749.0,0,win
2,0,2,1727.0,0,win
2,0,2,1745.0,0,win
1,0,2,1500.0,0,win
2,0,2,1731.0,0,win
2,0,2,1750.0,0,win
2,0,2,474.0,0,lose
2,0,2,709.0,0,lose
2,0,2,1736.0,0,win
2,0,2,1713.0,0,win
1,0,2,1537.0,0,win
2,0,2,1723.0,0,win
2,0,2,1764.0,0,win
1,0,2,1546.0,0,win
2,0,2,1755.0,0,win
2,0,2,1737.0,0,win
2,0,2,1720.0,0,win
1,0,2,1559.0,0,win
2,0,2,1771.0,0,win
1,0,2,1563.0,0,win
2,0,2,1736.0,0,win
0,0,2,1336.0,0,win
2,0,2,1753.0,0,win
2,0,2,1745.0,0,win
2,0,2,1733.0,0,win
2,0,1,1524.0,0,win
2,0,2,694.0,0,lose
2,0,2,1765.0,0,win
2,0,2,1702.0,0,win
2,0,1,1542.0,0,win
2,0,2,1730.0,0,win
2,0,1,1548.0,0,win
1,0,2,1550.0,0,win
2,0,2,1743.0,0,win
2,0,1,1494.0,0,win
2,0,2,675.0,0,lose
2,0,2,1714.0,0,win
0,0,1,-122.0,0,lose
2,0,2,1725.0,0,win
2,0,2,460.0,0,lose
2,0,2,567.0,0,lose
2,0,2,1756.0,0,win
2,0,2,1735.0,0,win
2,0,2,1723.0,0,win
2,0,2,678.0,0,lose
2,0,2,1754.0,0,win
2,0,2,1689.0,0,win
2,0,1,1526.0,0,win
2,0,2,1743.0,0,win
2,0,1,1559.0,0,win
0,0,2,125.0,0,lose
2,0,1,1552.0,0,win
2,0,2,1729.0,0,win
2,0,2,1745.0,0,win
2,0,2,1739.0,0,win
1,0,2,1545.0,0,win
1,0,1,1346.0,0,win
2,0,1,1524.0,0,win
2,0,2,1733.0,0,win
2,0,2,1743.0,0,win
2,0,2,1749.0,0,win
2,1,2,1709.0,0,win
2,0,1,1505.0,0,win
2,0,1,1557.0,0,win
2,1,2,1694.0,0,win
1,0,2,1554.0,0,win
2,0,1,1535.0,0,win
2,1,2,1757.0,0,win
2,0,2,1674.0,0,win
2,0,2,1721.0,0,win
2,0,2,1745.0,0,win
2,1,2,1758.0,0,win
2,0,1,1553.0,0,win
2,0,2,1718.0,0,win
0,0,2,1299.0,0,win
2,1,2,1742.0,0,win
2,0,1,1528.0,0,win
2,0,2,1730.0,0,win
2,0,2,1722.0,0,win
2,0,2,1726.0,0,win
2,0,2,1703.0,0,win
2,0,2,1739.0,0,win
2,1,1,382.0,0,lose
2,1,2,677.0,0,lose
2,0,1,1480.0,0,win
2,1,2,1746.0,0,win
2,1,2,1751.0,0,win
2,1,2,1716.0,0,win
2,0,2,1728.0,0,win
2,0,2,1732.0,0,win
2,1,2,691.0,0,lose
2,0,2,1730.0,0,win
2,1,2,1740.0,0,win
2,0,2,1727.0,0,win
2,0,2,1747.0,0,win
2,0,2,1721.0,0,win
2,0,1,415.0,0,lose
2,0,2,1715.0,0,win
2,0,1,1530.0,0,win
2,0,1,1542.0,0,win
2,0,2,1760.0,0,win
2,0,2,1737.0,0,win
2,0,2,1743.0,0,win
2,0,2,1723.0,0,win
2,0,2,1740.0,0,win
0,0,2,1352.0,0,win
2,0,2,1711.0,0,win
1,0,2,1533.0,0,win
1,0,2,1547.0,0,win
2,0,1,1522.0,0,win
2,0,2,1766.0,0,win
2,0,2,1739.0,0,win
2,0,2,1710.0,0,win
2,0,2,1743.0,0,win
2,0,2,1745.0,0,win
2,0,2,1721.0,0,win
2,0,2,1757.0,0,win
2,0,2,1739.0,0,win
2,0,2,1743.0,0,win
2,1,2,1732.0,0,win
2,1,2,1733.0,0,win
2,0,2,531.0,0,lose
1,0,2,1554.0,0,win
2,0,2,1735.0,0,win
2,0,2,612.0,0,lose
2,0,2,1764.0,0,win
1,0,2,1548.0,0,win
2,0,1,1548.0,0,win
2,0,2,1735.0,0,win
1,0,2,1547.0,0,win
2,0,2,645.0,0,lose
2,0,2,1749.0,0,win
2,0,2,1733.0,0,win
2,0,2,1732.0,0,win
2,1,2,617.0,0,lose
1,0,2,1471.0,0,win
2,0,2,1697.0,0,win
1,0,2,1558.0,0,win
2,0,1,1529.0,0,win
2,0,2,1748.0,0,win
2,0,2,1741.0,0,win
1,0,2,1546.0,0,win
2,0,2,1754.0,0,win
2,0,2,1752.0,0,win
2,0,2,1751.0,0,win
2,0,2,1738.0,0,win
2,0,2,1742.0,0,win
2,1,2,1726.0,0,win
1,0,2,1537.0,0,win
2,0,2,1658.0,0,win
0,0,1,-123.0,0,lose
2,0,2,1747.0,0,win
1,1,2,1547.0,0,win
2,0,2,1750.0,0,win
2,0,2,1738.0,0,win
2,0,2,1720.0,0,win
2,0,2,1736.0,0,win
2,0,2,1720.0,0,win
2,0,1,1530.0,0,win
2,1,2,1731.0,0,win
2,1,2,1718.0,0,win
2,0,2,542.0,0,lose
2,0,2,1703.0,0,win
1,0,2,1470.0,0,win
2,0,2,1766.0,0,win
2,0,1,1531.0,0,win
2,0,2,1621.0,0,win
2,0,2,1741.0,0,win
1,0,2,1550.0,0,win
2,0,2,1740.0,0,win
2,0,1,377.0,0,lose
2,0,2,1755.0,0,win
2,0,2,1758.0,0,win
2,0,1,1540.0,0,win
2,0,2,1746.0,0,win
1,0,2,1496.0,0,win
1,0,2,1565.0,0,win
2,0,2,1736.0,0,win
2,1,2,1743.0,0,win
1,0,2,1556.0,0,win
2,0,2,1759.0,0,win
2,0,2,1723.0,0,win
1,0,2,517.0,0,lose
2,0,2,1738.0,0,win
2,0,2,1737.0,0,win
2,0,2,1722.0,0,win
2,0,2,1736.0,0,win
2,0,2,1757.0,0,win
2,0,2,1728.0,0,win
1,0,2,1540.0,0,win
2,0,2,1678.0,0,win
2,0,1,1513.0,0,win
1,0,2,1532.0,0,win
2,0,2,1715.0,0,win
2,0,1,1561.0,0,win
2,0,1,1553.0,0,win
2,0,2,1737.0,0,win
0,0,2,1287.0,0,win
2,0,2,620.0,0,lose
2,0,2,1739.0,0,win
2,0,1,1518.0,0,win
2,1,1,1535.0,0,win
0,0,1,-122.0,0,lose
2,0,2,1757.0,0,win
2,0,2,1695.0,0,win
2,0,2,1688.0,0,win
2,0,2,473.0,0,lose
2,0,1,1535.0,0,win
0,0,2,1223.0,0,win
2,1,2,1725.0,0,win
2,0,2,1734.0,0,win
2,0,2,628.0,0,lose
2,0,2,1717.0,0,win
2,0,2,1759.0,0,win
2,0,2,644.0,0,lose
2,0,2,615.0,0,lose
2,0,2,1724.0,0,win
2,0,2,1761.0,0,win
2,0,2,1709.0,0,win
1,0,2,1551.0,0,win
2,0,2,635.0,0,lose
2,0,1,1491.0,0,win
1,0,1,1203.0,0,win
2,0,2,1753.0,0,win
2,0,2,1744.0,0,win
2,0,2,1720.0,0,win
2,1,2,1727.0,0,win
