Blue Eaten,Orange Eaten,Score,Seed,VegetarianOrange,Win/Lose
2,0,1351.0,0,0,win
2,0,1361.0,0,0,win
1,0,96.0,0,0,lose
2,0,1330.0,0,0,win
2,0,1310.0,0,0,win
1,0,1124.0,0,0,win
2,0,1363.0,0,0,win
2,0,1366.0,0,0,win
2,1,1561.0,0,1,win
2,0,1365.0,0,0,win
1,0,1157.0,0,0,win
2,0,1371.0,0,0,win
2,0,1343.0,0,0,win
2,0,1350.0,0,0,win
2,0,1353.0,0,0,win
2,0,1335.0,0,0,win
2,0,1377.0,0,0,win
2,0,1359.0,0,0,win
2,0,1356.0,0,0,win
2,0,1357.0,0,0,win
2,0,1351.0,0,0,win
2,0,1370.0,0,0,win
2,0,1352.0,0,0,win
2,0,1347.0,0,0,win
2,0,1368.0,0,0,win
2,0,1357.0,0,0,win
2,0,1344.0,0,0,win
1,0,1152.0,0,0,win
2,0,1374.0,0,0,win
2,0,301.0,0,0,lose
2,0,1267.0,0,0,win
2,0,1348.0,0,0,win
2,0,1361.0,0,0,win
2,0,1351.0,0,0,win
1,0,1148.0,0,0,win
2,0,1359.0,0,0,win
2,0,1357.0,0,0,win
1,0,-109.0,0,0,lose
2,0,1371.0,0,0,win
2,0,1373.0,0,0,win
2,0,1364.0,0,0,win
2,0,1357.0,0,0,win
2,1,1571.0,0,1,win
2,0,1368.0,0,0,win
2,0,1355.0,0,0,win
2,0,1342.0,0,0,win
1,1,1.0,0,1,lose
1,0,119.0,0,0,lose
1,0,1161.0,0,0,win
2,0,1370.0,0,0,win
1,0,-80.0,0,0,lose
1,0,-194.0,0,0,lose
2,0,1348.0,0,0,win
2,0,1375.0,0,0,win
2,0,1361.0,0,0,win
2,0,1374.0,0,0,win
1,0,1126.0,0,0,win
2,0,1372.0,0,0,win
1,0,-8.0,0,0,lose
2,0,1352.0,0,0,win
2,0,1352.0,0,0,win
1,0,1166.0,0,0,win
2,0,1354.0,0,0,win
2,0,1263.0,0,0,win
2,0,1295.0,0,0,win
2,0,1376.0,0,0,win
2,0,1360.0,0,0,win
2,0,1359.0,0,0,win
2,0,1358.0,0,0,win
2,0,193.0,0,0,lose
1,0,-194.0,0,0,lose
2,0,1378.0,0,0,win
2,1,1571.0,0,1,win
2,0,1363.0,0,0,win
2,0,1365.0,0,0,win
2,0,1353.0,0,0,win
2,0,1237.0,0,0,win
1,0,1162.0,0,0,win
1,0,1141.0,0,0,win
2,0,1270.0,0,0,win
2,0,1306.0,0,0,win
2,0,1324.0,0,0,win
2,0,1354.0,0,0,win
2,0,1356.0,0,0,win
2,0,1375.0,0,0,win
2,0,1373.0,0,0,win
1,0,-10.0,0,0,lose
2,0,1331.0,0,0,win
2,0,1367.0,0,0,win
1,0,-188.0,0,0,lose
0,1,-151.0,0,1,lose
2,0,1376.0,0,0,win
2,0,1351.0,0,0,win
2,0,1362.0,0,0,win
2,0,1332.0,0,0,win
1,0,1156.0,0,0,win
2,0,1378.0,0,0,win
2,2,1758.0,0,2,win
2,0,1342.0,0,0,win
2,0,1342.0,0,0,win
2,0,1352.0,0,0,win
2,0,1351.0,0,0,win
2,0,280.0,0,0,lose
0,0,932.0,0,0,win
1,1,1368.0,0,1,win
1,0,1141.0,0,0,win
2,0,1351.0,0,0,win
2,0,1363.0,0,0,win
2,0,1351.0,0,0,win
2,0,1333.0,0,0,win
2,0,1368.0,0,0,win
2,0,1369.0,0,0,win
2,0,1374.0,0,0,win
1,0,1150.0,0,0,win
2,0,1348.0,0,0,win
2,0,1308.0,0,0,win
2,0,1359.0,0,0,win
2,0,1355.0,0,0,win
2,0,1343.0,0,0,win
2,0,1340.0,0,0,win
2,0,228.0,0,0,lose
2,0,1362.0,0,0,win
1,0,-176.0,0,0,lose
2,0,1370.0,0,0,win
2,1,1544.0,0,1,win
1,0,1145.0,0,0,win
2,0,1336.0,0,0,win
2,0,1365.0,0,0,win
2,0,1374.0,0,0,win
2,1,1535.0,0,1,win
2,0,1352.0,0,0,win
2,0,254.0,0,0,lose
2,0,1377.0,0,0,win
2,1,1561.0,0,1,win
2,0,1358.0,0,0,win
1,0,1142.0,0,0,win
1,0,1128.0,0,0,win
2,0,1362.0,0,0,win
2,0,1354.0,0,0,win
2,0,322.0,0,0,lose
2,0,1352.0,0,0,win
2,0,1375.0,0,0,win
1,0,1169.0,0,0,win
1,0,-148.0,0,0,lose
2,0,1364.0,0,0,win
2,1,1563.0,0,1,win
