Number,State,Value,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
0,COMPLETE,600.0,600.0,2.0,1.0
1,COMPLETE,600.0,600.0,2.0,1.0
2,COMPLETE,600.0,600.0,2.0,1.0
3,COMPLETE,600.0,600.0,2.0,1.0
4,COMPLETE,450.0,450.0,1.0,0.0
5,COMPLETE,750.0,750.0,2.0,1.0
6,COMPLETE,450.0,450.0,1.0,0.0
7,COMPLETE,450.0,450.0,1.0,0.0
8,COMPLETE,750.0,750.0,2.0,1.0
9,COMPLETE,450.0,450.0,1.0,0.0
10,COMPLETE,450.0,450.0,1.0,0.0
11,COMPLETE,750.0,750.0,2.0,1.0
12,COMPLETE,600.0,600.0,2.0,1.0
13,COMPLETE,750.0,750.0,2.0,1.0
14,COMPLETE,450.0,450.0,1.0,0.0
15,COMPLETE,750.0,750.0,2.0,1.0
16,COMPLETE,450.0,450.0,1.0,0.0
17,COMPLETE,750.0,750.0,2.0,1.0
18,COMPLETE,750.0,750.0,2.0,1.0
19,COMPLETE,600.0,600.0,2.0,1.0
