Number,State,Value,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
0,COMPLETE,439.94097700000015,450.0,1.0,0.0
1,COMPLETE,439.94097700000015,450.0,1.0,0.0
2,COMPLETE,439.94097700000015,450.0,1.0,0.0
3,COMPLETE,439.94097700000015,450.0,1.0,0.0
4,COMPLETE,289.9409770000001,300.0,1.0,0.0
5,COMPLETE,439.94097700000015,450.0,1.0,0.0
6,COMPLETE,439.94097700000015,450.0,1.0,0.0
7,COMPLETE,439.94097700000015,450.0,1.0,0.0
8,COMPLETE,439.94097700000015,450.0,1.0,0.0
9,COMPLETE,439.94097700000015,450.0,1.0,0.0
10,COMPLETE,439.94097700000015,450.0,1.0,0.0
11,COMPLETE,289.9409770000001,300.0,1.0,0.0
12,COMPLETE,439.94097700000015,450.0,1.0,0.0
13,COMPLETE,439.94097700000015,450.0,1.0,0.0
14,COMPLETE,439.94097700000015,450.0,1.0,0.0
15,COMPLETE,439.94097700000015,450.0,1.0,0.0
16,COMPLETE,439.94097700000015,450.0,1.0,0.0
17,COMPLETE,439.94097700000015,450.0,1.0,0.0
18,COMPLETE,439.94097700000015,450.0,1.0,0.0
19,COMPLETE,439.94097700000015,450.0,1.0,0.0
